(Just Like) Starting Over	John Lennon
More Than I Can Say	Leo Sayer
Love On The Rocks	Neil Diamond
Lady	Kenny Rogers
Hungry Heart	Bruce Springsteen
Every Woman In The World	Air Supply
Guilty	Barbra Streisand & Barry Gibb
The Tide Is High	Blondie
Hit Me With Your Best Shot	Pat Benatar
Tell It Like It Is	Heart
Passion	Rod Stewart
De Do Do Do, De Da Da Da	The Police
Master Blaster (Jammin')	Stevie Wonder
Another One Bites The Dust	Queen
It's My Turn	Diana Ross
I Made It Through The Rain	Barry Manilow
Celebration	Kool & The Gang
Everybody's Got To Learn Sometime	The Korgis
I Love A Rainy Night	Eddie Rabbitt
Hey Nineteen	Steely Dan
Time Is Time	Andy Gibb
Woman In Love	Barbra Streisand
Suddenly	Olivia Newton-John & Cliff Richard
I Believe In You	Don Williams
You've Lost That Lovin' Feeling	Daryl Hall John Oates
One Step Closer	The Doobie Brothers
Whip It	Devo
Giving It Up For Your Love	Delbert McClinton
Together	Tierra
Miss Sun	Boz Scaggs
Never Be The Same	Christopher Cross
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
9 To 5	Dolly Parton
I'm Coming Out	Diana Ross
Girls Can Get It	Dr. Hook
The Winner Takes It All	ABBA
Same Old Lang Syne	Dan Fogelberg
Sequel	Harry Chapin
Keep On Loving You	REO Speedwagon
Killin' Time	Fred Knoblock & Susan Anton
Cold Love	Donna Summer
Turn And Walk Away	The Babys
He Can't Love You	Michael Stanley Band
Need Your Loving Tonight	Queen
My Mother's Eyes	Bette Midler
Shine On	L.T.D.
Gotta Have More Love	Climax Blues Band
You	Earth, Wind & Fire
I Need Your Lovin'	Teena Marie
Smoky Mountain Rain	Ronnie Milsap
Heartbreak Hotel	The Jacksons
Love T.K.O.	Teddy Pendergrass
Teacher Teacher	Rockpile
Games People Play	The Alan Parsons Project
Seven Bridges Road	Eagles
I Ain't Gonna Stand For It	Stevie Wonder
This Time	John Cougar
Dreaming	Cliff Richard
Deep Inside My Heart	Randy Meisner
The Wanderer	Donna Summer
Fool That I Am	Rita Coolidge
Breakfast In America	Supertramp
He's So Shy	The Pointer Sisters
Who's Making Love	Blues Brothers
A Little In Love	Cliff Richard
Never Knew Love Like This Before	Stephanie Mills
The Horizontal Bop	Bob Seger
Could I Be Dreaming	The Pointer Sisters
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)	The Star Wars Intergalactic Droid Choir & Chorale
Ah! Leah!	Donnie Iris
Back In Black	AC/DC
Fashion	David Bowie
Set The Night On Fire	Oak
Easy Love	Dionne Warwick
Turning Japanese	The Vapors
Without Your Love	Roger Daltrey
Upside Down	Diana Ross
Lovely One	The Jacksons
Full Of Fire	Shalamar
Skateaway	Dire Straits
United Together	Aretha Franklin
Merry Christmas In The NFL	Willis "The Guard" & Vigorish
(Ghost) Riders In The Sky	Outlaws
Switchin' To Glide/This Beat Goes On	The Kings
Let Me Be Your Angel	Stacy Lattisaw
Stop This Game	Cheap Trick
On The Road Again	Willie Nelson
Don't Want No-Body	J.D. Drews
Gypsy Spirit	Pendulum
Got To Rock On	Kansas
Spend The Night In Love	The 4 Seasons
Trickle Trickle	The Manhattan Transfer
One-Trick Pony	Paul Simon
Remote Control	The Reddings
I Can't Stop The Feelin'	Pure Prairie League
Once A Night	Jackie English
Help Me!	Marcy Levy & Robin Gibb
I'm Happy That Love Has Found You	Jimmy Hall
Out Here On My Own	Irene Cara
Jesse	Carly Simon
