Black Or White	Michael Jackson
All 4 Love	Color Me Badd
Can't Let Go	Mariah Carey
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
2 Legit 2 Quit	M.C. Hammer
Smells Like Teen Spirit	Nirvana
Addams Groove	M.C. Hammer
Don't Let The Sun Go Down On Me	George Michael/Elton John
Finally	CeCe Peniston
Wildside	Marky Mark & The Funky Bunch
Set Adrift On Memory Bliss	P.M. Dawn
I Love Your Smile	Shanice
Diamonds And Pearls	Prince And The N.P.G.
Blowing Kisses In The Wind	Paula Abdul
When A Man Loves A Woman	Michael Bolton
No Son Of Mine	Genesis
Tell Me What You Want Me To Do	Tevin Campbell
O.P.P.	Naughty By Nature
Don't Cry	Guns N' Roses
Mysterious Ways	U2
That's What Love Is For	Amy Grant
Keep Coming Back	Richard Marx
Mind Playing Tricks On Me	Geto Boys
The Way I Feel About You	Karyn White
Live For Loving You	Gloria Estefan
Forever My Lady	Jodeci
Broken Arrow	Rod Stewart
Can't Stop This Thing We Started	Bryan Adams
Angel Baby	Angelica
Cream	Prince And The N.P.G.
Keep It Comin'	Keith Sweat
Is It Good To You	Heavy D & The Boyz
Change	Lisa Stansfield
Set The Night To Music	Roberta Flack With Maxi Priest
The Unforgiven	Metallica
Spending My Time	Roxette
Love Me All Up	Stacy Earl
Home Sweet Home	Motley Crue
Emotions	Mariah Carey
Kiss You Back	Digital Underground
Live And Let Die	Guns N' Roses
I've Got A Lot To Learn About Love	The Storm
On A Sunday Afternoon	Lighter Shade Of Brown
Save Up All Your Tears	Cher
I'm Too Sexy	Right Said Fred
I Wanna Be Your Girl	Icy Blu
Uhh Ahh	Boyz II Men
Tender Kisses	Tracie Spencer
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
I Can't Make You Love Me	Bonnie Raitt
Ain't Gonna Hurt Nobody	Kid 'N Play
Can't Truss It	Public Enemy
In My Dreams	The Party
Too Blind To See It	Kym Sims
Send Me An Angel	Scorpions
Hearts Don't Think (They Feel)	Natural Selection
I Wonder Why	Curtis Stigers
Street Of Dreams	Nia Peeples
All She Wrote	Firehouse
To Be With You	Mr. Big
Housecall	Shabba Ranks (Featuring Maxi Priest)
Stay	Jodeci
There Will Never Be Another Tonight	Bryan Adams
Shot Of Poison	Lita Ford
Top Of The World	Van Halen
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
I'll Get By	Eddie Money
The Comfort Zone	Vanessa Williams
I Want You	Jody Watley
Pop That Coochie	The 2 Live Crew
No More Tears	Ozzy Osbourne
Just A Touch Of Love	C+C Music Factory Presents Zelma Davis
Move Any Mountain	The Shamen
In Paradise	Laissez Faire
Whispers	Corina
Give It Away	Red Hot Chili Peppers
Insatiable	Prince And The N.P.G.
Be True To Yourself	2nd II None
A Day In My Life (Without You)	Lisette Melendez
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
Every Road Leads Back To You	Bette Midler
The Rush	Luther Vandross
Within My Heart	Voyce
All Through The Night	Tone-Loc
Conviction Of The Heart	Kenny Loggins
Groovy Train	The Farm
Wasted Time	Skid Row
Rush	Big Audio
I'll Take You There	BeBe & CeCe Winans Featuring Mavis Staples
The Fly	U2
There's No Other Way	Blur
Love Crazy	Atlantic Starr
Right Down To It	Damian Dame
Just Another Girlfriend	Hi-Five
What Time Is Love?	The KLF
Hold On (Tighter To Love)	Clubland
Martika's Kitchen	Martika
She Ain't Pretty	The Northern Pikes
Get A Leg Up	John Mellencamp
