Rude	MAGIC!
Stay With Me	Sam Smith
Fancy	Iggy Azalea Featuring Charli XCX
Am I Wrong	Nico & Vinz
Problem	Ariana Grande Featuring Iggy Azalea
Bang Bang	Jessie J, Ariana Grande & Nicki Minaj
Maps	Maroon 5
All About That Bass	Meghan Trainor
Chandelier	Sia
Latch	Disclosure Featuring Sam Smith
Boom Clap	Charli XCX
All Of Me	John Legend
Bailando	Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Summer	Calvin Harris
Happy	Pharrell Williams
Rather Be	Clean Bandit Featuring Jess Glynne
Shower	Becky G
Break Free	Ariana Grande Featuring Zedd
Black Widow	Iggy Azalea Featuring Rita Ora
Love Runs Out	OneRepublic
Wiggle	Jason Derulo Featuring Snoop Dogg
Burnin' It Down	Jason Aldean
Dark Horse	Katy Perry Featuring Juicy J
Dirt	Florida Georgia Line
Turn Down For What	DJ Snake & Lil Jon
2 On	Tinashe Featuring ScHoolboy Q
American Kids	Kenny Chesney
Drunk On A Plane	Dierks Bentley
Classic	MKTO
Don't Tell 'Em	Jeremih Featuring YG
Really Don't Care	Demi Lovato Featuring Cher Lloyd
Bartender	Lady Antebellum
I Don't Dance	Lee Brice
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Counting Stars	OneRepublic
A Sky Full Of Stars	Coldplay
Believe Me	Lil Wayne Featuring Drake
Studio	ScHoolboy Q Featuring BJ The Chicago Kid
Pompeii	Bastille
Habits (Stay High)	Tove Lo
Ain't It Fun	Paramore
Talk Dirty	Jason Derulo Featuring 2 Chainz
Pills N Potions	Nicki Minaj
Come With Me Now	KONGOS
It Was Always You	Maroon 5
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
No Mediocre	T.I. Featuring Iggy Azalea
Come Get It Bae	Pharrell Williams
Na Na	Trey Songz
Cool Kids	Echosmith
We Dem Boyz	Wiz Khalifa
Somethin' Bad	Miranda Lambert Duet With Carrie Underwood
Leave The Night On	Sam Hunt
Yeah	Joe Nichols
Meanwhile Back At Mama's	Tim McGraw Featuring Faith Hill
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
River Bank	Brad Paisley
Girls Chase Boys	Ingrid Michaelson
Me And My Broken Heart	Rixton
We Are Tonight	Billy Currington
Where It's At (Yep, Yep)	Dustin Lynch
0 To 100 / The Catch Up	Drake
Wasted	Tiesto Featuring Matthew Koma
Lifestyle	Rich Gang Featuring Young Thug & Rich Homie Quan
Roller Coaster	Luke Bryan
Main Chick	Kid Ink Featuring Chris Brown
Amnesia	5 Seconds Of Summer
Beachin'	Jake Owen
Don't	Ed Sheeran
Riptide	Vance Joy
Girl In A Country Song	Maddie & Tae
Sing	Ed Sheeran
I'm Ready	AJR
Love Never Felt So Good	Michael Jackson & Justin Timberlake
Hope You Get Lonely Tonight	Cole Swindell
Hideaway	Kiesza
V. 3005	Childish Gambino
Who I Am With You	Chris Young
Chasing The Sun	Hilary Duff
Cut Her Off	KCamp Featuring 2 Chainz
She Looks So Perfect	5 Seconds Of Summer
New Flame	Chris Brown Featuring Usher & Rick Ross
Ready Set Roll	Chase Rice
Sunshine & Whiskey	Frankie Ballard
Trumpets	Jason Derulo
Good Kisser	Usher
Work	Iggy Azalea
This Is How We Do	Katy Perry
Bo$$	Fifth Harmony
Fight Night	Migos
Stolen Dance	Milky Chance
Song About A Girl	Eric Paslay
Small Town Throwdown	Brantley Gilbert Featuring Justin Moore & Thomas Rhett
Foreign	Trey Songz
My Eyes	Blake Shelton Featuring Gwen Sebastian
Hot Boy	Bobby Shmurda
Birthday	Katy Perry
No Flex Zone	Rae Sremmurd
I Will Never Let You Down	Rita Ora
Day Drinking	Little Big Town
