Vision Of Love	Mariah Carey
The Power	Snap!
Rub You The Right Way	Johnny Gill
Cradle Of Love (From "Ford Fairlane")	Billy Idol
If Wishes Came True	Sweet Sensation
Come Back To Me	Janet Jackson
Unskinny Bop	Poison
King Of Wishful Thinking (From "Pretty Woman")	Go West
She Ain't Worth It	Glenn Medeiros Featuring Bobby Brown
Do Me!	Bell Biv DeVoe
Jerk Out	The Time
Have You Seen Her	M.C. Hammer
Blaze Of Glory (From "Young Guns II")	Jon Bon Jovi
Make You Sweat	Keith Sweat
Epic	Faith No More
Could This Be Love	Seduction
Release Me	Wilson Phillips
Girls Nite Out	Tyler Collins
Hold On	En Vogue
When I'm Back On My Feet Again	Michael Bolton
Banned In The U.S.A.	Luke Featuring The 2 Live Crew
Across The River	Bruce Hornsby & The Range
Possession	Bad English
Hanky Panky	Madonna
I Didn't Want To Need You	Heart
The Other Side	Aerosmith
Love And Emotion	Stevie B
Tic-Tac-Toe	Kyper
Mentirosa	Mellow Man Ace
Tonight	New Kids On The Block
My Kinda Girl	Babyface
(Can't Live Without Your) Love And Affection	Nelson
It Must Have Been Love (From "Pretty Woman")	Roxette
Enjoy The Silence	Depeche Mode
Pure	Lightning Seeds
The Girl I Used To Know	Brother Beyond
We're All In the Same Gang	The West Coast Rap All-Stars
Don't Go Away Mad (Just Go Away)	Motley Crue
Close To You	Maxi Priest
Thieves In The Temple	Prince
You Can't Deny It	Lisa Stansfield
Poison	Bell Biv DeVoe
Can't Stop Falling Into Love	Cheap Trick
Talk To Me	Anita Baker
Step By Step	New Kids On The Block
Something Happened On The Way To Heaven	Phil Collins
Oh Girl	Paul Young
I'll Be Your Shelter	Taylor Dayne
My, My, My	Johnny Gill
Cuts Both Ways	Gloria Estefan
La Raza	Kid Frost
All I Do Is Think Of You	Troop
Hold On	Wilson Phillips
Heart Of Stone	Taylor Dayne
Bad Of The Heart	George LaMond
Vogue	Madonna
How Bad Do You Want It?	Don Henley
Stranger To Love	St. Paul
Do You Remember?	Phil Collins
Can't Stop	After 7
Dirty Cash (Money Talks)	The Adventures Of Stevie V
Tell Me Something	Indecent Obsession
All The Way	Calloway
Bang Bang	Danger Danger
Everybody Everybody	Black Box
Slow Love	Doc Box & B. Fresh
U Can't Touch This	M.C. Hammer
The Right Combination	Seiko & Donnie Wahlberg
Romeo	Dino
Time For Letting Go	Jude Cole
Can't Get Enuff	Winger
Summer Vacation	The Party
Sending All My Love	Linear
Ready Or Not	After 7
I Don't Have The Heart	James Ingram
Hearts In Trouble (From "Days Of Thunder")	Chicago
Policy Of Truth	Depeche Mode
Innocent	The Whispers
That's Not Her Style	Billy Joel
Don't You Come Cryin'	Linear
I Melt With You	Modern English
All Lips N' Hips	Electric Boys
First True Love	Tiana
Same Old Look	Jimmy Ryser
The Humpty Dance	Digital Underground
The Ballad Of Jayne	L.A. Guns
I Won't Give Up On You	TKA
The Emperor's New Clothes	Sinead O'Connor
Holy Water	Bad Company
Club At The End Of The Street	Elton John
"B" Girls	Young And Restless
Baby, It's Tonight	Jude Cole
Holding My Heart	Bang
Sittin' In The Lap Of Luxury	Louie Louie
How Much Love	Vixen
What Will I Do	Timmy T.
Don't You Love Me	49-ers
All I Wanna Do Is Make Love To You	Heart
Only Women Bleed	Favorite Angel
I'm Never Gonna Give You Up	The Brat Pack
