Take On Me	a-ha
Saving All My Love For You	Whitney Houston
Part-Time Lover	Stevie Wonder
Oh Sheila	Ready For The World
Miami Vice Theme	Jan Hammer
Lonely Ol' Night	John Mellencamp
Money For Nothing	Dire Straits
Dancing In The Street	David Bowie & Mick Jagger
Fortress Around Your Heart	Sting
Head Over Heels	Tears For Fears
I'm Goin' Down	Bruce Springsteen
Lovin' Every Minute Of It	Loverboy
Cherish	Kool & The Gang
Dress You Up	Madonna
You Belong To The City	Glenn Frey
I'm Gonna Tear Your Playhouse Down	Paul Young
We Built This City	Starship
Be Near Me	ABC
One Night Love Affair	Bryan Adams
Four In The Morning (I Can't Take Anymore)	Night Ranger
You Are My Lady	Freddie Jackson
Sunset Grill	Don Henley
And We Danced	Hooters
Lay Your Hands On Me	Thompson Twins
Freedom	Wham!
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
Never	Heart
Who's Zoomin' Who	Aretha Franklin
Separate Lives	Phil Collins and Marilyn Martin
Cry	Godley & Creme
The Way You Do The Things You Do/My Girl	Daryl Hall John Oates
Don't Lose My Number	Phil Collins
Boy In The Box	Corey Hart
Communication	The Power Station
Broken Wings	Mr. Mister
So In Love	Orchestral Manoeuvres In The Dark
One Of The Living	Tina Turner
C-I-T-Y	John Cafferty & The Beaver Brown Band
St. Elmo's Fire (Man In Motion)	John Parr
Dare Me	The Pointer Sisters
Perfect Way	Scritti Politti
Girls Are More Fun	Ray Parker Jr.
The Night Is Still Young	Billy Joel
Soul Kiss	Olivia Newton-John
Weird Science	Oingo Boingo
I Miss You	Klymaxx
Tonight It's You	Cheap Trick
Born In East L.A.	Cheech & Chong
Sleeping Bag	ZZ Top
The Power Of Love	Huey Lewis & The News
Stand By Me	Maurice White
Alive & Kicking	Simple Minds
All Of Me For All Of You	9.9
Like To Get To Know You Well	Howard Jones
After The Fire	Roger Daltrey
You Wear It Well	El DeBarge With DeBarge
Running Up That Hill	Kate Bush
I'll Be Good	Rene & Angela
Pop Life	Prince And The Revolution
Object Of My Desire	Starpoint
We Don't Need Another Hero (Thunderdome)	Tina Turner
Sisters Are Doin' It For Themselves	Eurythmics & Aretha Franklin
Screams Of Passion	The Family
And She Was	Talking Heads
All Fall Down	Five Star
Party All The Time	Eddie Murphy
Every Step Of The Way	John Waite
The Oak Tree	Morris Day
Hard Times For Lovers	Jennifer Holliday
America	Prince And The Revolution
To Live And Die In L.A.	Wang Chung
Freeway Of Love	Aretha Franklin
Hurts To Be In Love	Gino Vannelli
Eye To Eye	Go West
Que Te Quiero	Katrina And The Waves
Kayleigh	Marillion
Blue Kiss	Jane Wiedlin
Lover Come Back To Me	Dead Or Alive
Eaten Alive	Diana Ross
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Remo's Theme (What If)	Tommy Shaw
Everybody Dance	Ta Mara & The Seen
Invincible (Theme From The Legend Of Billie Jean)	Pat Benatar
Hold Me	Laura Branigan
Tears Are Falling	KISS
I Got You Babe	UB40
I Wonder If I Take You Home	Lisa Lisa And Clult Jam With Full Force
Summer Of '69	Bryan Adams
Welcome To Paradise	John Waite
Talk To Me	Quarterflash
I'll Be There	Kenny Loggins
You're Only Human (Second Wind)	Billy Joel
You're In Love	Ratt
Smokin' In The Boys Room	Motley Crue
Conga	Miami Sound Machine
Never Surrender	Corey Hart
What About Love?	Heart
Shout	Tears For Fears
Life In One Day	Howard Jones
Forever	Kenny Loggins
