One Bad Apple	The Osmonds
Knock Three Times	Dawn
Rose Garden	Lynn Anderson
I Hear You Knocking	Dave Edmunds
Lonely Days	Bee Gees
My Sweet Lord/Isn't It A Pity	George Harrison
Groove Me	King Floyd
Your Song	Elton John
If I Were Your Woman	Gladys Knight And The Pips
Mama's Pearl	Jackson 5
If You Could Read My Mind	Gordon Lightfoot
Watching Scotty Grow	Bobby Goldsboro
One Less Bell To Answer	The 5th Dimension
Mr. Bojangles	Nitty Gritty Dirt Band
Sweet Mary	Wadsworth Mansion
Remember Me	Diana Ross
Stoney End	Barbra Streisand
Amazing Grace	Judy Collins
It's Impossible	Perry Como
We Gotta Get You A Woman	Runt
(Theme From) Love Story	Henry Mancini And His Orchestra
Love The One You're With	Stephen Stills
Amos Moses	Jerry Reed
Have You Ever Seen The Rain/Hey Tonight	Creedence Clearwater Revival
I Think I Love You	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Born To Wander	Rare Earth
(Do The) Push And Pull Part I	Rufus Thomas
I Really Don't Want To Know/There Goes My Everything	Elvis Presley
Let Your Love Go	Bread
Precious, Precious	Jackie Moore
Temptation Eyes	The Grass Roots
Somebody's Watching You	Little Sister
1900 Yesterday	Liz Damon's Orient Express
Immigrant Song	Led Zeppelin
Don't Let The Green Grass Fool You	Wilson Pickett
Jody's Got Your Girl And Gone	Johnnie Taylor
Proud Mary	Ike & Tina Turner
Get Up, Get Into It, Get Involved (Pt. 1)	James Brown
For All We Know	Carpenters
Your Time To Cry	Joe Simon
Burning Bridges	The Mike Curb Congregation
Me And Bobby McGee	Janis Joplin
She's A Lady	Tom Jones
Just Seven Numbers (Can Straighten Out My Life)	Four Tops
Apeman	The Kinks
D.O.A.	Bloodrock
Theme From Love Story	Francis Lai And His Orchestra
When I'm Dead And Gone	McGuinness Flint
Help Me Make It Through The Night	Sammi Smith
I'm So Proud	The Main Ingredient
Just My Imagination (Running Away With Me)	The Temptations
He Called Me Baby	Candi Staton
God Bless Whoever Sent You	The Originals
Fresh As A Daisy	Emitt Rhodes
Mother	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
(I Can Feel Those Vibrations) This Love Is Real	Jackie Wilson
Doesn't Somebody Want To Be Wanted	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Hang On To Your Life	The Guess Who
Cried Like A Baby	Bobby Sherman
Bridget The Midget (The Queen Of The Blues)	Ray Stevens
Whole Lotta Love	C.C.S.
Blue Money	Van Morrison
Bed Of Rose's	The Statler Brothers
Cheryl Moana Marie	John Rowles
Whole Lotta Love	King Curtis & The Kingpins
Superstar	Murray Head With The Trinidad Singers
Country Road	James Taylor
(Where Do I Begin) Love Story	Andy Williams
Beautiful People	The New Seekers featuring Eve Graham
(She's A) Very Lovely Woman/The Long Way Around	Linda Ronstadt
Chairman Of The Board	Chairman Of The Board
I Love You For All Seasons	The Fuzz
You're A Big Girl Now	The Stylistics
One Night Stand	The Magic Lanterns
Freedom	The Isley Brothers
Ride A White Swan	Tyrannosaurus Rex
It's Up To You Petula	Edison Lighthouse
You're The One	The Three Degrees
I Need You	The Friends Of Distinction
Triangle Of Love (Hey Diddle Diddle)	The Presidents
Keep The Customer Satisfied	Gary Puckett
Make Me Happy	Bobby Bloom
Wild World	Cat Stevens
One Toke Over The Line	Brewer And Shipley
Cherish What Is Dear To You (While It's Near to You)	Freda Payne
Everything Is Good About You	The Lettermen
Ain't It A Sad Thing	R. Dean Taylor
Lonely Teardrops	Brian Hyland
Angel Baby	Dusk
The Morning Of Our Lives	Arkade
Heavy Makes You Happy (Sha-Na-Boom Boom)	The Staple Singers
The Glory Of Love	The Dells
Carolina Day	Livingston Taylor
My Sweet Lord	Billy Preston
Didn't It Look So Easy	The Stairsteps
I'll Be Home	Vikki Carr
The Look Of Love	Isaac Hayes
Super Highway	Ballin' Jack
Maria (You Were The Only One)	Jimmy Ruffin
Ask Me No Questions	B.B. King
