Rock With You	Michael Jackson
Do That To Me One More Time	Captain & Tennille
Coward Of The County	Kenny Rogers
Cruisin'	Smokey Robinson
Crazy Little Thing Called Love	Queen
Escape (The Pina Colada Song)	Rupert Holmes
Sara	Fleetwood Mac
The Long Run	Eagles
Yes, I'm Ready	Teri DeSario With K.C.
Don't Do Me Like That	Tom Petty And The Heartbreakers
I Wanna Be Your Lover	Prince
This Is It	Kenny Loggins
We Don't Talk Anymore	Cliff Richard
Send One Your Love	Stevie Wonder
Deja Vu	Dionne Warwick
On The Radio	Donna Summer
Longer	Dan Fogelberg
Don't Let Go	Isaac Hayes
Romeo's Tune	Steve Forbert
Daydream Believer	Anne Murray
An American Dream	The Dirt Band
Desire	Andy Gibb
Third Time Lucky (First Time I Was A Fool)	Foghat
Fool In The Rain	Led Zeppelin
September Morn'	Neil Diamond
Wait For Me	Daryl Hall John Oates
Why Me	Styx
Forever Mine	The O'Jays
Working My Way Back To You/Forgive Me, Girl	The Spinners
Do You Love What You Feel	Rufus And Chaka Khan
Better Love Next Time	Dr. Hook
Voices	Cheap Trick
Cool Change	Little River Band
Wonderland	Commodores
You Know That I Love You	Santana
Lost Her In The Sun	John Stewart
Ladies Night	Kool & The Gang
When I Wanted You	Barry Manilow
Last Train To London	Electric Light Orchestra
The Second Time Around	Shalamar
Lonely Eyes	Robert John
Dig The Gold	Joyce Cobb
Looks Like Love Again	Dann Rogers
Heartbreaker	Pat Benatar
99	Toto
I Don't Want To Talk About It	Rod Stewart
Him	Rupert Holmes
I Can't Help Myself (Sugar Pie, Honey Bunch)	Bonnie Pointer
Too Hot	Kool & The Gang
Refugee	Tom Petty And The Heartbreakers
Another Brick In The Wall (Part II)	Pink Floyd
Can We Still Be Friends	Robert Palmer
Let Me Go, Love	Nicolette Larson & Michael McDonald
Flirtin' With Disaster	Molly Hatchet
Glide	Pleasure
Please Don't Go	KC And The Sunshine Band
Give It All You Got	Chuck Mangione
Kiss Me In The Rain	Barbra Streisand
When A Man Loves A Woman	Bette Midler
I'm Alive	Gamma
I Thank You	ZZ Top
Bad Times	Tavares
Jane	Jefferson Starship
Back On My Feet Again	The Babys
Rotation	Herb Alpert
Got To Love Somebody	Sister Sledge
With You I'm Born Again	Billy Preston & Syreeta
How Do I Make You	Linda Ronstadt
Remember (Walking In The Sand)	Aerosmith
Memorize Your Number	Leif Garrett
I Pledge My Love	Peaches & Herb
Goodnight My Love	Mike Pinera
Three Times In Love	Tommy James
Special Lady	Ray, Goodman & Brown
Holdin' On For Dear Love	Lobo
I Wish I Was Eighteen Again	George Burns
Haven't You Heard	Patrice Rushen
You Might Need Somebody	Turley Richards
Babe	Styx
Rockin' Into The Night	38 Special
Still	Commodores
Come Back	The J. Geils Band
I Call Your Name	Switch
Years	Wayne Newton
Dirty Water	The Inmates
Head Games	Foreigner
Us And Love (We Go Together)	Kenny Nolan
The Hardest Part	Blondie
I Don't Want To Be Lonely	Dana Valery
Peanut Butter	Twennynine Featuring Lenny White
I Don't Like Mondays	The Boomtown Rats
Computer Game "Theme From The Circus"	Yellow Magic Orchestra
Money	The Flying Lizards
Volcano	Jimmy Buffett
Too Late	Journey
Don't Make Me Over	Jennifer Warnes
She's In Love With You	Suzi Quatro
Savannah Nights	Tom Johnston
Takin' It Back	Breathless
Stargazer	Peter Brown
