Miss You	The Rolling Stones
Three Times A Lady	Commodores
Grease	Frankie Valli
Last Dance	Donna Summer
Shadow Dancing	Andy Gibb
Baker Street	Gerry Rafferty
Use Ta Be My Girl	The O'Jays
Hot Blooded	Foreigner
Love Will Find A Way	Pablo Cruise
Still The Same	Bob Seger & The Silver Bullet Band
Magnet And Steel	Walter Egan
Copacabana (at The Copa)	Barry Manilow
Life's Been Good	Joe Walsh
My Angel Baby	Toby Beau
I'm Not Gonna Let It Bother Me Tonight	Atlanta Rhythm Section
An Everlasting Love	Andy Gibb
Boogie Oogie Oogie	A Taste Of Honey
Hopelessly Devoted To You	Olivia Newton-John
King Tut	Steve Martin And The Toot Uncommons
The Groove Line	Heatwave
Stay/The Load-Out	Jackson Browne
Runaway	Jefferson Starship
Shame	Evelyn "Champagne" King
Take A Chance On Me	ABBA
I've Had Enough	Wings
Fool If You Think It's Over	Chris Rea
Kiss You All Over	Exile
Stuff Like That	Quincy Jones
Can We Still Be Friends	Todd Rundgren
You	Rita Coolidge
Dance With Me	Peter Brown With Betty Wright
Two Tickets To Paradise	Eddie Money
You And I	Rick James
Hot Child In The City	Nick Gilder
Rivers Of Babylon	Boney M.
Mr. Blue Sky	Electric Light Orchestra
Macho Man	Village People
You're A Part Of Me	Gene Cotton With Kim Carnes
Got To Get You Into My Life	Earth, Wind & Fire
Love Is In The Air	John Paul Young
I Need To Know	Tom Petty And The Heartbreakers
You're The One That I Want	John Travolta & Olivia Newton-John
Just What I Needed	The Cars
Two Out Of Three Ain't Bad	Meat Loaf
Close The Door	Teddy Pendergrass
It's A Heartache	Bonnie Tyler
Bluer Than Blue	Michael Johnson
FM (No Static At All)	Steely Dan
Songbird	Barbra Streisand
Thank God It's Friday	Love And Kisses
Love Or Something Like It	Kenny Rogers
Wonderful Tonight	Eric Clapton
You Don't Love Me Anymore	Eddie Rabbitt
If Ever I See You Again	Roberta Flack
You Needed Me	Anne Murray
Reminiscing	Little River Band
A Rock 'N' Roll Fantasy	The Kinks
I Love The Nightlife (Disco 'round)	Alicia Bridges
Think It Over	Cheryl Ladd
Will You Still Love Me Tomorrow	Dave Mason
That Once In A Lifetime	Demis Roussos
Ain't Nothing Gonna Keep Me From You	Teri DeSario
Get Off	Foxy
Time For Me To Fly	REO Speedwagon
Love Theme From "Eyes Of Laura Mars" (Prisoner)	Barbra Streisand
Summer Nights	John Travolta & Olivia Newton-John & Cast
You Belong To Me	Carly Simon
Only The Good Die Young	Billy Joel
You're All I Need To Get By	Johnny Mathis & Deniece Williams
Talking In Your Sleep	Crystal Gayle
Surrender	Cheap Trick
If You Wanna Do A Dance	The Spinners
Ready Or Not	Helen Reddy
He's So Fine	Kristy And Jimmy McNichol
On The Strip	Paul Nicholas
Steppin' In A Slide Zone	The Moody Blues
Runaway Love	Linda Clifford
I Can't Stand The Rain	Eruption
Prove It All Night	Bruce Springsteen
Whenever I Call You "Friend"	Kenny Loggins
Come Together	Aerosmith
Flyin'	Prism
You Never Done It Like That	Captain & Tennille
Arms Of Mary	Chilliwack
Break It To Them Gently	Burton Cummings
I Will Still Love You	Stonebolt
Wild In The Streets	British Lions
She Loves To Be In Love	Charlie
Rumor At The Honky Tonk	Spellbound
Raise A Little Hell	Trooper
New Orleans Ladies	Louisiana's LeRoux
It's Really You	The Tarney/Spencer Band
Love Is Like Oxygen	Sweet
Because The Night	Patti Smith Group
Only One Love In My Life	Ronnie Milsap
Hot Love, Cold World	Bob Welch
Chattanooga Choo Choo	Tuxedo Junction
Follow You Follow Me	Genesis
Never Let Her Slip Away	Andrew Gold
I Can't Wait Any Longer	Bill Anderson
