Positions	Ariana Grande
Forever After All	Luke Combs
Mood	24kGoldn Featuring iann dior
Laugh Now Cry Later	Drake Featuring Lil Durk
Blinding Lights	The Weeknd
I Hope	Gabby Barrett Featuring Charlie Puth
WAP	Cardi B Featuring Megan Thee Stallion
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Holy	Justin Bieber Featuring Chance The Rapper
Rockstar	DaBaby Featuring Roddy Ricch
Dynamite	BTS
Before You Go	Lewis Capaldi
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Watermelon Sugar	Harry Styles
Go Crazy	Chris Brown & Young Thug
Said Sum	Moneybagg Yo
Circles	Post Malone
Be Like That	Kane Brown With Swae Lee & Khalid
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Got What I Got	Jason Aldean
Kings & Queens	Ava Max
More Than My Hometown	Morgan Wallen
Come & Go	Juice WRLD x Marshmello
ily	Surf Mesa Featuring Emilee
One Of Them Girls	Lee Brice
Lonely	Justin Bieber & benny blanco
Bang!	AJR
What You Know Bout Love	Pop Smoke
Better Together	Luke Combs
Adore You	Harry Styles
Wonder	Shawn Mendes
Dreams	Fleetwood Mac
Tyler Herro	Jack Harlow
The Woo	Pop Smoke Featuring 50 Cent & Roddy Ricch
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
Love You Like I Used To	Russell Dickerson
Don't Start Now	Dua Lipa
Roses	SAINt JHN
Rags2Riches	Rod Wave Featuring ATR Son Son
Lovin' On You	Luke Combs
Levitating	Dua Lipa Featuring DaBaby
Pretty Heart	Parker McCollum
Break My Heart	Dua Lipa
Some Girls	Jameson Rodgers
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
Mood Swings	Pop Smoke Featuring Lil Tjay
Everywhere But On	Matt Stell
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
I Should Probably Go To Bed	Dan + Shay
Franchise	Travis Scott Featuring Young Thug & M.I.A.
24	Money Man Featuring Lil Baby
Spicy	Ty Dolla $ign Featuring Post Malone
Popstar	DJ Khaled Featuring Drake
You Broke Me First.	Tate McRae
Midnight Sky	Miley Cyrus
My Ex's Best Friend	Machine Gun Kelly X blackbear
Diamonds	Sam Smith
Tap In	Saweetie
7 Summers	Morgan Wallen
Runnin	21 Savage & Metro Boomin
Wishing Well	Juice WRLD
Starting Over	Chris Stapleton
Hawai	Maluma & The Weeknd
Ain't Always The Cowboy	Jon Pardi
U 2 Luv	Ne-Yo & Jeremih
Big, Big Plans	Chris Lane
Hit Different	SZA Featuring Ty Dolla $ign
The Other Guy	Luke Combs
Damage	H.E.R.
Heather	Conan Gray
Don't Stop	Megan Thee Stallion Featuring Young Thug
Martin & Gina	Polo G
Golden	Harry Styles
B.S.	Jhene Aiko Featuring H.E.R.
Back To The Streets	Saweetie Featuring Jhene Aiko
So Done	The Kid LAROI
Without You	Luke Combs Featuring Amanda Shires
Relacion	Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko
Put Your Records On	Ritt Momney
Good Time	Niko Moon
The Bigger Picture	Lil Baby
Blind	DaBaby Featuring Young Thug
Cold As You	Luke Combs
Kacey Talk	YoungBoy Never Broke Again
Practice	DaBaby
Hole In The Bottle	Kelsea Ballerini
Whole Lotta Choppas	Sada Baby Featuring Nicki Minaj
You're Mines Still	Yung Bleu Featuring Drake
Champagne Night	Lady A
Greece	DJ Khaled Featuring Drake
Happy Does	Kenny Chesney
Throat Baby (Go Baby)	BRS Kash
Un Dia (One Day)	J Balvin, Dua Lipa, Bad Bunny & Tainy
Do It	Chloe X Halle
Cardigan	Taylor Swift
Forget Me Too	Machine Gun Kelly & Halsey
La Toxica	Farruko
Head & Heart	Joel Corry X MNEK
Wine, Beer, Whiskey	Little Big Town
