Together Again	Janet
Nice & Slow	Usher
How Do I Live	LeAnn Rimes
Truly Madly Deeply	Savage Garden
Been Around The World	Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
I Don't Ever Want To See You Again	Uncle Sam
Tubthumping	Chumbawamba
A Song For Mama	Boyz II Men
Dangerous	Busta Rhymes
You Make Me Wanna...	Usher
Show Me Love	Robyn
How's It Going To Be	Third Eye Blind
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
My Body	LSG
I Don't Want To Wait	Paula Cole
No, No, No	Destiny's Child
I Do	Lisa Loeb
We're Not Making Love No More	Dru Hill
Father	LL Cool J
Kiss The Rain	Billie Myers
Feel So Good	Mase
Gone Till November	Wyclef Jean
Swing My Way	K.P. & Envyi
What You Want	Mase Featuring Total
Spice Up Your Life	Spice Girls
Love You Down	INOJ/LATHUN
Heaven	Nu Flavor
Semi-Charmed Life	Third Eye Blind
They Don't Know	Jon B
Quit Playing Games (With My Heart)	Backstreet Boys
My Love Is The Shhh!	Somethin' For The People Featuring Trina & Tamara
Given To Fly	Pearl Jam
I Will Come To You	Hanson
All For You	Sister Hazel
All Cried Out	Allure Featuring 112
Mo Money Mo Problems	The Notorious B.I.G. Featuring Puff Daddy & Mase
32 Flavors	Alana Davis
Foolish Games/You Were Meant For Me	Jewel
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
All My Love	Queen Pen Featuring Eric Williams
No Tengo Dinero	Los Umbrellos
Butta Love	Next
4 Seasons Of Loneliness	Boyz II Men
Sunny Came Home	Shawn Colvin
I Know Where It's At	All Saints
If You Think I'm Jiggy	The Lox
Breaking All The Rules	She Moves
Sock It 2 Me	Missy "Misdemeanor" Elliott Featuring Da Brat
What About Us	Total
Criminal	Fiona Apple
Going Back To Cali	The Notorious B.I.G.
At The Beginning	Richard Marx & Donna Lewis
Burn	Militia
The One I Gave My Heart To	Aaliyah
Just Clownin'	WC From Westside Connection
The Memory Remains	Metallica
Don't Be Stupid (You Know I Love You)	Shania Twain
Say You'll Stay	KAI
If I Could Teach The World	Bone Thugs-N-Harmony
Lollipop (Candyman)	Aqua
One More Night	Amber
I'm Not A Player	Big Punisher
So Help Me Girl	Gary Barlow
What If I Said	Anita Cochran (Duet With Steve Wariner)
They Like It Slow	H-Town
Roxanne `97 - Puff Daddy Remix	Sting & The Police
Brian Wilson	Barenaked Ladies
Everything	Mary J. Blige
What If	Reba McEntire
Ain't That Just The Way	Lutricia McNeal
Am I Dreaming	Ol Skool [Featuring Keith Sweat & Xscape]
So Good	Davina
You're Not Alone	Olive
Tuck Me In	Kimberly Scott
I Wonder If Heaven Got A Ghetto	2Pac
Sugar Cane	Spacemonkeyz
I'm Afraid Of Americans	David Bowie
You Know My Steez	Gang Starr
The City Is Mine	Jay-Z Featuring BLACKstreet
Valentine	Martina McBride With Jim Brickman
Young, Sad And Blue	Lysette
L-L-Lies	Diana King
4, 3, 2, 1	LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P
I Can Love You Better	Dixie Chicks
Send My Love/Send One Your Love	Born Jamericans
Tubthumping	Chucklebutt
Tha Hop	Kinsu
Jealousy	Kim Sanders
Still Waters (Run Deep)	Bee Gees
Last Night's Letter	K-Ci & JoJo
Tic Tic Tac	Fruit De La Passion
Don't Stop The Music	Playa
Love Gets Me Every Time	Shania Twain
Then What?	Clay Walker
Man Behind The Music	Queen Pen Featuring Teddy Riley
Don't Go	Le Click Featuring Kayo
In Harm's Way	BeBe Winans
Spin Spin Sugar	Sneaker Pimps
Much Better	Club 69 Featuring Suzanne Palmer
