One More Night	Maroon 5
Gangnam Style	PSY
Some Nights	fun.
Die Young	Ke$ha
Diamonds	Rihanna
As Long As You Love Me	Justin Bieber Featuring Big Sean
Locked Out Of Heaven	Bruno Mars
Too Close	Alex Clare
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Don't Wake Me Up	Chris Brown
We Are Never Ever Getting Back Together	Taylor Swift
Blow Me (One Last Kiss)	P!nk
Good Time	Owl City & Carly Rae Jepsen
Home	Phillip Phillips
I Cry	Flo Rida
Clique	Kanye West, Jay-Z, Big Sean
Lights	Ellie Goulding
Adorn	Miguel
Ho Hey	The Lumineers
Everybody Talks	Neon Trees
50 Ways To Say Goodbye	Train
Whistle	Flo Rida
Blown Away	Carrie Underwood
Cruise	Florida Georgia Line Featuring Nelly
Call Me Maybe	Carly Rae Jepsen
Somebody That I Used To Know	Gotye Featuring Kimbra
Wide Awake	Katy Perry
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Titanium	David Guetta Featuring Sia
It's Time	Imagine Dragons
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Swimming Pools (Drank)	Kendrick Lamar
Payphone	Maroon 5 Featuring Wiz Khalifa
The A Team	Ed Sheeran
Hard To Love	Lee Brice
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
I Will Wait	Mumford & Sons
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Live While We're Young	One Direction
Kiss Tomorrow Goodbye	Luke Bryan
Wanted	Hunter Hayes
Give Your Heart A Break	Demi Lovato
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
22	Taylor Swift
Thinkin Bout You	Frank Ocean
No Lie	2 Chainz Featuring Drake
Birthday Song	2 Chainz Featuring Kanye West
2 Reasons	Trey Songz Featuring T.I.
I Won't Give Up	Jason Mraz
Feel Again	OneRepublic
The One That Got Away	Jake Owen
Skyfall	Adele
Hall Of Fame	The Script Featuring will.i.am
Turn On The Lights	Future
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Fastest Girl In Town	Miranda Lambert
Lovin' You Is Fun	Easton Corbin
Take A Little Ride	Jason Aldean
Come Wake Me Up	Rascal Flatts
Your Body	Christina Aguilera
Madness	Muse
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
Beer Money	Kip Moore
Pound The Alarm	Nicki Minaj
I Almost Do	Taylor Swift
No Worries	Lil Wayne Featuring Detail
Everything Has Changed	Taylor Swift Featuring Ed Sheeran
Til My Last Day	Justin Moore
Anything Could Happen	Ellie Goulding
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
Put It Down	Brandy Featuring Chris Brown
Numb	Usher
Want U Back	Cher Lloyd
Creepin'	Eric Church
Ball	T.I. Featuring Lil Wayne
Poetic Justice	Kendrick Lamar Featuring Drake
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
Ready Or Not	Bridgit Mendler
Dance For You	Beyonce
All Too Well	Taylor Swift
Every Storm (Runs Out Of Rain)	Gary Allan
Goodbye In Her Eyes	Zac Brown Band
Dive In	Trey Songz
Diced Pineapples	Rick Ross Featuring Wale & Drake
How Country Feels	Randy Houser
Did It For The Girl	Greg Bates
Southern Comfort Zone	Brad Paisley
El Cerrito Place	Kenny Chesney
Take A Walk	Passion Pit
Radioactive	Imagine Dragons
Stay Stay Stay	Taylor Swift
Fade Into You	Sam Palladio & Clare Bowen
Catch My Breath	Kelly Clarkson
m.A.A.d City	Kendrick Lamar Featuring MC Eiht
Young & Gettin' It	Meek Mill Featuring Kirko Bangz
My Moment	DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih
Babel	Mumford & Sons
Va Va Voom	Nicki Minaj
Don't Stop The Party	Pitbull Featuring TJR
Ice	Kelly Rowland Featuring Lil Wayne
