Dreamlover	Mariah Carey
Can't Help Falling In Love (From "Sliver")	UB40
Whoomp! (There It Is)	Tag Team
If	Janet Jackson
Runaway Train	Soul Asylum
Right Here (Human Nature)/Downtown	SWV
Will You Be There	Michael Jackson
Lately	Jodeci
The River Of Dreams	Billy Joel
If I Had No Loot	Tony Toni Tone
I'm Gonna Be (500 Miles)	The Proclaimers
Baby I'm Yours	Shai
One Last Cry	Brian McKnight
Rain	Madonna
I Don't Wanna Fight (From "What's Love Got To Do With It")	Tina Turner
Slam	Onyx
Weak	SWV
I Get Around	2Pac
Cryin'	Aerosmith
Insane In The Brain	Cypress Hill
Another Sad Love Song	Toni Braxton
Boom! Shake The Room	Jazzy Jeff & The Fresh Prince
Whoot, There It Is	95 South
Alright	Kris Kross Featuring Supercat
Dazzey Duks	Duice
What's Up	4 Non Blondes
Ooh Child	Dino
Show Me Love	Robin S.
Check Yo Self	Ice Cube Featuring Das EFX
I'll Never Get Over You (Getting Over Me)	Expose
Break It Down Again	Tears For Fears
When I Fall In Love (From "Sleepless In Seattle")	Celine Dion And Clive Griffin
Hey Jealousy	Gin Blossoms
Sweat (A La La La La Long)	Inner Circle
That's The Way Love Goes	Janet Jackson
Creep	Radiohead
Soul To Squeeze (From "Coneheads")	Red Hot Chili Peppers
Very Special	Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson
Reason To Believe	Rod Stewart
Knockin' Da Boots	H-Town
Ruffneck	MC Lyte
Have I Told You Lately	Rod Stewart
Fields Of Gold	Sting
Something's Goin' On	U.N.V.
Come Undone	Duran Duran
Dre Day	Dr. Dre
I'm Free	Jon Secada
One Woman	Jade
Run To You	Whitney Houston
What's Up Doc? (Can We Rock)	Fu-Schnickens W/ Shaquille O'Neal
Hey Mr. D.J.	Zhane
Two Steps Behind (From "Last Action Hero")	Def Leppard
Love For Love	Robin S.
Mega Medley	Zapp & Roger
Chattahoochee	Alan Jackson
Chief Rocka	Lords Of The Underground
What Is Love	Haddaway
Hopelessly	Rick Astley
Girl U For Me/Lose Control	Silk
Believe	Lenny Kravitz
Step It Up	Stereo MC's
Can't Get Enough Of Your Love	Taylor Dayne
Get It Up (From "Poetic Justice")	TLC
Cry No More	II D Extreme
More And More	Captain Hollywood Project
The Ways Of The Wind	P.M. Dawn
No Rain	Blind Melon
Sunday Morning	Earth, Wind & Fire
Too Much Information	Duran Duran
Happy	Legacy Of Sound Featuring Meja
Stay Forever	Joey Lawrence
Something In Your Eyes	Bell Biv DeVoe
Oh Carolina	Shaggy
Better Than You	Lisa Keith
Don't Take Away My Heaven	Aaron Neville
It's For You (From "The Meteor Man")	Shanice
Come Inside	Intro
Streiht Up Menace (From "Menace II Society")	MC Eiht
Lick U Up	H-Town
Come Baby Come	K7
Hero	David Crosby & Phil Collins
I'm In Luv	Joe
What Might Have Been	Little Texas
Delicate	Terence Trent D'Arby
The Bonnie And Clyde Theme	Yo-Yo
By The Time This Night Is Over	Kenny G With Peabo Bryson
In The Heart Of A Woman	Billy Ray Cyrus
For The Cool In You	Babyface
Everybody Hurts	R.E.M.
Even A Fool Can See	Peter Cetera
That's What Little Girls Are Made Of	Raven-Symone
World (The Price Of Love)	New Order
Bad Boys (Theme From "Cops")	Inner Circle
Teddy Bear	G-Wiz
Back Seat (Of My Jeep)	LL Cool J
In My Nature	Nuttin' Nyce
ABC-123	Levert
Big Gun (From "Last Action Hero")	AC/DC
It's On	Naughty By Nature
Pets	Porno For Pyros
