Shadow Dancing	Andy Gibb
Baker Street	Gerry Rafferty
Take A Chance On Me	ABBA
Use Ta Be My Girl	The O'Jays
Still The Same	Bob Seger & The Silver Bullet Band
It's A Heartache	Bonnie Tyler
Miss You	The Rolling Stones
Dance With Me	Peter Brown With Betty Wright
The Groove Line	Heatwave
You Belong To Me	Carly Simon
Two Out Of Three Ain't Bad	Meat Loaf
Bluer Than Blue	Michael Johnson
Last Dance	Donna Summer
You're The One That I Want	John Travolta & Olivia Newton-John
Love Is Like Oxygen	Sweet
Grease	Frankie Valli
Wonderful Tonight	Eric Clapton
I Can't Stand The Rain	Eruption
Because The Night	Patti Smith Group
Runaway	Jefferson Starship
Love Will Find A Way	Pablo Cruise
Copacabana (at The Copa)	Barry Manilow
Life's Been Good	Joe Walsh
Only The Good Die Young	Billy Joel
Thank God It's Friday	Love And Kisses
Three Times A Lady	Commodores
If Ever I See You Again	Roberta Flack
FM (No Static At All)	Steely Dan
My Angel Baby	Toby Beau
Hot Blooded	Foreigner
Magnet And Steel	Walter Egan
Chattanooga Choo Choo	Tuxedo Junction
Hot Love, Cold World	Bob Welch
Songbird	Barbra Streisand
King Tut	Steve Martin And The Toot Uncommons
I'm Not Gonna Let It Bother Me Tonight	Atlanta Rhythm Section
Can We Still Be Friends	Todd Rundgren
Stay/The Load-Out	Jackson Browne
Will You Still Love Me Tomorrow	Dave Mason
You're The Love	Seals & Crofts
Prove It All Night	Bruce Springsteen
Every Kinda People	Robert Palmer
Even Now	Barry Manilow
I Don't Wanna Go	Joey Travolta
Love Or Something Like It	Kenny Rogers
Rivers Of Babylon	Boney M.
Too Much, Too Little, Too Late	Johnny Mathis/Deniece Williams
I've Had Enough	Wings
You Can't Dance	England Dan & John Ford Coley
Stuff Like That	Quincy Jones
That Once In A Lifetime	Demis Roussos
I Was Only Joking	Rod Stewart
You're A Part Of Me	Gene Cotton With Kim Carnes
Follow You Follow Me	Genesis
I Need To Know	Tom Petty And The Heartbreakers
Shame	Evelyn "Champagne" King
Feels So Good	Chuck Mangione
Stone Blue	Foghat
Mr. Blue Sky	Electric Light Orchestra
It's The Same Old Song	KC And The Sunshine Band
With A Little Luck	Wings
Boogie Oogie Oogie	A Taste Of Honey
Two Tickets To Paradise	Eddie Money
Hot Child In The City	Nick Gilder
This Night Won't Last Forever	Bill LaBounty
Macho Man	Village People
Just What I Needed	The Cars
Hopelessly Devoted To You	Olivia Newton-John
You Don't Love Me Anymore	Eddie Rabbitt
Dance Across The Floor	Jimmy "Bo" Horne
New Orleans Ladies	Louisiana's LeRoux
Never Let Her Slip Away	Andrew Gold
You	Rita Coolidge
Portrait (He Knew)	Kansas
Dream Lover	The Marshall Tucker Band
You And I	Rick James
Deacon Blues	Steely Dan
Only One Love In My Life	Ronnie Milsap
Runaway Love	Linda Clifford
Heartless	Heart
Daylight And Darkness	Smokey Robinson
On The Wrong Track	Kevin Lamb
Anytime	Journey
Close The Door	Teddy Pendergrass
Kiss You All Over	Exile
I Love The Nightlife (Disco 'round)	Alicia Bridges
Almost Summer	Celebration featuring Mike Love
Ain't Nothing Gonna Keep Me From You	Teri DeSario
Fool If You Think It's Over	Chris Rea
God Knows/Baby, I'm Yours	Debby Boone
Roll With The Changes	REO Speedwagon
Oh What A Night For Dancing	Barry White
Trans-europe Express	Kraftwerk
Warm Ride	Rare Earth
Makin' Love	Climax Blues Band
Shaker Song	Spyro Gyra
So Hard Livin' Without You	Airwaves
He's So Fine	Jane Olivor
Baby Hold On	Eddie Money
On Broadway	George Benson
