Teen Angel	Mark Dinning
Running Bear	Johnny Preston
Where Or When	Dion & The Belmonts
El Paso	Marty Robbins
Handy Man	Jimmy Jones
Lonely Blue Boy	Conway Twitty
What In The World's Come Over You	Jack Scott
He'll Have To Go	Jim Reeves
Why	Frankie Avalon
You Got What It Takes	Marv Johnson
Go, Jimmy, Go	Jimmy Clanton
The Theme From "A Summer Place"	Percy Faith And His Orchestra
Let It Be Me	The Everly Brothers
Pretty Blue Eyes	Steve Lawrence
The Village Of St. Bernadette	Andy Williams
Down By The Station	The Four Preps
The Big Hurt	Miss Toni Fisher
Way Down Yonder In New Orleans	Freddie Cannon
Beyond The Sea	Bobby Darin
Tracy's Theme	Spencer Ross
It's Time To Cry	Paul Anka
Among My Souvenirs	Connie Francis
Sandy	Larry Hall
Shimmy, Shimmy, Ko-Ko-Bop	Little Anthony And The Imperials
T.L.C. Tender Love And Care	Jimmie Rodgers
Rockin' Little Angel	Ray Smith
Forever	The Little Dippers
Lucky Devil	Carl Dobkins, Jr.
Wild One	Bobby Rydell
Not One Minute More	Della Reese
Hound Dog Man	Fabian
First Name Initial	Annette With The Afterbeats
Bonnie Came Back	Duane Eddy His Twangy Guitar And The Rebels
Bulldog	The Fireballs
Smokie - Part 2	Bill Black's Combo
Little Things Mean A Lot	Joni James
Baby (You've Got What It Takes)	Dinah Washington & Brook Benton
Little Coco Palm	Jerry Wallace
Too Much Tequila	The Champs
If I Had A Girl	Rod Lauren
Harbor Lights	The Platters
Sweet Nothin's	Brenda Lee
Waltzing Matilda	Jimmie Rodgers
Am I That Easy To Forget	Debbie Reynolds
Midnite Special	Paul Evans
Why Do I Love You So	Johnny Tillotson
Heartaches By The Number	Guy Mitchell
China Doll	The Ames Brothers
Darling Lorraine	The Knockouts
Time And The River	Nat King Cole
Lady Luck	Lloyd Price and His Orchestra
This Friendly World	Fabian
Harlem Nocturne	The Viscounts
Little Bitty Girl	Bobby Rydell
Country Boy	Fats Domino
Baciare Baciare (Kissing Kissing)	Dorothy Collins
How About That	Dee Clark
Crazy Arms	Bob Beckham
Mack The Knife	Bobby Darin
That Old Feeling	Kitty Kallen
Eternally	Sarah Vaughan
Just Come Home	Hugo & Luigi
On The Beach	Frank Chacksfield And His Orch.
The Happy Muleteer	Ivo Robic
Amapola	Jacky Noguez And His Orchestra
No Love Have I	Webb Pierce
Honey Hush	Joe Turner
Tell Her For Me	Adam Wade
Run Red Run	The Coasters
Peace Of Mind	Teresa Brewer
Delaware	Perry Como
I Was Such A Fool (To Fall In Love With You)	The Flamingos
Sixteen Reasons	Connie Stevens
(There Was A) Tall Oak Tree	Dorsey Burnette
Up Town	Roy Orbison
Skokiaan (South African Song)	Bill Haley And His Comets
Mary Don't You Weep	Stonewall Jackson
A Year Ago Tonight	The Crests
Fannie Mae	Buster Brown
Money (That's what I want)	Barrett Strong
Let It Rock	Chuck Berry
One Mint Julep	Chet Atkins
(Baby) Hully Gully	The Olympics
I Don't Know What It Is	The Bluenotes
Tear Drop	Santo & Johnny
I Wanna Be Loved	Ricky Nelson
Let's Try Again	Clyde McPhatter
Oh! Carol	Neil Sedaka
I'll Take Care Of You	Bobby Bland
Bad Boy	Marty Wilde
Secret Of Love	Elton Anderson With Sid Lawrence Combo
Talk That Talk	Jackie Wilson
What About Us	The Coasters
A Closer Walk	Pete Fountain
I Know What God Is	Perry Como
The Whiffenpoof Song	Bob Crewe
My Little Marine	Jamie Horton
Don't Let The Sun Catch You Cryin'	Ray Charles
Honey Love	Narvel Felts
Clementine	Jan & Dean
