Work	Rihanna Featuring Drake
Love Yourself	Justin Bieber
Stressed Out	twenty one pilots
My House	Flo Rida
Sorry	Justin Bieber
Pillowtalk	Zayn
Me, Myself & I	G-Eazy x Bebe Rexha
Piece By Piece	Kelly Clarkson
7 Years	Lukas Graham
Cake By The Ocean	DNCE
Hello	Adele
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Roses	The Chainsmokers Featuring Rozes
I Took A Pill In Ibiza	Mike Posner
Hands To Myself	Selena Gomez
One Call Away	Charlie Puth
Stitches	Shawn Mendes
Down In The DM	Yo Gotti Featuring Nicki Minaj
Don't	Bryson Tiller
Back To Sleep	Chris Brown
The Hills	The Weeknd
Jumpman	Drake & Future
When We Were Young	Adele
Hotline Bling	Drake
2 Phones	Kevin Gates
Same Old Love	Selena Gomez
Oui	Jeremih
In The Night	The Weeknd
What Do You Mean?	Justin Bieber
Summer Sixteen	Drake
Hide Away	Daya
Say It	Tory Lanez
Here	Alessia Cara
Never Forget You	Zara Larsson & MNEK
679	Fetty Wap Featuring Remy Boyz
Exchange	Bryson Tiller
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Die A Happy Man	Thomas Rhett
Can't Feel My Face	The Weeknd
Ex's & Oh's	Elle King
Adventure Of A Lifetime	Coldplay
Stand By You	Rachel Platten
You Should Be Here	Cole Swindell
White Iverson	Post Malone
Sugar	Robin Schulz Featuring Francesco Yates
Heartbeat	Carrie Underwood
Antidote	Travis Scott
Lean On	Major Lazer & DJ Snake Featuring MO
See You Again	Wiz Khalifa Featuring Charlie Puth
Middle	DJ Snake Featuring Bipolar Sunshine
Best Friend	Young Thug
Let It Go	James Bay
Something In The Way You Move	Ellie Goulding
Drunk On Your Love	Brett Eldredge
My Church	Maren Morris
Low Life	Future Featuring The Weeknd
Beautiful Drug	Zac Brown Band
Youth	Troye Sivan
It's You	Zayn
We Went	Randy Houser
I Know What You Did Last Summer	Shawn Mendes & Camila Cabello
Confession	Florida Georgia Line
Home Alone Tonight	Luke Bryan Featuring Karen Fairchild
Really Really	Kevin Gates
Break On Me.	Keith Urban
Needed Me	Rihanna
Humble And Kind	Tim McGraw
Somewhere On A Beach	Dierks Bentley
Think Of You	Chris Young Duet With Cassadee Pope
Snapback	Old Dominion
Backroad Song	Granger Smith
I Like The Sound Of That	Rascal Flatts
Jimmy Choo	Fetty Wap
Nobody To Blame	Chris Stapleton
Acquainted	The Weeknd
Don't Let Me Down	The Chainsmokers Featuring Daya
Get Ugly	Jason Derulo
Might Be	DJ Luke Nasty
Hello Friday	Flo Rida Featuring Jason Derulo
Wild Things	Alessia Cara
The Sound Of Silence	Disturbed
Little Bit Of You	Chase Bryant
Promise	Kid Ink Featuring Fetty Wap
Mind Reader	Dustin Lynch
Cut It	O.T. Genasis Featuring Young Dolph
Lost Boy	Ruth B
Perfect	One Direction
That Don't Sound Like You	Lee Brice
$ave Dat Money	Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Saved	Ty Dolla $ign Featuring E-40
Cheap Thrills	Sia Featuring Sean Paul
T-Shirt	Thomas Rhett
Sorry Not Sorry	Bryson Tiller
Panda	Desiigner
Til It Happens To You	Lady Gaga
Might Not	Belly Featuring The Weeknd
Head Over Boots	Jon Pardi
Watch Out	2 Chainz
Walking On A Dream	Empire Of The Sun
History	One Direction
