Silly Love Songs	Wings
Get Up And Boogie (That's Right)	Silver Convention
Misty Blue	Dorothy Moore
Sara Smile	Daryl Hall John Oates
Shop Around	Captain & Tennille
More, More, More Pt. 1	Andrea True Connection
Afternoon Delight	Starland Vocal Band
Love Hangover	Diana Ross
I'll Be Good To You	The Brothers Johnson
Kiss And Say Goodbye	The Manhattans
Love Is Alive	Gary Wright
Never Gonna Fall In Love Again	Eric Carmen
Takin' It To The Streets	The Doobie Brothers
Movin'	Brass Construction
I Want You	Marvin Gaye
Moonlight Feels Right	Starbuck
Take The Money And Run	Steve Miller
Got To Get You Into My Life	The Beatles
Rock And Roll Music	The Beach Boys
The Boys Are Back In Town	Thin Lizzy
Shannon	Henry Gross
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
You're My Best Friend	Queen
If You Know What I Mean	Neil Diamond
Today's The Day	America
Let Her In	John Travolta
That's Where The Happy People Go	The Trammps
Making Our Dreams Come True	Cyndi Grecco
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
Turn The Beat Around	Vicki Sue Robinson
Save Your Kisses For Me	Brotherhood Of Man
Happy Days	Pratt & McClain with Brother Love
I'm Easy	Keith Carradine
Last Child	Aerosmith
Mamma Mia	ABBA
Somebody's Gettin' It	Johnnie Taylor
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
Good Vibrations	Todd Rundgren
Sophisticated Lady (She's A Different Lady)	Natalie Cole
Young Hearts Run Free	Candi Staton
I Need To Be In Love	Carpenters
Rhiannon (Will You Ever Win)	Fleetwood Mac
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Welcome Back	John Sebastian
Silver Star	The 4 Seasons
You'll Never Find Another Love Like Mine	Lou Rawls
Who Loves You Better - Part 1	The Isley Brothers
Fool For The City	Foghat
Boogie Fever	The Sylvers
Livin' Ain't Livin'	Firefall
C'mon Marianne	Donny Osmond
Fooled Around And Fell In Love	Elvin Bishop
Something He Can Feel	Aretha Franklin
I Wanna Stay With You	Gallagher And Lyle
Framed	Cheech & Chong
Heaven Must Be Missing An Angel (part 1)	Tavares
Right Back Where We Started From	Maxine Nightingale
You're My Everything	Lee Garrett
Vaya Con Dios	Freddy Fender
I'd Really Love To See You Tonight	England Dan & John Ford Coley
Lipstick	Michel Polnareff
Everything's Coming Up Love	David Ruffin
Hot Stuff/fool To Cry	The Rolling Stones
Yes, Yes, Yes	Bill Cosby
This Masquerade	George Benson
Foxy Lady	Crown Heights Affair
Steppin' Out	Neil Sedaka
It Keeps You Runnin'	Carly Simon
Nutbush City Limits	Bob Seger
I'm Gonna Let My Heart Do The Walking	The Supremes
Crazy On You	Heart
Johnny Cool	The Steve Gibbons Band
A Little Bit More	Dr. Hook
I'll Get Over You	Crystal Gayle
Another Rainy Day In New York City	Chicago
Rain, Oh Rain	Fools Gold
Baby, I Love Your Way	Peter Frampton
Ten Percent	Double Exposure
Blt	Lee Oskar
The Lonely One	Special Delivery Featuring Terry Huff
Who'd She Coo?	Ohio Players
Jukin	Atlanta Rhythm Section
Open	Smokey Robinson
Norma Jean Wants To Be A Movie Star	Sundown Company
Hold On	Sons Of Champlin
Wham Bam (Shang-A-Lang)	Silver
Rainbow In Your Eyes	Leon & Mary Russell
You're Just The Right Size	The Salsoul Orchestra
Cotton Candy	The Sylvers
Better Place To Be (Parts 1 & 2)	Harry Chapin
I Hope We Get To Love In Time	Marilyn McCoo & Billy Davis Jr.
Play That Funky Music	Wild Cherry
Hard Work	John Handy
Happy Man (Pt. I)	Impact
Thinking Of You	Paul Davis
Can't Stop Groovin' Now, Wanna Do It Some More	B.T. Express
Will You Love Me Tomorrow	Dana Valery
December, 1963 (Oh, What a Night)	The 4 Seasons
Tryin' To Get The Feeling Again	Barry Manilow
Rock And Roll Love Letter	Bay City Rollers
