Without You	Nilsson
Hurting Each Other	Carpenters
Precious And Few	Climax
Down By The Lazy River	The Osmonds
Everything I Own	Bread
The Lion Sleeps Tonight	Robert John
Heart Of Gold	Neil Young
Let's Stay Together	Al Green
Sweet Seasons	Carole King
Bang A Gong (Get It On)	T. Rex
The Way Of Love	Cher
American Pie (Parts I & II)	Don McLean
Joy	Apollo featuring Tom Parker
Mother And Child Reunion	Paul Simon
Don't Say You Don't Remember	Beverly Bremers
My World	Bee Gees
Floy Joy	The Supremes
Never Been To Spain	Three Dog Night
Jungle Fever	The Chakachas
A Horse With No Name	America
I Gotcha	Joe Tex
I Can't Help Myself (Sugar Pie, Honey Bunch)	Donnie Elbert
Rock And Roll Lullaby	B.J. Thomas
Anticipation	Carly Simon
Ain't Understanding Mellow	Jerry Butler & Brenda Lee Eager
Day After Day	Badfinger
Runnin' Away	Sly & The Family Stone
Black Dog	Led Zeppelin
Softly Whispering I Love You	The English Congregation
Talking Loud And Saying Nothing - Part I	James Brown
We've Got To Get It On Again	Addrisi Brothers
Fire And Water	Wilson Pickett
Ring The Living Bell	Melanie
Stay With Me	Faces
Footstompin' Music	Grand Funk Railroad
The Nickel Song	Melanie
You Want It, You Got It	Detroit Emeralds
Puppy Love	Donny Osmond
Roundabout	Yes
In The Rain	The Dramatics
No One To Depend On	Santana
Crazy Mama	J.J. Cale
Until It's Time For You To Go	Elvis Presley
Handbags And Gladrags	Rod Stewart
Glory Bound	The Grass Roots
Could It Be Forever	David Cassidy
Love Me, Love Me Love	Frank Mills
The Witch Queen Of New Orleans	Redbone
Kiss An Angel Good Mornin'	Charley Pride
Now Run And Tell That	Denise LaSalle
That's The Way I Feel About Cha	Bobby Womack & Peace
Taurus	Dennis Coffey & The Detroit Guitar Band
Do Your Thing	Isaac Hayes
Feeling Alright	Joe Cocker
Every Day Of My Life	Bobby Vinton
Together Let's Find Love	The 5th Dimension
Iron Man	Black Sabbath
Brian's Song	Michel Legrand
A Cowboys Work Is Never Done	Sonny & Cher
Betcha By Golly, Wow	The Stylistics Featuring Russell Thompkins,Jr.
The Day I Found Myself	The Honey Cone
Take A Look Around	The Temptations
Slippin' Into Darkness	War
Diamonds Are Forever	Shirley Bassey
That's What Love Will Make You Do	Little Milton
Country Wine	The Raiders
Do What You Set Out To Do	Bobby Bland
King Heroin	James Brown
Goin' Down (On The Road To L.A.)	Terry Black & Laurel Ward
Mr. Penguin-Pt. I	Lunar Funk
(Oh Lord Won't You Buy Me A) Mercedes Benz	Goose Creek Symphony
Gimme Some More	The JB's
Afro-Strut	The Nite-Liters
Standing In For Jody	Johnnie Taylor (The Soul Philosopher)
Cheer	Potliquor
Suavecito	Malo
The First Time Ever I Saw Your Face	Roberta Flack
Son Of My Father	Giorgio
Heartbroken Bopper	The Guess Who
White Lies	Grin
Living Without You	Manfred Mann's Earth Band
What It Is	The Undisputed Truth
Waking Up Alone	Paul Williams
Louisianna	Mike Kennedy
Tiny Dancer	Elton John
Nice To Be With You	Gallery
(Love Me) Love The Life I Lead	The Fantastics
Up In Heah	Ike & Tina Turner
Tell 'Em Willie Boy 's A'Comin'	Tommy James
Rock Me On The Water	Linda Ronstadt
Chantilly Lace	Jerry Lee Lewis
It's Four In The Morning	Faron Young
Keep On Doin' What You're Doin'	Bobby Byrd
Your Precious Love	Linda Jones
It's All Up To You	The Dells
Da Doo Ron Ron (When He Walked Me Home)	Ian Matthews
Sweet Sixteen	B.B. King
You Got Me Walking	Jackie Wilson
Since I Fell For You	Laura Lee
Brandy	Scott English
