Don't Wanna Lose You	Gloria Estefan
Girl I'm Gonna Miss You	Milli Vanilli
Heaven	Warrant
Hangin' Tough	New Kids On The Block
Shower Me With Your Love	Surface
Cold Hearted	Paula Abdul
If I Could Turn Back Time	Cher
18 And Life	Skid Row
Angel Eyes	The Jeff Healey Band
Cherish	Madonna
Right Here Waiting	Richard Marx
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
One	Bee Gees
Kisses On The Wind	Neneh Cherry
Miss You Much	Janet Jackson
That's The Way	Katrina And The Waves
Soul Provider	Michael Bolton
Don't Look Back	Fine Young Cannibals
It's Not Enough	Starship
Bust A Move	Young M.C.
Talk It Over	Grayson Hugh
Love Song	The Cure
The End Of The Innocence	Don Henley
Secret Rendezvous	Karyn White
Runnin' Down A Dream	Tom Petty
It's No Crime	Babyface
On Our Own (From "Ghostbusters II")	Bobby Brown
When I Looked At Him	Expose
Mixed Emotions	The Rolling Stones
(You're My One And Only) True Love	Seduction
Partyman	Prince
I Like It	Dino
Friends	Jody Watley With Eric B. & Rakim
Once Bitten Twice Shy	Great White
Listen To Your Heart	Roxette
Sowing The Seeds Of Love	Tears For Fears
What I Like About You	Michael Morales
Rock Wit'cha	Bobby Brown
Love In An Elevator	Aerosmith
Healing Hands	Elton John
Put Your Mouth On Me	Eddie Murphy
Dr. Feelgood	Motley Crue
Batdance (From "Batman")	Prince
Sacred Emotion	Donny Osmond
Need A Little Taste Of Love	The Doobie Brothers
Love Cries	Stage Dolls
The Best	Tina Turner
Call It Love	Poco
Turned Away	Chuckii Booker
Let Go	Sharon Bryant
I Feel The Earth Move	Martika
So Alive	Love And Rockets
What About Me	Moving Pictures
Toy Soldiers	Martika
If You Don't Know Me By Now	Simply Red
Love Shack	The B-52s
Lay Down Your Arms	The Graces
Don't Shut Me Out	Kevin Paige
Glamour Boys	Living Colour
Hey Ladies	Beastie Boys
Headed For A Heartbreak	Winger
Cover Girl	New Kids On The Block
Forget Me Not	Bad English
Puss N' Boots/These Boots (Are Made For Walkin')	Kon Kan
My Heart Skips A Beat	The Cover Girls
Sunshine	Dino
The Prisoner	Howard Jones
Didn't I (Blow Your Mind)	New Kids On The Block
Congratulations	Vesta
Talk To Myself	Christopher Williams
Stand Up	Underworld
When I See You Smile	Bad English
I'm That Type Of Guy	LL Cool J
Oh Daddy	Adrian Belew
On The Line	Tangier
Little Fighter	White Lion
Don't Say You Love Me	Billy Squier
In My Eyes	Stevie B
Don't Close Your Eyes	KIX
Hooked On You	Sweet Sensation
Gypsy Road	Cinderella
Lay Your Hands On Me	Bon Jovi
When The Radio Is On	Paul Shaffer
Me So Horny	The 2 Live Crew
I Don't Want A Lover	Texas
Closer To Fine	Indigo Girls
Baby Don't Forget My Number	Milli Vanilli
Smooth Up	BulletBoys
Love's About to Change My Heart	Donna Summer
Dressed For Success	Roxette
Lay All Your Love On Me	Information Society
Walkin' Shoes	Tora Tora
Wind Beneath My Wings (From "Beaches")	Bette Midler
This One	Paul McCartney
Me Myself And I	De La Soul
I Love The Bass	Bardeux
Let The Day Begin	The Call
Express Yourself	Madonna
Hey Baby	Henry Lee Summer
No More Rhyme	Debbie Gibson
