One Bad Apple	The Osmonds
Mama's Pearl	Jackson 5
Me And Bobby McGee	Janis Joplin
Just My Imagination (Running Away With Me)	The Temptations
If You Could Read My Mind	Gordon Lightfoot
She's A Lady	Tom Jones
For All We Know	Carpenters
Amos Moses	Jerry Reed
Mr. Bojangles	Nitty Gritty Dirt Band
Sweet Mary	Wadsworth Mansion
Have You Ever Seen The Rain/Hey Tonight	Creedence Clearwater Revival
Proud Mary	Ike & Tina Turner
(Theme From) Love Story	Henry Mancini And His Orchestra
Knock Three Times	Dawn
Doesn't Somebody Want To Be Wanted	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Rose Garden	Lynn Anderson
Watching Scotty Grow	Bobby Goldsboro
Don't Let The Green Grass Fool You	Wilson Pickett
Amazing Grace	Judy Collins
I Hear You Knocking	Dave Edmunds
Temptation Eyes	The Grass Roots
Help Me Make It Through The Night	Sammi Smith
Cried Like A Baby	Bobby Sherman
(Where Do I Begin) Love Story	Andy Williams
Groove Me	King Floyd
Oye Como Va	Santana
What Is Life	George Harrison
Jody's Got Your Girl And Gone	Johnnie Taylor
What's Going On	Marvin Gaye
(Do The) Push And Pull Part I	Rufus Thomas
Theme From Love Story	Francis Lai And His Orchestra
Free	Chicago
If I Were Your Woman	Gladys Knight And The Pips
Burning Bridges	The Mike Curb Congregation
Wild World	Cat Stevens
D.O.A.	Bloodrock
Precious, Precious	Jackie Moore
You're All I Need To Get By	Aretha Franklin
Blue Money	Van Morrison
Just Seven Numbers (Can Straighten Out My Life)	Four Tops
Lonely Days	Bee Gees
Country Road	James Taylor
Hang On To Your Life	The Guess Who
Chairman Of The Board	Chairman Of The Board
No Love At All	B.J. Thomas
Love's Lines, Angles And Rhymes	The 5th Dimension
Let Your Love Go	Bread
One Toke Over The Line	Brewer And Shipley
Cherish What Is Dear To You (While It's Near to You)	Freda Payne
Your Time To Cry	Joe Simon
Eighteen	Alice Cooper
I'm So Proud	The Main Ingredient
1900 Yesterday	Liz Damon's Orient Express
Somebody's Watching You	Little Sister
Another Day/Oh Woman Oh Why	Paul McCartney
Heavy Makes You Happy (Sha-Na-Boom Boom)	The Staple Singers
We Gotta Get You A Woman	Runt
Bed Of Rose's	The Statler Brothers
I Love You For All Seasons	The Fuzz
Superstar	Murray Head With The Trinidad Singers
Soul Power (Pt. 1)	James Brown
God Bless Whoever Sent You	The Originals
Fresh As A Daisy	Emitt Rhodes
It's Impossible	Perry Como
Ask Me No Questions	B.B. King
Ain't Got Time	The Impressions
When There's No You	Engelbert Humperdinck
The Morning Of Our Lives	Arkade
Triangle Of Love (Hey Diddle Diddle)	The Presidents
Lonely Teardrops	Brian Hyland
Keep The Customer Satisfied	Gary Puckett
If It's Real What I Feel	Jerry Butler Featuring Brenda Lee Eager
Tongue In Cheek	Sugarloaf
Ain't It A Sad Thing	R. Dean Taylor
Angel Baby	Dusk
He Called Me Baby	Candi Staton
When I'm Dead And Gone	McGuinness Flint
After The Fire Is Gone	Conway Twitty & Loretta Lynn
Don't Make Me Pay For His Mistakes	Z.Z. Hill
Do Me Right	Detroit Emeralds
Everything Is Good About You	The Lettermen
The Look Of Love	Isaac Hayes
Woodstock	Matthews' Southern Comfort
Pushbike Song	The Mixtures
Snow Blind Friend	Steppenwolf
Tulsa	Billy Joe Royal
Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop
Didn't It Look So Easy	The Stairsteps
Celia Of The Seals	Donovan
Spinning Wheel (Pt. 1)	James Brown
Bell Bottom Blues	Derek & The Dominos
I Pity The Fool	Ann Peebles
Super Highway	Ballin' Jack
I Don't Know How To Love Him	Helen Reddy
Timothy	The Buoys
One Man's Leftovers (Is Another Man's Feast)	100 Proof Aged in Soul
Wild World	The Gentrys
Beginning To Feel The Pain	Mac Davis
Stay Awhile	The Bells
What About Me	Quicksilver Messenger Service
