Jive Talkin'	Bee Gees
I'm Not In Love	10cc
Please Mr. Please	Olivia Newton-John
One Of These Nights	Eagles
Someone Saved My Life Tonight	Elton John
Midnight Blue	Melissa Manchester
Rhinestone Cowboy	Glen Campbell
Why Can't We Be Friends?	War
How Sweet It Is (To Be Loved By You)	James Taylor
The Rockford Files	Mike Post
The Hustle	Van McCoy & The Soul City Symphony
Listen To What The Man Said	Wings
Dynomite-Part I	Tony Camillo's Bazuka
Mornin' Beautiful	Tony Orlando & Dawn
Fallin' In Love	Hamilton, Joe Frank & Reynolds
I'm On Fire	Dwight Twilley Band
Love Will Keep Us Together	The Captain & Tennille
Fight The Power Part 1	The Isley Brothers
Slippery When Wet	Commodores
At Seventeen	Janis Ian
Holdin' On To Yesterday	Ambrosia
Get Down Tonight	KC And The Sunshine Band
Just A Little Bit Of You	Michael Jackson
Wasted Days And Wasted Nights	Freddy Fender
Feel Like Makin' Love	Bad Company
Could It Be Magic	Barry Manilow
That's The Way Of The World	Earth, Wind & Fire
The Way We Were/try To Remember	Gladys Knight And The Pips
Ballroom Blitz	Sweet
Third Rate Romance	Amazing Rhythm Aces
Help Me Rhonda	Johnny Rivers
Rockin' Chair	Gwen McCrae
That's When The Music Takes Me	Neil Sedaka
Rendezvous	The Hudson Brothers
Fame	David Bowie
Send In The Clowns	Judy Collins
Swearin' To God	Frankie Valli
Til The World Ends	Three Dog Night
Look At Me (I'm In Love)	Moments
(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool	Travis Wammack
Tush	ZZ Top
Hope That We Can Be Together Soon	Sharon Paige and Harold Melvin And The Blue Notes
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
(I Believe) There's Nothing Stronger Than Our Love	Paul Anka/Odia Coates
Two Fine People	Cat Stevens
Daisy Jane	America
Every Time You Touch Me (I Get High)	Charlie Rich
Saturday Night Special	Lynyrd Skynyrd
Glasshouse	The Temptations
The Biggest Parakeets In Town	Jud Strunk
It Doesn't Matter Anymore/When Will I Be Loved	Linda Ronstadt
The Proud One	The Osmonds
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
Dream Merchant	New Birth
Feelings	Morris Albert
Can't Give You Anything (but My Love)	The Stylistics
Blue Sky	Joan Baez
Dance With Me	Orleans
Get The Cream Off The Top	Eddie Kendricks
Forever Came Today	Jackson 5
Free Man	South Shore Commission
It Only Takes A Minute	Tavares
Bluebird	Helen Reddy
Magic	Pilot
Solitaire	Carpenters
Sweet Maxine	The Doobie Brothers
Oh Me, Oh My (Dreams In My Arms)	Al Green
Run Joey Run	David Geddes
Rocky	Austin Roberts
I Believe I'm Gonna Love You	Frank Sinatra
Rock & Roll Runaway	Ace
Sooner Or Later	The Impressions
7-6-5-4-3-2-1 (Blow Your Whistle)	Gary Toms Empire
Flyin' High	The Blackbyrds
Let Me Make Love To You	The O'Jays
Keep Your Eye On The Sparrow	Merry Clayton
Brazil	The Ritchie Family
Waterfall	Carly Simon
Like They Say In L.A.	East L.A. Car Pool
I Love Makin' Love To You	Evie Sands
Alvin Stone (The Birth & Death Of A Gangster)	Fantastic Four
They Just Can't Stop It the (Games People Play)	The Spinners
Action Speaks Louder Than Words	Chocolate Milk
Give It What You Got/Peace Pipe	B.T. Express
Lady Blue	Leon Russell
Ain't No Way To Treat A Lady	Helen Reddy
Your Love	Graham Central Station
Inside My Love	Minnie Riperton
S.O.S.	ABBA
Turn Back The Pages	Stephen Stills
Misty	Ray Stevens
Mamacita	The Grass Roots
You Are A Song	Batdorf & Rodney
For Your Love	Christopher Paul And Shawn
Main Title (Theme From "Jaws")	John Williams/"Jaws" Soundtrack
Disco Queen	Hot Chocolate
Chase The Clouds Away	Chuck Mangione
Honey Trippin'	The Mystic Moods
(Call Me Your) Anything Man	Bobby Moore
Katmandu	Bob Seger
