Mood	24kGoldn Featuring iann dior
Therefore I Am	Billie Eilish
Positions	Ariana Grande
I Hope	Gabby Barrett Featuring Charlie Puth
Laugh Now Cry Later	Drake Featuring Lil Durk
Holy	Justin Bieber Featuring Chance The Rapper
Blinding Lights	The Weeknd
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Dakiti	Bad Bunny & Jhay Cortez
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Go Crazy	Chris Brown & Young Thug
Kings & Queens	Ava Max
Dynamite	BTS
More Than My Hometown	Morgan Wallen
WAP	Cardi B Featuring Megan Thee Stallion
Rockstar	DaBaby Featuring Roddy Ricch
Before You Go	Lewis Capaldi
Be Like That	Kane Brown With Swae Lee & Khalid
Levitating	Dua Lipa Featuring DaBaby
Watermelon Sugar	Harry Styles
Hawai	Maluma & The Weeknd
ily	Surf Mesa Featuring Emilee
Bang!	AJR
Starting Over	Chris Stapleton
Lonely	Justin Bieber & benny blanco
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Said Sum	Moneybagg Yo
All I Want For Christmas Is You	Mariah Carey
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Drankin N Smokin	Future & Lil Uzi Vert
What You Know Bout Love	Pop Smoke
One Of Them Girls	Lee Brice
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
Love You Like I Used To	Russell Dickerson
Pretty Heart	Parker McCollum
Holiday	Lil Nas X
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
Better Together	Luke Combs
Forever After All	Luke Combs
Got What I Got	Jason Aldean
Big, Big Plans	Chris Lane
Rockin' Around The Christmas Tree	Brenda Lee
Wonder	Shawn Mendes
pov	Ariana Grande
Stripes Like Burberry	Future & Lil Uzi Vert
Come & Go	Juice WRLD x Marshmello
Diamonds	Sam Smith
Adore You	Harry Styles
That's It	Future & Lil Uzi Vert
You Broke Me First.	Tate McRae
I Should Probably Go To Bed	Dan + Shay
The Woo	Pop Smoke Featuring 50 Cent & Roddy Ricch
Real Baby Pluto	Future & Lil Uzi Vert
Ain't Always The Cowboy	Jon Pardi
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
Iris	Phoebe & Maggie
Franchise	Travis Scott Featuring Young Thug & M.I.A.
My Ex's Best Friend	Machine Gun Kelly X blackbear
Took Her To The O	King Von
Mood Swings	Pop Smoke Featuring Lil Tjay
B.S.	Jhene Aiko Featuring H.E.R.
7 Summers	Morgan Wallen
Marni On Me	Future & Lil Uzi Vert
Midnight Sky	Miley Cyrus
Tyler Herro	Jack Harlow
Million Dollar Play	Future & Lil Uzi Vert
Sleeping On The Floor	Future & Lil Uzi Vert
Throat Baby (Go Baby)	BRS Kash
Don't Stop	Megan Thee Stallion Featuring Young Thug
Good Time	Niko Moon
Hole In The Bottle	Kelsea Ballerini
U 2 Luv	Ne-Yo & Jeremih
Blind	DaBaby Featuring Young Thug
So Done	The Kid LAROI
Hit Different	SZA Featuring Ty Dolla $ign
Golden	Harry Styles
Champagne Night	Lady A
Some Girls	Jameson Rodgers
Martin & Gina	Polo G
Whoopty	CJ
Everywhere But On	Matt Stell
Popstar	DJ Khaled Featuring Drake
Wishing Well	Juice WRLD
What's Your Country Song	Thomas Rhett
Plastic	Future & Lil Uzi Vert
Put Your Records On	Ritt Momney
Heather	Conan Gray
24	Money Man Featuring Lil Baby
Happy Does	Kenny Chesney
Runnin	21 Savage & Metro Boomin
Relacion	Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko
Beers And Sunshine	Darius Rucker
Take You Dancing	Jason Derulo
La Toxica	Farruko
Tap In	Saweetie
Rockstar Chainz	Future
Kacey Talk	YoungBoy Never Broke Again
Practice	DaBaby
Bought A Bad Bitch	Future & Lil Uzi Vert
