The First Night	Monica
One Week	Barenaked Ladies
How Deep Is Your Love	Dru Hill Featuring Redman
Lately	Divine
Because Of You	98 Degrees
Crush	Jennifer Paige
I Don't Want To Miss A Thing	Aerosmith
This Kiss	Faith Hill
I'll Be	Edwin McCain
Nobody's Supposed To Be Here	Deborah Cox
Touch It	Monifah
Come And Get With Me	Keith Sweat Featuring Snoop Dogg
The Power Of Good-Bye	Madonna
Westside	TQ
My Little Secret	Xscape
I Still Love You	Next
Too Close	Next
Never Ever	All Saints
Love Me	112 Featuring Mase
When The Lights Go Out	Five
You're Still The One	Shania Twain
Time After Time	Inoj
My Way	Usher
The Boy Is Mine	Brandy & Monica
Truly Madly Deeply	Savage Garden
All The Places (I Will Kiss You)	Aaron Hall
Just The Two Of Us	Will Smith
Daydreamin'	Tatyana Ali
Adia	Sarah McLachlan
So Into You	Tamia
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
Pushin' Weight	Ice Cube Featuring Mr. Short Khop
Splackavellie	Pressha
I Can Do That	Montell Jordan
Movin' On	Mya Featuring Silkk The Shocker
Wherever You Go	Voices Of Theory
Trippin'	Total Featuring Missy Elliott
Still A G Thang	Snoop Dogg
All My Life	K-Ci & JoJo
Lookin' At Me	Mase Featuring Puff Daddy
SuperThug (What What)	Noreaga
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Hard Knock Life (Ghetto Anthem)	JAY-Z
Still Not A Player	Big Punisher Featuring Joe
I Don't Want To Wait	Paula Cole
Whatcha Wanna Do?	Mia X Featuring Charlie Wilson
Friend Of Mine	Kelly Price
How's It Going To Be	Third Eye Blind
Thinkin' Bout It	Gerald Levert
Ghetto Supastar (That Is What You Are)	Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya
Intergalactic	Beastie Boys
I Had No Right	P.M. Dawn
Everything's Gonna Be Alright	Sweetbox
Don't Let It Go To Your Head	Brand Nubian
Perfect	The Smashing Pumpkins
Shimmer	Fuel
Lost In Love	Nastyboy Klick
Cruel Summer	Ace Of Base
Ray Of Light	Madonna
Invasion Of The Flat Booty B*****s	Too $hort
Goodbye To My Homies	Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick
Music Sounds Better With You	Stardust
26 Cents	The Wilkinsons
If You Could Read My Mind	Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez
Better Days	WC Featuring Jon B.
Money's Just A Touch Away	Mack 10 Featuring Gerald Levert
Nobody Else	Tyrese
Ooh La La	Rod Stewart
Can't Get Enough	Willie Max Featuring Raphael Saadiq
Yesterday	Debelah Morgan
Money Ain't A Thang	JD Featuring Jay-Z
Only When I Lose Myself	Depeche Mode
How's It Goin' Down	DMX Featuring Faith Evans
Come With Me	Puff Daddy Featuring Jimmy Page
No Fool No More	En Vogue
Whenever You're Near Me	Ace Of Base
Landslide	Fleetwood Mac
The Rockafeller Skank	Fatboy Slim
For You I Will	Aaron Tippin
Let The Music Heal Your Soul	BRAVO All Stars
Life Ain't Easy	Cleopatra
Touch Me	Solo
Here We Go	Funkmaster Flex Presents Khadejia Featuring Product
Deadly Zone	Bounty Killer Featuring Mobb Deep & Rappin' Noyd
Let Me Return The Favor	Andrea Martin
Dr. Greenthumb	Cypress Hill
Gotta Be	Jagged Edge
I Ain't Havin' That	Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday
A Little Past Little Rock	Lee Ann Womack
Ava Adore	The Smashing Pumpkins
If I Can't Have You	L.F.O. (Lyte Funky Ones) (Featuring Kayo)
Wide Open Spaces	Dixie Chicks
The Street Mix	Mag 7
If I Lost You	Travis Tritt
Nobody Does It Better	Nate Dogg Featuring Warren G
I Should Cheat On You	J'Son
Can't We Try	Rockell [Duet With Collage]
If I Had The Chance	Cynthia
Cleopatra's Theme	Cleopatra
Horse & Carriage	Cam'Ron Featuring Mase
