Duke Of Earl	Gene Chandler
Peppermint Twist - Part I	Joey Dee & the Starliters
The Twist	Chubby Checker
Norman	Sue Thompson
The Wanderer	Dion
Break It To Me Gently	Brenda Lee
I Know (You Don't Love Me No More)	Barbara George
Can't Help Falling In Love	Elvis Presley With The Jordanaires
Crying In The Rain	The Everly Brothers
Dear Lady Twist	Gary U.S. Bonds
A Little Bitty Tear	Burl Ives
Baby It's You	The Shirelles
Hey! Baby	Bruce Channel
Cotton Fields	The Highwaymen
Chip Chip	Gene McDaniels
The Lion Sleeps Tonight	The Tokens
Irresistible You	Bobby Darin
She's Everything (I Wanted You To Be)	Ral Donner
Shadrack	Brook Benton
I'm Blue (The Gong-Gong Song)	The Ikettes
Letter Full Of Tears	Gladys Knight And The Pips
Run To Him	Bobby Vee
Town Without Pity	Gene Pitney
When I Fall In Love	The Lettermen
The Cajun Queen	Jimmy Dean
Tuff	Ace Cannon
Let Me In	The Sensations
Smoky Places	The Corsairs Featuring Jay "Bird" Uzzell
Midnight In Moscow	Kenny Ball and his Jazzmen
Multiplication	Bobby Darin
Her Royal Majesty	James Darren
Surfer's Stomp	The Marketts
Percolator (Twist)	Billy Joe & The Checkmates
The Greatest Hurt	Jackie Wilson
To A Sleeping Beauty	Jimmy Dean
Moon River	Henry Mancini And His Orchestra
My Boomerang Won't Come Back	Charlie Drake
Twistin' The Night Away	Sam Cooke
Do-Re-Mi	Lee Dorsey
What's So Good About Good-by	The Miracles
Twist-Her	Bill Black's Combo
She's Got You	Patsy Cline
Chattanooga Choo Choo	Floyd Cramer
If You Gotta Make A Fool Of Somebody	James Ray
I'll See You In My Dreams	Pat Boone
Don't Break The Heart That Loves You	Connie Francis
What's Your Name	Don & Juan
Twistin' Postman	The Marvelettes
Lost Someone	James Brown And The Famous Flames
Afrikaan Beat	Bert Kaempfert And His Orchestra
Where Have All The Flowers Gone	The Kingston Trio
Let There Be Drums	Sandy Nelson
He Knows I Love Him Too Much	The Paris Sisters
Walk On By	Leroy Van Dyke
Drums Are My Beat	Sandy Nelson
Happy Birthday, Sweet Sixteen	Neil Sedaka
Unchain My Heart	Ray Charles and his Orchestra
(Do The New) Continental	The Dovells
Happy Jose (Ching-Ching)	Jack Ross
Cry To Me	Solomon Burke
Jamie	Eddie Holland
Dear Ivan	Jimmy Dean
Dreamy Eyes	Johnny Tillotson
Hey, Let's Twist	Joey Dee & the Starliters
That's My Pa	Sheb Wooley
Go On Home	Patti Page
My Melancholy Baby	The Marcels
B'wa Nina (Pretty Girl)	The Tokens
Funny How Time Slips Away	Jimmy Elledge
Ecstasy	Ben E. King
Lizzie Borden	The Chad Mitchell Trio
The Majestic	Dion
Come Back Silly Girl	The Lettermen
Our Anniversary	Shep And The Limelites
Nite Owl	Dukays
Oliver Twist	Rod McKuen
Dream Baby (How Long Must I Dream)	Roy Orbison
Let Me Call You Sweetheart	Timi Yuro
What's The Reason	Bobby Edwards
Midnight	Johnny Gibson
Walk On The Wild Side	Brook Benton
Bandit Of My Dreams	Eddie Hodges
(I've Got) Bonnie	Bobby Rydell
Blue Water Line	The Brothers Four
Bermuda	Linda Scott
Tears And Laughter	Dinah Washington
Yessiree	Linda Scott
Cry Baby Cry	The Angels
Pop-Eye	Huey Smith
Lose Her	Bobby Rydell
Do You Know How To Twist	Hank Ballard
Love Is The Sweetest Thing	Saverio Saridis
Surfin	The Beach Boys
It's Magic	The Platters
Shimmy, Shimmy Walk, Part 1	The Megatons
I Surrender, Dear	Aretha Franklin
Strange	Patsy Cline
Joey Baby	Anita & Th' So-And-So's
Grow Closer Together	The Impressions
Soul Twist	King Curtis And The Noble Knights
