Smooth	Santana Featuring Rob Thomas
Heartbreaker	Mariah Carey Featuring Jay-Z
Music Of My Heart	'N Sync & Gloria Estefan
Unpretty	TLC
Mambo No. 5 (A Little Bit Of...)	Lou Bega
Satisfy You	Puff Daddy Featuring R. Kelly
My Love Is Your Love	Whitney Houston
We Can't Be Friends	Deborah Cox With R.L.
I Need To Know	Marc Anthony
Scar Tissue	Red Hot Chili Peppers
Someday	Sugar Ray
Genie In A Bottle	Christina Aguilera
She's All I Ever Had	Ricky Martin
If I Could Turn Back The Hands Of Time	R. Kelly
Where My Girls At?	702
Steal My Sunshine	Len
I Do (Cherish You)	98 Degrees
Back At One	Brian McKnight
All Star	Smash Mouth
Black Balloon	Goo Goo Dolls
Bailamos	Enrique Iglesias
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
(You Drive Me) Crazy	Britney Spears
She's So High	Tal Bachman
Get Gone	Ideal
Vivrant Thing	Q-Tip
Spend My Life With You	Eric Benet Featuring Tamia
I Want It All	Warren G Featuring Mack 10
I Love You	Martina McBride
I Want It That Way	Backstreet Boys
U Know What's Up	Donell Jones
Something Like That	Tim McGraw
Man! I Feel Like A Woman!	Shania Twain
Larger Than Life	Backstreet Boys
So Anxious	Ginuwine
Gotta Man	Eve
Waiting For Tonight	Jennifer Lopez
There She Goes	Sixpence None The Richer
Bug A Boo	Destiny's Child
I Wanna Love You Forever	Jessica Simpson
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
Ready To Run	Dixie Chicks
Lost In You	Garth Brooks as Chris Gaines
Bills, Bills, Bills	Destiny's Child
Stay The Night	IMx
If You Had My Love	Jennifer Lopez
I'm Already Taken	Steve Wariner
What Do You Say To That	George Strait
Candy	Mandy Moore
Out Of My Head	Fastball
Angels Would Fall	Melissa Etheridge
Big Deal	LeAnn Rimes
Never Gonna Let You Go	Faith Evans
American Woman	Lenny Kravitz
Lonely And Gone	Montgomery Gentry
Higher	Creed
Home To You	John Michael Montgomery
What's My Age Again?	Blink-182
Meet Virginia	Train
She's In Love	Mark Wills
Summer Girls	LFO
Girls' Best Friend	JAY-Z
What Ya Want	EVE & Nokio
When I Said I Do	Clint Black
I'll Go Crazy	Andy Griggs
15 Minutes	Marc Nelson
You Had Me From Hello	Kenny Chesney
Hey Leonardo (She Likes Me For Me)	Blessid Union Of Souls
Learn To Fly	Foo Fighters
The Chemicals Between Us	Bush
I Knew I Loved You	Savage Garden
All Things Considered	Yankee Grey
Bring It All To Me	Blaque
Come On Over	Shania Twain
Missing You	Brooks & Dunn
I Could Not Ask For More	Edwin McCain
You'll Be In My Heart	Phil Collins
The Dolphin's Cry	Live
Little Man	Alan Jackson
Wanna Be A Baller	Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T
B-Please	Snoop Dogg Featuring Xzibit & Nate Dogg
It's All About You (Not About Me)	Tracie Spencer
He Didn't Have To Be	Brad Paisley
Jigga My N****	JAY-Z
Got Your Money	Ol' Dirty Bastard Featuring Kelis
Lightning Does The Work	Chad Brock
Beauty	Dru Hill
Meeting In My Bedroom	Silk
U Don't Know Me (Like U Used To)	Brandy
I'll Still Love You More	Trisha Yearwood
Jamboree	Naughty By Nature Featuring Zhane
Get It On Tonite	Montell Jordan
All N My Grill	Missy "Misdemeanor" Elliott Featuring Big Boi & Nicole
Give You What You Want (Fa Sure)	Chico DeBarge
All That I Can Say	Mary J. Blige
The Greatest Romance Ever Sold	Prince
The Secret Of Life	Faith Hill
Steam	Ty Herndon
Sexual (Li Da Di)	Amber
Simon Says	Pharoahe Monch
