Moody River	Pat Boone
Travelin' Man	Ricky Nelson
Quarter To Three	U.S. Bonds
Stand By Me	Ben E. King
Raindrops	Dee Clark
The Writing On The Wall	Adam Wade
Tossin' And Turnin'	Bobby Lewis
Every Beat Of My Heart	Pips
The Boll Weevil Song	Brook Benton
Those Oldies But Goodies (Remind Me Of You)	Little Caesar and The Romans
Running Scared	Roy Orbison
You Always Hurt The One You Love	Clarence Henry
Barbara-Ann	The Regents
I Feel So Bad	Elvis Presley
Yellow Bird	Arthur Lyman Group
Dance On Little Girl	Paul Anka
Hello Mary Lou	Ricky Nelson
Heart And Soul	The Cleftones
Hello Walls	Faron Young
Peanut Butter	The Marathons
Rama Lama Ding Dong	The Edsels
Mama Said	The Shirelles
Little Egypt (Ying-Yang)	The Coasters
Daddy's Home	Shep And The Limelites
I'm A Fool To Care	Joe Barry
A Hundred Pounds Of Clay	Gene McDaniels
Wild In The Country	Elvis Presley With The Jordanaires
Mother-In-Law	Ernie K-Doe
Temptation	The Everly Brothers
Tell Me Why	The Belmonts
Tragedy	The Fleetwoods
Little Devil	Neil Sedaka
Hats Off To Larry	Del Shannon
Breakin' In A Brand New Broken Heart	Connie Francis
Count Every Star	Donnie and The Dreamers
Girl Of My Best Friend	Ral Donner
Lullaby Of Love	Frank Gari
Better Tell Him No	The Starlets
Never On Sunday	Don Costa And His Orchestra And Chorus
It Keeps Rainin'	Fats Domino
Stick With Me Baby	The Everly Brothers
Runaway	Del Shannon
San Antonio Rose	Floyd Cramer
The Bilbao Song	Andy Williams
Triangle	Janie Grant
My Kind Of Girl	Matt Monro
Cupid	Sam Cooke
Three Hearts In A Tangle	Roy Drusky
I'm Comin' On On Back To You	Jackie Wilson
What A Surprise	Johnny Maestro The Voice Of The Crests
Jimmy Martinez	Marty Robbins
I Don't Mind	James Brown And The Famous Flames
Please Stay	The Drifters
Halfway To Paradise	Tony Orlando
Ole Buttermilk Sky	Bill Black's Combo
Exodus	Eddie Harris
Tonight (Could Be The Night)	The Velvets featuring Virgil Johnson
Every Beat Of My Heart	Gladys Knight And The Pips
Anna	Jorgen Ingmann & His Guitar
Nobody Cares (about me)	Jeanette (Baby) Washington
Sacred	The Castells
Jura (I Swear I Love You)	Les Paul And Mary Ford
Portrait Of My Love	Steve Lawrence
I Fall To Pieces	Patsy Cline
The Wayward Wind	Gogi Grant
Nature Boy	Bobby Darin
That Old Black Magic	Bobby Rydell
You Can't Sit Down Part 2	Philip Upchurch Combo
Dum Dum	Brenda Lee
Fool That I Am	Etta James
I Like It Like That, Part 1	Chris Kenner
Yellow Bird	Lawrence Welk And His Orchestra
The Girl's A Devil	The Dukays
How Many Tears	Bobby Vee
Should I	The String-A-Longs
Right Or Wrong	Wanda Jackson
Watch Your Step	Bobby Parker
Buzz Buzz A-Diddle-It	Freddy Cannon
The Lonely Crowd	Teddy Vann
Daydreams	Johnny Crawford
Mom And Dad's Waltz	Patti Page
Hold Back The Tears	The Delacardos
A Scottish Soldier (Green Hills of Tyrol)	Andy Stewart
I've Got News For You	Ray Charles
Let's Twist Again	Chubby Checker
Bobby	Neil Scott
I'm Gonna Move To The Outskirts Of Town	Ray Charles
(Theme From) "Goodbye Again"	Ferrante & Teicher
Sad Eyes (Don't You Cry)	The Echoes
Blue Tomorrow	Billy Vaughn And His Orchestra
I'm Gonna Knock On Your Door	Eddie Hodges
The Float	Hank Ballard And The Midnighters
Point Of No Return	Adam Wade
Dooley	The Olympics
Sea Of Heartbreak	Don Gibson
Joanie	Frankie Calen
The Charleston	Ernie Fields
Never On Sunday	The Chordettes
No, No, No	The Chanters
I'll Never Be Free	Kay Starr
