Wedding Bell Blues	The 5th Dimension
Take A Letter Maria	R.B. Greaves
Something	The Beatles
And When I Die	Blood, Sweat & Tears
Smile A Little Smile For Me	The Flying Machine
Na Na Hey Hey Kiss Him Goodbye	Steam
Come Together/Something	The Beatles
Yester-Me, Yester-You, Yesterday	Stevie Wonder
Suspicious Minds	Elvis Presley
I Can't Get Next To You	The Temptations
Baby It's You	Smith
Leaving On A Jet Plane	Peter, Paul & Mary
Backfield In Motion	Mel And Tim
Fortunate Son	Creedence Clearwater Revival
Baby, I'm For Real	The Originals
Sugar, Sugar	The Archies
Going In Circles	The Friends Of Distinction
Eli's Coming	Three Dog Night
Cherry Hill Park	Billy Joe Royal
Someday We'll Be Together	Diana Ross & The Supremes
Down On The Corner/Fortunate Son	Creedence Clearwater Revival
Tracy	The Cuff Links
Is That All There Is	Peggy Lee
Try A Little Kindness	Glen Campbell
Hot Fun In The Summertime	Sly & The Family Stone
Reuben James	Kenny Rogers & The First Edition
Suite: Judy Blue Eyes	Crosby, Stills & Nash
Holly Holy	Neil Diamond
Undun	The Guess Who
You've Lost That Lovin' Feeling	Dionne Warwick
Ball Of Fire	Tommy James And The Shondells
Let A Man Come In And Do The Popcorn (Part One)	James Brown
Eleanor Rigby	Aretha Franklin
Friendship Train	Gladys Knight And The Pips
Mind, Body and Soul	The Flaming Ember
These Eyes	Jr. Walker & The All Stars
Raindrops Keep Fallin' On My Head	B.J. Thomas
Make Your Own Kind Of Music	Mama Cass Elliot
Groovy Grubworm	Harlow Wilcox and the Oakies
Heaven Knows	The Grass Roots
So Good Together	Andy Kim
We Love You, Call Collect	Art Linkletter
I Guess The Lord Must Be In New York City	Nilsson
Roosevelt And Ira Lee (Night of the Mossacin)	Tony Joe White
Evil Woman Don't Play Your Games With Me	CROW
Midnight Cowboy	Ferrante & Teicher
Up On Cripple Creek	The Band
Jesus Is A Soul Man	Lawrence Reynolds
Let A Woman Be A Woman - Let A Man Be A Man	Dyke And The Blazers
A Brand New Me	Dusty Springfield
Love Will Find A Way	Jackie DeShannon
Time Machine	Grand Funk Railroad
On The Dock Of The Bay	The Dells
Tonight I'll Be Staying Here With You	Bob Dylan
Any Way That You Want Me	Evie Sands
You Got To Pay The Price	Gloria Taylor
Doin' Our Thing	Clarence Carter
Turn On A Dream	The Box Tops
Echo Park	Keith Barbour
Kool And The Gang	Kool & The Gang
Okie From Muskogee	Merle Haggard And The Strangers
Crumbs Off The Table	The Glass House
I Can't Make It Alone	Lou Rawls
Say You Love Me	The Impressions
Jingo	Santana
The Sweeter He Is - Part I	The Soul Children
I Want You Back	Jackson 5
Girls It Ain't Easy	The Honey Cone
Jam Up Jelly Tight	Tommy Roe
Midnight	Dennis Yost And The Classics IV
Ain't It Funky Now (Part 1)	James Brown
Get It From The Bottom	The Steelers
Cupid	Johnny Nash
Cold Turkey	Plastic Ono Band
See Ruby Fall	Johnny Cash
Just A Little Love	B.B. King
Early In The Morning	Vanity Fare
Sunday Mornin'	Oliver
Get Rhythm	Johnny Cash
La La La (If I Had You)	Bobby Sherman
I Still Believe In Tomorrow	John & Anne Ryder
Silver Threads And Golden Needles	The Cowsills
Kozmic Blues	Janis Joplin
The Ten Commandments Of Love	Little Anthony And The Imperials
(I'm So) Afraid Of Losing You Again	Charley Pride
I'll Hold Out My Hand	The Clique
Swingin' Tight	Bill Deal & The Rhondels
She Belongs To Me	Rick Nelson
Walkin' In The Rain	Jay & The Americans
Don't Let Love Hang You Up	Jerry Butler
Whole Lotta Love	Led Zeppelin
Ballad Of Easy Rider	The Byrds
Volunteers	Jefferson Airplane
Fancy	Bobbie Gentry
It's A Funky Thing-Right On (Part 1)	Herbie Mann
One Tin Soldier	The Original Caste
Curly	Jimmy Clanton
Can't Take My Eyes Off You	Nancy Wilson
Happy	Paul Anka
Blistered/See Ruby Fall	Johnny Cash
