Bette Davis Eyes	Kim Carnes
Medley	Stars On 45
Sukiyaki	A Taste Of Honey
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
All Those Years Ago	George Harrison
The One That You Love	Air Supply
You Make My Dreams	Daryl Hall John Oates
America	Neil Diamond
Jessie's Girl	Rick Springfield
Elvira	The Oak Ridge Boys
This Little Girl	Gary U.S. Bonds
Theme From "Greatest American Hero" (Believe It or Not)	Joey Scarbury
I Don't Need You	Kenny Rogers
What Are We Doin' In Love	Dottie West with Kenny Rogers
Is It You	Lee Ritenour
Hearts	Marty Balin
Being With You	Smokey Robinson
Living Inside Myself	Gino Vannelli
Take It On The Run	REO Speedwagon
Gemini Dream	The Moody Blues
Nobody Wins	Elton John
Winning	Santana
Modern Girl	Sheena Easton
Boy From New York City	The Manhattan Transfer
Time	The Alan Parsons Project
Queen Of Hearts	Juice Newton
Fool In Love With You	Jim Photoglo
Still Right Here In My Heart	Pure Prairie League
Seven Year Ache	Rosanne Cash
Sweet Baby	Stanley Clarke/George Duke
I Love You	Climax Blues Band
Slow Hand	The Pointer Sisters
Sweetheart	Franke & The Knockouts
Stronger Than Before	Carole Bayer Sager
The Waiting	Tom Petty And The Heartbreakers
The Stroke	Billy Squier
Say What	Jesse Winchester
A Life Of Illusion	Joe Walsh
Jones Vs. Jones	Kool & The Gang
It's Now Or Never	John Schneider
Don't Let Him Go	REO Speedwagon
Two Hearts	Stephanie Mills Featuring Teddy Pendergrass
Double Dutch Bus	Frankie Smith
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
Too Much Time On My Hands	Styx
The Breakup Song (They Don't Write 'Em)	Greg Kihn Band
Angel Of The Morning	Juice Newton
Promises	Barbra Streisand
Rock And Roll Dreams Come Through	Jim Steinman
Give It To Me Baby	Rick James
In The Air Tonight	Phil Collins
It Didn't Take Long	Spider
Fantasy Girl	38 Special
How 'bout Us	Champaign
Shaddap You Face	Joe Dolce
Watching The Wheels	John Lennon
Sign Of The Gypsy Queen	April Wine
Feels So Right	Alabama
Lovin' The Night Away	The Dillman Band
Tom Sawyer	Rush
Touch Me When We're Dancing	Carpenters
I Can Take Care Of Myself	Billy & The Beaters
Since I Don't Have You	Don McLean
What Cha' Gonna Do For Me	Chaka Khan
What She Does To Me (The Diana Song)	The Producers
Lady (You Bring Me Up)	Commodores
Some Days Are Diamonds (Some Days Are Stone)	John Denver
You Are Forever	Smokey Robinson
She Did It	Michael Damian
Suzi	Randy VanWarmer
The Kid Is Hot Tonite	Loverboy
Hard Times	James Taylor
Some Changes Are For Good	Dionne Warwick
Love On A Two Way Street	Stacy Lattisaw
(There's) No Gettin' Over Me	Ronnie Milsap
Don't Want To Wait Anymore	The Tubes
Brooklyn Girls	Robbie Dupree
Another Ticket	Eric Clapton
Fly Away	Blackfoot
Everlasting Love	Rex Smith/Rachel Sweet
The Real Thing	The Brothers Johnson
Yearning For Your Love	The Gap Band
Walk Right Now	The Jacksons
It Hurts To Be In Love	Dan Hartman
Give A Little Bit More	Cliff Richard
Morning Train (Nine To Five)	Sheena Easton
Don't Let Go The Coat	The Who
Nicole	Point Blank
Arc Of A Diver	Steve Winwood
Someday, Someway	Robert Gordon
Rich Man	Terri Gibbs
On And On And On	ABBA
I Missed Again	Phil Collins
Almost Saturday Night	Dave Edmunds
Ai No Corrida (I-No-Ko-ree-da)	Quincy Jones
Say You'll Be Mine	Christopher Cross
Paradise	Change
Kiss On My List	Daryl Hall John Oates
Find Your Way Back	Jefferson Starship
You Better You Bet	The Who
