Silly Love Songs	Wings
Get Up And Boogie (That's Right)	Silver Convention
Misty Blue	Dorothy Moore
Love Hangover	Diana Ross
Sara Smile	Daryl Hall John Oates
Shannon	Henry Gross
Shop Around	Captain & Tennille
More, More, More Pt. 1	Andrea True Connection
Afternoon Delight	Starland Vocal Band
I'll Be Good To You	The Brothers Johnson
Happy Days	Pratt & McClain with Brother Love
Kiss And Say Goodbye	The Manhattans
Love Is Alive	Gary Wright
Takin' It To The Streets	The Doobie Brothers
Movin'	Brass Construction
I Want You	Marvin Gaye
Never Gonna Fall In Love Again	Eric Carmen
Moonlight Feels Right	Starbuck
Take The Money And Run	Steve Miller
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
Fool To Cry	The Rolling Stones
The Boys Are Back In Town	Thin Lizzy
Rhiannon (Will You Ever Win)	Fleetwood Mac
Welcome Back	John Sebastian
Boogie Fever	The Sylvers
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
You're My Best Friend	Queen
That's Where The Happy People Go	The Trammps
Got To Get You Into My Life	The Beatles
Today's The Day	America
Let Her In	John Travolta
Making Our Dreams Come True	Cyndi Grecco
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
Fooled Around And Fell In Love	Elvin Bishop
Save Your Kisses For Me	Brotherhood Of Man
Turn The Beat Around	Vicki Sue Robinson
I'm Easy	Keith Carradine
Right Back Where We Started From	Maxine Nightingale
Mamma Mia	ABBA
Rock And Roll Music	The Beach Boys
Somebody's Gettin' It	Johnnie Taylor
Last Child	Aerosmith
Sophisticated Lady (She's A Different Lady)	Natalie Cole
Young Hearts Run Free	Candi Staton
I Need To Be In Love	Carpenters
Yes, Yes, Yes	Bill Cosby
Who Loves You Better - Part 1	The Isley Brothers
Thinking Of You	Paul Davis
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Good Vibrations	Todd Rundgren
Silver Star	The 4 Seasons
Can't Stop Groovin' Now, Wanna Do It Some More	B.T. Express
Tryin' To Get The Feeling Again	Barry Manilow
Rock And Roll Love Letter	Bay City Rollers
If You Know What I Mean	Neil Diamond
You'll Never Find Another Love Like Mine	Lou Rawls
Show Me The Way	Peter Frampton
Fool For The City	Foghat
You're My Everything	Lee Garrett
Vaya Con Dios	Freddy Fender
C'mon Marianne	Donny Osmond
Livin' Ain't Livin'	Firefall
Lipstick	Michel Polnareff
I Wanna Stay With You	Gallagher And Lyle
Framed	Cheech & Chong
Heaven Must Be Missing An Angel (part 1)	Tavares
Something He Can Feel	Aretha Franklin
Foxy Lady	Crown Heights Affair
Nutbush City Limits	Bob Seger
Love In The Shadows	Neil Sedaka
Crazy On You	Heart
Everything's Coming Up Love	David Ruffin
Johnny Cool	The Steve Gibbons Band
Flaming Youth	KISS
I'll Get Over You	Crystal Gayle
This Masquerade	George Benson
I'd Really Love To See You Tonight	England Dan & John Ford Coley
Rain, Oh Rain	Fools Gold
Sixteen Tons	The Don Harrison Band
I'm Gonna Let My Heart Do The Walking	The Supremes
It Keeps You Runnin'	Carly Simon
The Hungry Years	Wayne Newton
A Little Bit More	Dr. Hook
Open	Smokey Robinson
Jukin	Atlanta Rhythm Section
The Lonely One	Special Delivery Featuring Terry Huff
Rainbow In Your Eyes	Leon & Mary Russell
Ten Percent	Double Exposure
Norma Jean Wants To Be A Movie Star	Sundown Company
Hold On	Sons Of Champlin
You're Just The Right Size	The Salsoul Orchestra
Union Man	Cate Bros.
Dance Wit Me	Rufus Featuring Chaka Khan
TVC15	David Bowie
December, 1963 (Oh, What a Night)	The 4 Seasons
Play That Funky Music	Wild Cherry
Wham Bam (Shang-A-Lang)	Silver
Happy Man (Pt. I)	Impact
Will You Love Me Tomorrow	Dana Valery
One Piece At A Time	Johnny Cash And The Tennessee Three
