Da Doo Ron Ron	Shaun Cassidy
Looks Like We Made It	Barry Manilow
Undercover Angel	Alan O'Day
I Just Want To Be Your Everything	Andy Gibb
I'm In You	Peter Frampton
Angel In Your Arms	Hot
My Heart Belongs To Me	Barbra Streisand
Jet Airliner	The Steve Miller Band
Margaritaville	Jimmy Buffett
Do You Wanna Make Love	Peter Mccann
Gonna Fly Now	Bill Conti
Best Of My Love	The Emotions
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
Whatcha Gonna Do?	Pablo Cruise
You And Me	Alice Cooper
Knowing Me, Knowing You	ABBA
High School Dance	The Sylvers
You Made Me Believe In Magic	Bay City Rollers
Got To Give It Up (Pt. I)	Marvin Gaye
You're My World	Helen Reddy
Easy	Commodores
Dreams	Fleetwood Mac
It's Sad To Belong	England Dan & John Ford Coley
Life In The Fast Lane	Eagles
Luckenbach, Texas (Back To The Basics Of Love)	Waylon Jennings
Barracuda	Heart
Feels Like The First Time	Foreigner
Love's Grown Deep	Kenny Nolan
Just A Song Before I Go	Crosby, Stills & Nash
Telephone Man	Meri Wilson
Give A Little Bit	Supertramp
The Killing Of Georgie (Part I And II)	Rod Stewart
Telephone Line	Electric Light Orchestra
Handy Man	James Taylor
Lucille	Kenny Rogers
Devil's Gun	C.J. & Company
Ariel	Dean Friedman
I'm Your Boogie Man	KC And The Sunshine Band
Smoke From A Distant Fire	The Sanford/Townsend Band
Way Down	Elvis Presley
I Don't Love You Anymore	Teddy Pendergrass
Black Betty	Ram Jam
On And On	Stephen Bishop
Slide	Slave
(Remember The Days Of The) Old Schoolyard	Cat Stevens
Livin' In The Life	The Isley Brothers
Superman	Celi Bee & The Buzzy Bunch
Lady (put The Light On Me)	Brownsville Station
Here Comes Summer	Wildfire
Strawberry Letter 23	The Brothers Johnson
If It's The Last Thing I Do	Thelma Houston
Walk Right In	Dr. Hook
Swayin' To The Music (slow Dancin')	Johnny Rivers
Save Me	Merrilee Rush
How Much Love	Leo Sayer
Lonely Boy	Andrew Gold
Runaway	Bonnie Raitt
Something About You	LeBlanc & Carr
Seaside Woman	Suzy And The Red Stripes
Don't Stop	Fleetwood Mac
Float On	The Floaters
It Was Almost Like A Song	Ronnie Milsap
Don't Worry Baby	B.J. Thomas
Heard It In A Love Song	The Marshall Tucker Band
Sir Duke	Stevie Wonder
Neon Nites	Atlanta Rhythm Section
Slow Dancin' Don't Turn Me On	Addrisi Brothers
L.a. Sunshine	War
Couldn't Get It Right	Climax Blues Band
I'm Going Down	Rose Royce
It's A Crazy World	Mac McAnally
Don't Turn The Light Out	Cliff Richard
Gonna Love You More	George Benson
Platinum Heroes	Bruce Foster
Rock And Roll Never Forgets	Bob Seger
Sunflower	Glen Campbell
Christine Sixteen	KISS
Star Wars (Main Title)	London Symphony Orchestra
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
A Real Mother For Ya	Johnny Guitar Watson
In The Middle	Tim Moore
Only The Lucky	Walter Egan
So You Win Again	Hot Chocolate
It Feels So Good To Be Loved So Bad	The Manhattans
Baby Don't Change Your Mind	Gladys Knight And The Pips
Everybody Ought To Be In Love	Paul Anka
Light Of A Clear Blue Morning	Dolly Parton
I Can't Help Myself	Eddie Rabbitt
Down The Hall	The 4 Seasons
Save Me	Donna McDaniel
While I'm Alone	Maze Featuring Frankie Beverly
Sheena Is A Punk Rocker	The Ramones
Flame	Steve Sperry
Sing It, Shout It	Starz
All You Get From Love Is A Love Song	Carpenters
Since I Fell For You/I'm Falling In Love	Hodges, James And Smith
Goodbye My Friend	Engelbert Humperdinck
Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
Come In From The Rain	Captain & Tennille
The Doodle Song	Frankie Miller
