Born This Way	Lady Gaga
F**k You! (Forget You)	CeeLo Green
Grenade	Bruno Mars
F**kin' Perfect	P!nk
S&M	Rihanna Featuring Britney Spears
Firework	Katy Perry
Tonight (I'm Lovin' You)	Enrique Iglesias Featuring Ludacris & DJ Frank E
E.T.	Katy Perry Featuring Kanye West
On The Floor	Jennifer Lopez Featuring Pitbull
I Need A Doctor	Dr. Dre Featuring Eminem & Skylar Grey
Blow	Ke$ha
Hold It Against Me	Britney Spears
Rolling In The Deep	Adele
Hey Baby (Drop It To The Floor)	Pitbull Featuring T-Pain
Moment 4 Life	Nicki Minaj Featuring Drake
Rocketeer	Far*East Movement Featuring Ryan Tedder
More	Usher
Black And Yellow	Wiz Khalifa
Coming Home	Diddy - Dirty Money Featuring Skylar Grey
Down On Me	Jeremih Featuring 50 Cent
Jar Of Hearts	Christina Perri
What The Hell	Avril Lavigne
Never Say Never	Justin Bieber Featuring Jaden Smith
Look At Me Now	Chris Brown Featuring Lil Wayne & Busta Rhymes
Just The Way You Are	Bruno Mars
What's My Name?	Rihanna Featuring Drake
Yeah 3X	Chris Brown
6 Foot 7 Foot	Lil Wayne Featuring Cory Gunz
Back To December	Taylor Swift
Raise Your Glass	P!nk
All Of The Lights	Kanye West
No Hands	Waka Flocka Flame Featuring Roscoe Dash & Wale
Pretty Girl Rock	Keri Hilson
We R Who We R	Ke$ha
Don't You Wanna Stay	Jason Aldean With Kelly Clarkson
Only Girl (In The World)	Rihanna
Dynamite	Taio Cruz
Stereo Love	Edward Maya & Vika Jigulina
Backseat	New Boyz Featuring The Cataracs & Dev
Are You Gonna Kiss Me Or Not	Thompson Square
The Show Goes On	Lupe Fiasco
Higher	Taio Cruz Featuring Travie McCoy
DJ Got Us Fallin' In Love	Usher Featuring Pitbull
Teenage Dream	Katy Perry
Marry Me	Train
Colder Weather	Zac Brown Band
Waiting For The End	Linkin Park
The Time (Dirty Bit)	The Black Eyed Peas
Don't You Want Me	Glee Cast
Just A Dream	Nelly
Let Me Down Easy	Billy Currington
On My Level	Wiz Khalifa Featuring Too $hort
The Cave	Mumford & Sons
Who Are You When I'm Not Looking	Blake Shelton
Blame It (On The Alcohol)	Glee Cast
Who Dat Girl	Flo Rida Featuring Akon
For The First Time	The Script
Somewhere With You	Kenny Chesney
Fall For Your Type	Jamie Foxx Featuring Drake
Voices	Chris Young
Tik Tok	Glee Cast
This Is Country Music	Brad Paisley
Buzzin'	Mann
What Do You Want	Jerrod Niemann
Someone Like You	Adele
Just Can't Get Enough	The Black Eyed Peas
You Be Killin Em	Fabolous
Written In The Stars	Tinie Tempah Featuring Eric Turner
Love Faces	Trey Songz
This	Darius Rucker
I Won't Let Go	Rascal Flatts
A Little Bit Stronger	Sara Evans
Hello World	Lady Antebellum
Someone Else Calling You Baby	Luke Bryan
Sing	My Chemical Romance
Pray	Justin Bieber
From A Table Away	Sunny Sweeney
Felt Good On My Lips	Tim McGraw
Boyfriend	Big Time Rush
Heart Like Mine	Miranda Lambert
Roll Up	Wiz Khalifa
Bow Chicka Wow Wow	Mike Posner Featuring Lil Wayne
Bass Down Low	Dev Featuring The Cataracs
Wildflower	The JaneDear Girls
Maybe	Sick Puppies
No BS	Chris Brown
Little Miss	Sugarland
Set Fire To The Rain	Adele
Lay It Down	Lloyd
Welcome To My Hood	DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain
Who's That Chick?	David Guetta Featuring Rihanna
Bleed Red	Ronnie Dunn
Price Tag	Jessie J Featuring B.o.B
I Just Had Sex	The Lonely Island Featuring Akon
H*A*M	Kanye West Jay Z
Kush	Dr. Dre Featuring Snoop Dogg & Akon
I Smile	Kirk Franklin
The Shape I'm In	Joe Nichols
U Smile	Justin Bieber
Country Boy	Aaron Lewis Featuring George Jones & Charlie Daniels
