American Woman/No Sugar Tonight	The Guess Who
ABC	Jackson 5
Let It Be	The Beatles
Vehicle	The Ides Of March
Spirit In The Sky	Norman Greenbaum
Love Or Let Me Be Lonely	The Friends Of Distinction
Everything Is Beautiful	Ray Stevens
Instant Karma (We All Shine On)	John Ono Lennon
Turn Back The Hands Of Time	Tyrone Davis
Reflections Of My Life	The Marmalade
Woodstock	Crosby, Stills, Nash & Young
Something's Burning	Kenny Rogers & The First Edition
Up Around The Bend/Run Through The Jungle	Creedence Clearwater Revival
Cecilia	Simon & Garfunkel
For The Love Of Him	Bobbi Martin
Love On A Two-Way Street	The Moments
Up The Ladder To The Roof	The Supremes
Come And Get It	Badfinger
Get Ready	Rare Earth
What Is Truth	Johnny Cash
Bridge Over Troubled Water	Simon & Garfunkel
Love Grows (Where My Rosemary Goes)	Edison Lighthouse
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
Easy Come, Easy Go	Bobby Sherman
Make Me Smile	Chicago
The Letter	Joe Cocker with Leon Russell & The Shelter People
Little Green Bag	George Baker Selection
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
Everybody's Out Of Town	B.J. Thomas
Reach Out And Touch (Somebody's Hand)	Diana Ross
Daughter Of Darkness	Tom Jones
Airport Love Theme (Gwen And Vern)	Vincent Bell
Long Lonesome Highway	Michael Parks
Puppet Man	The 5th Dimension
Viva Tirado - Part I	El Chicano
Come Saturday Morning	The Sandpipers
Shilo	Neil Diamond
Hey Lawdy Mama	Steppenwolf
Let Me Go To Him	Dionne Warwick
Oh Happy Day	Glen Campbell
The Bells	The Originals
Hitchin' A Ride	Vanity Fare
The Girls' Song	The 5th Dimension
Miss America	Mark Lindsay
You Need Love Like I Do (Don't You)	Gladys Knight And The Pips
You're The One-Part II	Little Sister
The Seeker	The Who
Don't Stop Now/Since I Don't Have You	Eddie Holman
Come Running	Van Morrison
Chicken Strut	The Meters
United We Stand	The Brotherhood Of Man
My Wife, The Dancer	Eddie & Dutch
Love Land	Charles Wright And The Watts 103rd Street Rhythm Band
Ticket To Ride	Carpenters
Hum A Song (From Your Heart)	Lulu with The Dixie Flyers
You Make Me Real/Roadhouse Blues	The Doors
Soolaimón (African Trilogy II)	Neil Diamond
My Baby Loves Lovin'	White Plains
The Onion Song/California Soul	Marvin Gaye & Tammi Terrell
Brother Rapp (Part 1)	James Brown
So Excited	B.B. King
Lay Down (Candles In The Rain)	Melanie with The Edwin Hawkins Singers
California Girl	Eddie Floyd
Cinnamon Girl	The Gentrys
Mississippi Queen	Mountain
Band Of Gold	Freda Payne
Sugar Sugar/Cole, Cooke & Redding	Wilson Pickett
O-o-h Child/Dear Prudence	The 5 Stairsteps
Deeper (In Love With You)	The O'Jays
Cryin' In The Streets (Part 1)	George Perkins & The Silver Stars
He Made A Woman Out Of Me	Bobbie Gentry
Open Up My Heart/Nadine	The Dells
Grover Henson Feels Forgotten	Bill Cosby
Farther On Down The Road	Joe Simon
Can You Feel It	Bobby Goldsboro
It's All In The Game	Four Tops
Welfare Cadilac	Guy Drake
Question	The Moody Blues
Baby Hold On	The Grass Roots
(You've Got Me) Dangling On A String	Chairman Of The Board
My Way	Brook Benton
Fire & Rain	R.B. Greaves
I Can't Leave Your Love Alone	Clarence Carter
Lucifer	Bob Seger System
Ride Captain Ride	Blues Image
Go Back	Crabby Appleton
Them Changes	Buddy Miles & The Freedom Express
Get Down People	Fabulous Counts
Darkness, Darkness	The Youngbloods
Into The Mystic	Johnny Rivers
Baby I Love You	Little Milton
I Call My Baby Candy	The Jaggerz
Tobacco Road	Jamul
Patch Of Blue	Frankie Valli & The 4 Seasons
If You Do Believe In Love	The Tee Set
Sweet Feeling	Candi Staton
Check Yourself	I.A.P. Co. (the Italian Asphalt & Pavement Company)
Love Like A Man	Ten Years After
She Didn't Know (She Kept On Talking)	Dee Dee Warwick
And My Heart Sang (Tra La La)	Brenda & The Tabulations
