Creep	TLC
On Bended Knee	Boyz II Men
Another Night	Real McCoy
Take A Bow	Madonna
Always	Bon Jovi
You Gotta Be	Des'ree
Before I Let You Go	BLACKstreet
Sukiyaki	4PM
Here Comes The Hotstepper (From "Ready To Wear")	Ini Kamoze
I'm The Only One	Melissa Etheridge
The Rhythm Of The Night	Corona
Hold My Hand	Hootie & The Blowfish
You Don't Know How It Feels	Tom Petty
I Wanna Be Down	Brandy
Candy Rain	Soul For Real
Constantly	Immature
If You Love Me	Brownstone
The Sweetest Days	Vanessa Williams
Bang And Blame	R.E.M.
Every Day Of The Week	Jade
You Want This/70's Love Groove	Janet Jackson
I'll Make Love To You	Boyz II Men
Tootsee Roll	69 Boyz
Strong Enough	Sheryl Crow
Short Dick Man	20 Fingers Featuring Gillette
Big Poppa/Warning	The Notorious B.I.G.
All I Wanna Do	Sheryl Crow
I'll Stand By You	Pretenders
100% Pure Love	Crystal Waters
Turn The Beat Around (From "The Specialist")	Gloria Estefan
Secret	Madonna
Mental Picture	Jon Secada
I Miss You	N2U
I Belong To You/How Many Ways	Toni Braxton
Practice What You Preach	Barry White
In The House Of Stone And Light	Martin Page
New Age Girl (From "Dumb And Dumber")	Deadeye Dick
Foolin' Around	Changing Faces
Mishale	Andru Donalds
Wild Night	John Mellencamp With Me'Shell Ndegeocello
When Can I See You	Babyface
Be Happy	Mary J. Blige
House Of Love	Amy Grant With Vince Gill
December 1963 (Oh, What A Night)	The 4 Seasons
I Know	Dionne Farris
Get Down	Craig Mack
Get Ready For This	2 Unlimited
Shame (From "A Low Down Dirty Shame")	Zhane
What's The Frequency, Kenneth?	R.E.M.
When We Dance	Sting
Playaz Club	Rappin' 4-Tay
Living In Danger	Ace Of Base
I Never Seen A Man Cry (aka I Seen A Man Die)	Scarface
Bad Reputation	Freedy Johnston
Bring The Pain	Method Man
Kitty Kitty	69 Boyz
Everlasting Love	Gloria Estefan
Do You See	Warren G
Always And Forever	Luther Vandross
Baby	Brandy
Whutcha Want?	Nine
Tour	Capleton
She Don't Use Jelly	The Flaming Lips
This Lil' Game We Play	Subway (Featuring 702)
Whiney, Whiney (From "Dumb And Dumber")	Willi One Blood
Pimp Of The Year	Dru Down
(I Could Only) Whisper Your Name	Harry Connick, Jr.
Promise Me	Lil Suzy
Cocktales	Too $hort
Doll Parts	Hole
Nika	Vicious
Hold On	Jamie Walters
Don't Say Goodbye Girl	Tevin Campbell
Something's Always Wrong	Toad The Wet Sprocket
Mad Izm	Channel Live
Age Ain't Nothing But A Number	Aaliyah
(She's Got) Skillz	All-4-One
I Apologize	Anita Baker
Dreamer	Livin' Joy
Breakdown	Fu-Schnickens
Dance Naked	John Mellencamp
U Will Know (From "Jason's Lyric")	B.M.U. (Black Men United)
Woman To Woman	Jewell
Take You There	Pete Rock & C.L. Smooth
Sympathy For The Devil ("Interview With The Vampire")	Guns N' Roses
The Most Beautifullest Thing In This World	Keith Murray
I Can Go Deep (From "A Low Down Dirty Shame")	Silk
Supa Star	Group Home
Fat Boy	Max-A-Million
Blind Man	Aerosmith
Black Coffee	Heavy D & The Boyz
Fa All Y'all	Da Brat
That's Just What You Are	Aimee Mann
Redneck Stomp	Jeff Foxworthy
Tic Toc	Lords Of The Underground
Lucas With The Lid Off	Lucas
Only One Road	Celine Dion
Till You Love Me	Reba McEntire
Biological Didn't Bother	Shaquille O'Neal
Down 4 Whateva (From "A Low Down Dirty Shame")	Nuttin' Nyce
