Teen Angel	Mark Dinning
Running Bear	Johnny Preston
Handy Man	Jimmy Jones
He'll Have To Go	Jim Reeves
Where Or When	Dion & The Belmonts
The Theme From "A Summer Place"	Percy Faith And His Orchestra
What In The World's Come Over You	Jack Scott
Lonely Blue Boy	Conway Twitty
Let It Be Me	The Everly Brothers
El Paso	Marty Robbins
Beyond The Sea	Bobby Darin
Pretty Blue Eyes	Steve Lawrence
Down By The Station	The Four Preps
You Got What It Takes	Marv Johnson
Go, Jimmy, Go	Jimmy Clanton
Why	Frankie Avalon
The Village Of St. Bernadette	Andy Williams
The Big Hurt	Miss Toni Fisher
Tracy's Theme	Spencer Ross
Baby (You've Got What It Takes)	Dinah Washington & Brook Benton
Forever	The Little Dippers
Way Down Yonder In New Orleans	Freddie Cannon
Wild One	Bobby Rydell
Rockin' Little Angel	Ray Smith
T.L.C. Tender Love And Care	Jimmie Rodgers
Shimmy, Shimmy, Ko-Ko-Bop	Little Anthony And The Imperials
Harbor Lights	The Platters
Sandy	Larry Hall
Bulldog	The Fireballs
Sweet Nothin's	Brenda Lee
Lucky Devil	Carl Dobkins, Jr.
Among My Souvenirs	Connie Francis
Midnite Special	Paul Evans
Time And The River	Nat King Cole
Lady Luck	Lloyd Price and His Orchestra
Too Much Tequila	The Champs
Country Boy	Fats Domino
Not One Minute More	Della Reese
It's Time To Cry	Paul Anka
First Name Initial	Annette With The Afterbeats
Little Bitty Girl	Bobby Rydell
China Doll	The Ames Brothers
Why Do I Love You So	Johnny Tillotson
Delaware	Perry Como
If I Had A Girl	Rod Lauren
Little Coco Palm	Jerry Wallace
Am I That Easy To Forget	Debbie Reynolds
Crazy Arms	Bob Beckham
Bonnie Came Back	Duane Eddy His Twangy Guitar And The Rebels
(There Was A) Tall Oak Tree	Dorsey Burnette
Hound Dog Man	Fabian
Eternally	Sarah Vaughan
Little Things Mean A Lot	Joni James
Heartaches By The Number	Guy Mitchell
Smokie - Part 2	Bill Black's Combo
Money (That's what I want)	Barrett Strong
That Old Feeling	Kitty Kallen
The Happy Muleteer	Ivo Robic
On The Beach	Frank Chacksfield And His Orch.
Darling Lorraine	The Knockouts
How About That	Dee Clark
Bad Boy	Marty Wilde
Amapola	Jacky Noguez And His Orchestra
Fannie Mae	Buster Brown
Harlem Nocturne	The Viscounts
Tell Her For Me	Adam Wade
Peace Of Mind	Teresa Brewer
Sixteen Reasons	Connie Stevens
Beatnik Fly	Johnny And The Hurricanes
Baciare Baciare (Kissing Kissing)	Dorothy Collins
I Was Such A Fool (To Fall In Love With You)	The Flamingos
Up Town	Roy Orbison
Waltzing Matilda	Jimmie Rodgers
Outside My Window	The Fleetwoods
Let It Rock	Chuck Berry
Mack The Knife	Bobby Darin
(Baby) Hully Gully	The Olympics
Too Pooped To Pop ("Casey")	Chuck Berry
Teensville	Chet Atkins
Mumblin' Mosie	The Johnny Otis Show
I Know What God Is	Perry Como
Baby What You Want Me To Do	Jimmy Reed
Forever	Billy Walker
(Do The) Mashed Potatoes (Part 1)	Nat Kendrick And The Swans
Just A Little Bit	Rosco Gordon
Skokiaan (South African Song)	Bill Haley And His Comets
You're My Baby	Sarah Vaughan
Honey Hush	Joe Turner
No Love Have I	Webb Pierce
Honey Love	Narvel Felts
I Can't Say Goodbye	The Fireflies Featuring Ritchie Adams
Cry Me A River	Janice Harper
Clementine	Jan & Dean
This Friendly World	Fabian
Don't Let The Sun Catch You Cryin'	Ray Charles
Time After Time	Frankie Ford
What's Happening	Wade Flemons
If You Need Me	Fats Domino
Let The Little Girl Dance	Billy Bland
Paradise	Sammy Turner
