Sir Duke	Stevie Wonder
When I Need You	Leo Sayer
I'm Your Boogie Man	KC And The Sunshine Band
Dreams	Fleetwood Mac
Got To Give It Up (Pt. I)	Marvin Gaye
Gonna Fly Now	Bill Conti
Couldn't Get It Right	Climax Blues Band
Lucille	Kenny Rogers
Lonely Boy	Andrew Gold
Feels Like The First Time	Foreigner
Hotel California	Eagles
Southern Nights	Glen Campbell
Angel In Your Arms	Hot
Undercover Angel	Alan O'Day
Hello Stranger	Yvonne Elliman
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
Heard It In A Love Song	The Marshall Tucker Band
Lido Shuffle	Boz Scaggs
Right Time Of The Night	Jennifer Warnes
Jet Airliner	The Steve Miller Band
So In To You	Atlanta Rhythm Section
Calling Dr. Love	KISS
Whodunit	Tavares
Margaritaville	Jimmy Buffett
Mainstreet	Bob Seger
Uptown Festival (Part 1)	Shalamar
Slow Dancin' Don't Turn Me On	Addrisi Brothers
Life In The Fast Lane	Eagles
High School Dance	The Sylvers
Do You Wanna Make Love	Peter Mccann
Love's Grown Deep	Kenny Nolan
Ariel	Dean Friedman
Looks Like We Made It	Barry Manilow
Back Together Again	Daryl Hall John Oates
Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
Slowdown	John Miles
I Just Want To Be Your Everything	Andy Gibb
Everybody Be Dancin'	Starbuck
I've Got Love On My Mind	Natalie Cole
My Heart Belongs To Me	Barbra Streisand
This Is The Way That I Feel	Marie Osmond
On The Border	Al Stewart
Spirit In The Night	Manfred Mann's Earth Band
Hollywood	Rufus Featuring Chaka Khan
Whatcha Gonna Do?	Pablo Cruise
This Girl (Has Turned Into A Woman)	Mary Macgregor
I Wanna Get Next To You	Rose Royce
Do What You Wanna Do	T-Connection
Luckenbach, Texas (Back To The Basics Of Love)	Waylon Jennings
You're My World	Helen Reddy
Da Doo Ron Ron	Shaun Cassidy
Peace Of Mind	Boston
Knowing Me, Knowing You	ABBA
It's Sad To Belong	England Dan & John Ford Coley
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
You And Me	Alice Cooper
Dancin' Man	Q
Going In With My Eyes Open	David Soul
You're Movin' Out Today	Bette Midler
Don't Give Up On Us	David Soul
Show You The Way To Go	The Jacksons
Can't Stop Dancin'	Captain & Tennille
The Pride (Part I)	The Isley Brothers
Don't Leave Me This Way	Thelma Houston
Your Love	Marilyn McCoo & Billy Davis Jr.
I Gotta Keep Dancin'	Carrie
All You Get From Love Is A Love Song	Carpenters
I'm In You	Peter Frampton
Cinderella	Firefall
It Feels So Good To Be Loved So Bad	The Manhattans
The Pretender	Jackson Browne
Watch Closely Now	Kris Kristofferson
Back In The Saddle	Aerosmith
Solsbury Hill	Peter Gabriel
Hooked On You	Bread
People In Love	10cc
Rich Girl	Daryl Hall John Oates
I Don't Love You Anymore	Teddy Pendergrass
Fly At Night	Chilliwack
Runaway	Bonnie Raitt
Tryin' To Love Two	William Bell
That Magic Touch	Angel
Burnin' Sky	Bad Company
Barracuda	Heart
Amarillo	Neil Sedaka
Just A Song Before I Go	Crosby, Stills & Nash
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
You + Me = Love/Let's Go Down To The Disco	Undisputed Truth
I Need A Man	Grace Jones
Feel The Need	Detroit Emeralds
Capture Your Heart	Blue
On And On	Stephen Bishop
So High (rock Me Baby And Roll Me Away)	Dave Mason
Devil's Gun	C.J. & Company
Dance And Shake Your Tambourine	Universal Robot Band
Ridin' The Storm Out	REO Speedwagon
Hold Back The Night	Graham Parker And The Rumour
While I'm Alone	Maze Featuring Frankie Beverly
All The Kids On The Street	The Hollywood Stars
Freddie	Charlene
