Hey! Baby	Bruce Channel
Duke Of Earl	Gene Chandler
Midnight In Moscow	Kenny Ball and his Jazzmen
Don't Break The Heart That Loves You	Connie Francis
Let Me In	The Sensations
Crying In The Rain	The Everly Brothers
Break It To Me Gently	Brenda Lee
Her Royal Majesty	James Darren
The Wanderer	Dion
What's Your Name	Don & Juan
Dear Lady Twist	Gary U.S. Bonds
Percolator (Twist)	Billy Joe & The Checkmates
The Twist	Chubby Checker
Chip Chip	Gene McDaniels
Norman	Sue Thompson
Smoky Places	The Corsairs Featuring Jay "Bird" Uzzell
Tuff	Ace Cannon
Peppermint Twist - Part I	Joey Dee & the Starliters
Baby It's You	The Shirelles
She's Got You	Patsy Cline
Twistin' The Night Away	Sam Cooke
Hey, Let's Twist	Joey Dee & the Starliters
Dream Baby (How Long Must I Dream)	Roy Orbison
My Boomerang Won't Come Back	Charlie Drake
I'm Blue (The Gong-Gong Song)	The Ikettes
A Little Bitty Tear	Burl Ives
Cotton Fields	The Highwaymen
To A Sleeping Beauty	Jimmy Dean
Where Have All The Flowers Gone	The Kingston Trio
The Cajun Queen	Jimmy Dean
Come Back Silly Girl	The Lettermen
Jamie	Eddie Holland
Drums Are My Beat	Sandy Nelson
He Knows I Love Him Too Much	The Paris Sisters
(I've Got) Bonnie	Bobby Rydell
Slow Twistin'	Chubby Checker (with Dee Dee Sharp)
(Do The New) Continental	The Dovells
I'll See You In My Dreams	Pat Boone
Love Letters	Ketty Lester
Can't Help Falling In Love	Elvis Presley With The Jordanaires
I Know (You Don't Love Me No More)	Barbara George
Afrikaan Beat	Bert Kaempfert And His Orchestra
Twistin' Postman	The Marvelettes
You Win Again	Fats Domino
Please Don't Ask About Barbara	Bobby Vee
Cry To Me	Solomon Burke
Love Me Warm And Tender	Paul Anka
Chattanooga Choo Choo	Floyd Cramer
Mashed Potato Time	Dee Dee Sharp
Johnny Angel	Shelley Fabares
Lizzie Borden	The Chad Mitchell Trio
Town Without Pity	Gene Pitney
What's So Good About Good-by	The Miracles
Walk On The Wild Side	Brook Benton
That's My Pa	Sheb Wooley
Pop-Eye	Huey Smith
The Greatest Hurt	Jackie Wilson
Young World	Rick Nelson
Irresistible You	Bobby Darin
You Better Move On	Arthur Alexander
Cry Baby Cry	The Angels
Something's Got A Hold On Me	Etta James
Ecstasy	Ben E. King
Dreamy Eyes	Johnny Tillotson
Yessiree	Linda Scott
B'wa Nina (Pretty Girl)	The Tokens
Shadrack	Brook Benton
Our Anniversary	Shep And The Limelites
When My Little Girl Is Smiling	The Drifters
Nut Rocker	B. Bumble & The Stingers
The Alvin Twist	The Chipmunks With David Seville
Yes Indeed	Pete Fountain
Surfer's Stomp	The Marketts
Lover Please	Clyde McPhatter
If A Woman Answers (Hang Up The Phone)	Leroy Van Dyke
She's Everything (I Wanted You To Be)	Ral Donner
Pictures In The Fire	Pat Boone
Blue Water Line	The Brothers Four
Lose Her	Bobby Rydell
Patti Ann	Johnny Crawford
Dear One	Larry Finnegan
Tears And Laughter	Dinah Washington
Surfin	The Beach Boys
Bermuda	Linda Scott
She Can't Find Her Keys	Paul Petersen
Annie Get Your Yo-Yo	Little Junior Parker
Do You Know How To Twist	Hank Ballard
Lollipops And Roses	Jack Jones
Roly Poly	Joey Dee & the Starliters
Ida Jane	Fats Domino
Baby It's Cold Outside	Ray Charles & Betty Carter
Midnight Special, Part 1	Jimmy Smith
Aw Shucks, Hush Your Mouth	Jimmy Reed
The Ballad Of Thunder Road	Robert Mitchum
Summertime	Rick Nelson
Ginny Come Lately	Brian Hyland
Duchess Of Earl	Pearlettes
A Girl Has To Know	The G-Clefs
Amor	Roger Williams
The Rains Came	Big Sambo and The House Wreckers
