Heartaches By The Number	Guy Mitchell
Mr. Blue	The Fleetwoods
Mack The Knife	Bobby Darin
In The Mood	Ernie Fields & Orch.
Why	Frankie Avalon
We Got Love	Bobby Rydell
Don't You Know	Della Reese
So Many Ways	Brook Benton
It's Time To Cry	Paul Anka
The Big Hurt	Miss Toni Fisher
El Paso	Marty Robbins
Be My Guest	Fats Domino
Way Down Yonder In New Orleans	Freddie Cannon
Oh! Carol	Neil Sedaka
Uh! Oh! Part 2	The Nutty Squirrels
Hound Dog Man	Fabian
Misty	Johnny Mathis
Scarlet Ribbons (For Her Hair)	The Browns
Danny Boy	Conway Twitty
Pretty Blue Eyes	Steve Lawrence
Among My Souvenirs	Connie Francis
Always	Sammy Turner
I Wanna Be Loved	Ricky Nelson
Dance With Me	The Drifters
Come Into My Heart	Lloyd Price and His Orchestra
(Seven Little Girls) Sitting In The Back Seat	Paul Evans and the Curls
This Friendly World	Fabian
Reveille Rock	Johnny And The Hurricanes
Unforgettable	Dinah Washington
Tear Drop	Santo & Johnny
Sandy	Larry Hall
First Name Initial	Annette With The Afterbeats
(If You Cry) True Love, True Love	The Drifters
Marina	Rocco Granata and the International Quintet
Believe Me	Royal Teens
Put Your Head On My Shoulder	Paul Anka
Just As Much As Ever	Bob Beckham
Deck Of Cards	Wink Martindale
Primrose Lane	Jerry Wallace With The Jewels
I'm Movin' On	Ray Charles and his Orchestra
Running Bear	Johnny Preston
Lonely Street	Andy Williams
You Got What It Takes	Marv Johnson
Smooth Operator	Sarah Vaughan
Woo-Hoo	Rock-A-Teens
Marina	Willy Alberti
High School U.S.A.	Tommy Facenda
Smokie - Part 2	Bill Black's Combo
Talk To Me	Frank Sinatra
You Were Mine	Fireflies
I've Been Around	Fats Domino
Love Potion No. 9	The Clovers
The Enchanted Sea	The Islanders
Uh! Oh! Part 1	The Nutty Squirrels
Mighty Good	Ricky Nelson
Talk That Talk	Jackie Wilson
Midnight Stroll	The Revels
If I Give My Heart To You	Kitty Kallen
I'll Walk The Line	Don Costa And His Orchestra And Chorus
God Bless America	Connie Francis
Living Doll	Cliff Richard and The Drifters
Teen Beat	Sandy Nelson
The Clouds	The Spacemen
Goodnight My Love (Pleasant Dreams)	Ray Peterson
A Year Ago Tonight	The Crests
Battle Hymn Of The Republic	The Mormon Tabernacle Choir
What About Us	The Coasters
Torquay	Fireballs
Just To Be With You	The Passions
The Village Of St. Bernadette	Andy Williams
Wont'cha Come Home	Lloyd Price and His Orchestra
Honestly And Truly	Tommy Edwards
Joey's Song	Bill Haley And His Comets
Go, Jimmy, Go	Jimmy Clanton
The Best Of Everything	Johnny Mathis
The Enchanted Sea	The Exotic Sounds of Martin Denny
(New In) The Ways Of Love	Tommy Edwards
Beyond The Sunset	Pat Boone
Tiny Tim	LaVern Baker
The Happy Reindeer	Dancer, Prancer And Nervous
Not One Minute More	Della Reese
Symphony	Sammy Turner
We Told You Not To Marry	Titus Turner
One More Chance	Rod Bernard
Lucky Devil	Carl Dobkins, Jr.
Teach Me Tiger	April Stevens
Shadows	5 Satins
How About That	Dee Clark
The Chipmunk Song (Christmas Don't Be Late)	David Seville And The Chipmunks
Shimmy, Shimmy, Ko-Ko-Bop	Little Anthony And The Imperials
Just Ask Your Heart	Frankie Avalon
Do-Re-Mi	Mitch Miller
Ebb Tide	Bobby Freeman
Happy Anniversary	Jane Morgan
Starry Eyed	Gary Stites
I Don't Know What It Is	The Bluenotes
Candy Apple Red	Bonnie Guitar
CooCoo-U	The Kingston Trio
The Little Drummer Boy	The Harry Simeone Chorale
Just Come Home	Hugo & Luigi
