Born This Way	Lady Gaga
Firework	Katy Perry
Grenade	Bruno Mars
Black And Yellow	Wiz Khalifa
F**kin' Perfect	P!nk
Tonight (I'm Lovin' You)	Enrique Iglesias Featuring Ludacris & DJ Frank E
F**k You! (Forget You)	CeeLo Green
S&M	Rihanna Featuring Britney Spears
The Time (Dirty Bit)	The Black Eyed Peas
Hold It Against Me	Britney Spears
What The Hell	Avril Lavigne
Hey Baby (Drop It To The Floor)	Pitbull Featuring T-Pain
What's My Name?	Rihanna Featuring Drake
Rocketeer	Far*East Movement Featuring Ryan Tedder
Just The Way You Are	Bruno Mars
6 Foot 7 Foot	Lil Wayne Featuring Cory Gunz
Raise Your Glass	P!nk
Hit The Lights	Jay Sean Featuring Lil Wayne
Moment 4 Life	Nicki Minaj Featuring Drake
We R Who We R	Ke$ha
More	Usher
Yeah 3X	Chris Brown
I Do	Colbie Caillat
Back To December	Taylor Swift
Never Say Never	Justin Bieber Featuring Jaden Smith
Coming Home	Diddy - Dirty Money Featuring Skylar Grey
Jar Of Hearts	Christina Perri
No Hands	Waka Flocka Flame Featuring Roscoe Dash & Wale
Look At Me Now	Chris Brown Featuring Lil Wayne & Busta Rhymes
Higher	Taio Cruz Featuring Travie McCoy
Down On Me	Jeremih Featuring 50 Cent
I Need A Doctor	Dr. Dre Featuring Eminem & Skylar Grey
Only Girl (In The World)	Rihanna
Firework	Glee Cast
Stereo Love	Edward Maya & Vika Jigulina
Pretty Girl Rock	Keri Hilson
Dynamite	Taio Cruz
Thriller / Heads Will Roll	Glee Cast
Don't You Wanna Stay	Jason Aldean With Kelly Clarkson
DJ Got Us Fallin' In Love	Usher Featuring Pitbull
Rolling In The Deep	Adele
Marry Me	Train
Just A Dream	Nelly
Bills, Bills, Bills	Glee Cast
Silly Love Songs	Glee Cast
Teenage Dream	Katy Perry
When I Get You Alone	Glee Cast
Roll Up	Wiz Khalifa
Colder Weather	Zac Brown Band
Somewhere With You	Kenny Chesney
Blow	Ke$ha
Waiting For The End	Linkin Park
Are You Gonna Kiss Me Or Not	Thompson Square
Who Dat Girl	Flo Rida Featuring Akon
Who Are You When I'm Not Looking	Blake Shelton
Fat Bottomed Girls	Glee Cast
The Show Goes On	Lupe Fiasco
P.Y.T. (Pretty Young Thing)	Glee Cast
All Of The Lights	Kanye West
Let Me Down Easy	Billy Currington
Fall For Your Type	Jamie Foxx Featuring Drake
Need You Now	Glee Cast
Buzzin'	Mann
For The First Time	The Script
Someone Else Calling You Baby	Luke Bryan
Felt Good On My Lips	Tim McGraw
Voices	Chris Young
The Cave	Mumford & Sons
This Is Country Music	Brad Paisley
You Be Killin Em	Fabolous
What Do You Want	Jerrod Niemann
Aston Martin Music	Rick Ross Featuring Drake & Chrisette Michele
Bass Down Low	Dev Featuring The Cataracs
A Little Bit Stronger	Sara Evans
I Won't Give Up	Jana Kramer
Hello World	Lady Antebellum
Maybe	Sick Puppies
No BS	Chris Brown
This	Darius Rucker
Love Faces	Trey Songz
Wildflower	The JaneDear Girls
Who's That Chick?	David Guetta Featuring Rihanna
Put You In A Song	Keith Urban
From A Table Away	Sunny Sweeney
I Won't Let Go	Rascal Flatts
I Just Had Sex	The Lonely Island Featuring Akon
She's Not There	Glee Cast
Little Miss	Sugarland
Words I Never Said	Lupe Fiasco Featuring Skylar Grey
Kush	Dr. Dre Featuring Snoop Dogg & Akon
Pray	Justin Bieber
Sing	My Chemical Romance
H*A*M	Kanye West Jay Z
Make A Movie	Twista Featuring Chris Brown
Heart Like Mine	Miranda Lambert
Boyfriend	New Hollow
Make It Rain	Travis Porter
Lay It Down	Lloyd
Bleed Red	Ronnie Dunn
Price Tag	Jessie J Featuring B.o.B
