Light My Fire	The Doors
All You Need Is Love	The Beatles
I Was Made To Love Her	Stevie Wonder
Pleasant Valley Sunday	The Monkees
Mercy, Mercy, Mercy	The Buckinghams
Can't Take My Eyes Off You	Frankie Valli
A Whiter Shade Of Pale	Procol Harum
Windy	The Association
Carrie-Anne	The Hollies
A Girl Like You	The Young Rascals
Baby I Love You	Aretha Franklin
Silence Is Golden	The Tremeloes
My Mammy	The Happenings
Jackson	Nancy Sinatra & Lee Hazlewood
White Rabbit	Jefferson Airplane
Little Bit O' Soul	The Music Explosion
Soul Finger	Bar-Kays
I Take It Back	Sandy Posey
Thank The Lord For The Night Time	Neil Diamond
Cold Sweat - Part 1	James Brown And The Famous Flames
Ode To Billie Joe	Bobbie Gentry
To Love Somebody	Bee Gees
Hypnotized	Linda Jones
Words	The Monkees
In The Chapel In The Moonlight	Dean Martin
Up -- Up And Away	The 5th Dimension
Let The Good Times Roll & Feel So Good	Bunny Sigler
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
More Love	Smokey Robinson & The Miracles
Make Me Yours	Bettye Swann
Come On Down To My Boat	Every Mothers' Son
I Like The Way	Tommy James And The Shondells
Heroes And Villains	The Beach Boys
Baby You're A Rich Man	The Beatles
You're My Everything	The Temptations
Come Back When You Grow Up	Bobby Vee And The Strangers
(I Wanna) Testify	The Parliaments
Fakin' It	Simon & Garfunkel
Out & About	Tommy Boyce & Bobby Hart
Don't Let The Rain Fall Down On Me	The Critters
Society's Child (Baby I've Been Thinking)	Janis Ian
The Sweetest Thing This Side Of Heaven	Chris Bartley
I Take What I Want	James & Bobby Purify
Shoot Your Shot	Jr. Walker & The All Stars
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
The River Is Wide	The Forum
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
San Franciscan Nights	Eric Burdon & The Animals
For Your Love	Peaches & Herb
Everybody Needs Love	Gladys Knight And The Pips
Your Unchanging Love	Marvin Gaye
Cry Softly Lonely One	Roy Orbison
You Only Live Twice	Nancy Sinatra
The Windows Of The World	Dionne Warwick
Brown Eyed Girl	Van Morrison
Washed Ashore (On A Lonely Island In The Sea)	The Platters
Blue's Theme	Davie Allan And The Arrows
The World We Knew (Over And Over)	Frank Sinatra
You Know What I Mean	The Turtles
Glory Of Love	Otis Redding
Reflections	Diana Ross & The Supremes
Gentle On My Mind	Glen Campbell
Bluebird	Buffalo Springfield
Happy	The Sunshine Company
Show Business	Lou Rawls
Lonely Drifter	Pieces Of Eight
I Want To Love You For What You Are	Ronnie Dove
Don't You Miss Me A Little Bit Baby	Jimmy Ruffin
It's A Happening World	The Tokens
It's The Little Things	Sonny & Cher
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
Funky Broadway Part I	Dyke And The Blazers
Groovin'	Booker T. & The MG's
Slim Jenkin's Place	Booker T. & The MG's
Ha Ha Said The Clown	The Yardbirds
I'll Turn To Stone	Four Tops
Funky Broadway	Wilson Pickett
A Woman's Hands	Joe Tex
Run, Run, Run	The Third Rail
Things I Should Have Said	The Grass Roots
The Letter	The Box Tops
Jill	Gary Lewis And The Playboys
Gimme Little Sign	Brenton Wood
There Is A Mountain	Donovan
Zip Code	The Five Americans
Turn On Your Love Light	Oscar Toney, Jr.
Sixteen Tons	Tom Jones
Laura, What's He Got That I Ain't Got	Frankie Laine
Lonesome Road	The Wonder Who?
A Little Bit Now	The Dave Clark Five
Get The Message	Brian Hyland
Knock On Wood	Otis & Carla
There Must Be A Way	Jimmy Roselli
It's Got To Be Mellow	Leon Haywood
Not So Sweet Martha Lorraine	Country Joe & The Fish
Along Comes Mary	Baja Marimba Band
It Could Be We're In Love	The Cryan' Shames
Little Old Wine Drinker Me	Robert Mitchum
Just Once In A Lifetime	Brenda & The Tabulations
Good Day Sunshine	Claudine Longet
