How Will I Know	Whitney Houston
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Burning Heart	Survivor
Kyrie	Mr. Mister
That's What Friends Are For	Dionne & Friends
I'm Your Man	Wham!
Living In America	James Brown
The Sweetest Taboo	Sade
Sara	Starship
Conga	Miami Sound Machine
Life In A Northern Town	The Dream Academy
Silent Running (On Dangerous Ground)	Mike + The Mechanics
A Love Bizarre	Sheila E.
Spies Like Us	Paul McCartney
Secret Lovers	Atlantic Starr
Go Home	Stevie Wonder
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Talk To Me	Stevie Nicks
These Dreams	Heart
Say You, Say Me	Lionel Richie
The Sun Always Shines on T.V.	a-ha
King For A Day	Thompson Twins
Digital Display	Ready For The World
My Hometown	Bruce Springsteen
Walk Of Life	Dire Straits
Russians	Sting
He'll Never Love You (Like I Do)	Freddie Jackson
Day By Day	Hooters
Sidewalk Talk	Jellybean Featuring Catherine Buchanan
Nikita	Elton John
I Miss You	Klymaxx
Stages	ZZ Top
Sanctify Yourself	Simple Minds
Beat's So Lonely	Charlie Sexton
This Could Be The Night	Loverboy
What You Need	INXS
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
Another Night	Aretha Franklin
(How To Be A) Millionaire	ABC
Let's Go All The Way	Sly Fox
The Super Bowl Shuffle	The Chicago Bears Shufflin' Crew
Night Moves	Marilyn Martin
Goodbye	Night Ranger
Party All The Time	Eddie Murphy
Alive & Kicking	Simple Minds
Goodbye Is Forever	Arcadia
No Easy Way Out	Robert Tepper
Manic Monday	The Bangles
Somewhere	Barbra Streisand
You're A Friend Of Mine	Clarence Clemons & Jackson Browne
Everything In My Heart	Corey Hart
Bop	Dan Seals
Tender Love	Force M.D.'s
Needles And Pins	Tom Petty & The Heartbreakers With Stevie Nicks
Calling America	Electric Light Orchestra
Rock Me Amadeus	Falco
I'm Not The One	The Cars
Caravan Of Love	Isley, Jasper, Isley
Small Town	John Mellencamp
Face The Face	Pete Townshend
Strength	The Alarm
Tonight She Comes	The Cars
Do Me Baby	Meli'sa Morgan
Everybody Dance	Ta Mara & The Seen
Separate Lives	Phil Collins and Marilyn Martin
I'd Do It All Again	Sam Harris
Live Is Life	Opus
Addicted To Love	Robert Palmer
Object Of My Desire	Starpoint
Secret	Orchestral Manoeuvres In The Dark
It's Only Love	Bryan Adams/Tina Turner
Baby Talk	Alisha
Le Bel Age (The Best Years)	Pat Benatar
I Like You	Phyllis Nelson
Perfect Way	Scritti Politti
Broken Wings	Mr. Mister
Sex As A Weapon	Pat Benatar
Lying	Peter Frampton
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Pleasure And Pain	Divinyls
Let Me Be The One	Five Star
Never	Heart
Jimmy Mack	Sheena Easton
The Power Of Love	Jennifer Rush
Something About You	Level 42
Just Another Day	Oingo Boingo
No Frills Love	Jennifer Holliday
Stereotomy	The Alan Parsons Project
It's All Right (Baby's Coming Back)	Eurythmics
Life's What You Make It	Talk Talk
Wood Beez (Pray Like Aretha Franklin)	Scritti Politti
All The Kings Horses	The Firm
Own The Night	Chaka Khan
Your Love	The Outfield
Saturday Love	Cherrelle With Alexander O'Neal
One Sunny Day (From Quicksilver)	Ray Parker,Jr. & Helen Terry
Go	Asia
The Men All Pause	Klymaxx
In Between Days	The Cure
We Built This City	Starship
