Roll With It	Steve Winwood
Hold On To The Nights	Richard Marx
Hands To Heaven	Breathe
Pour Some Sugar On Me	Def Leppard
Make Me Lose Control	Eric Carmen
Sign Your Name	Terence Trent D'Arby
New Sensation	INXS
1-2-3	Gloria Estefan & Miami Sound Machine
Rush Hour	Jane Wiedlin
I Don't Wanna Go On With You Like That	Elton John
The Flame	Cheap Trick
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
I Don't Wanna Live Without Your Love	Chicago
Do You Love Me	The Contours
Just Got Paid	Johnny Kemp
Monkey	George Michael
The Colour Of Love	Billy Ocean
The Twist	Fat Boys
Mercedes Boy	Pebbles
Fast Car	Tracy Chapman
Love Will Save The Day	Whitney Houston
Rag Doll	Aerosmith
Love Changes (Everything)	Climie Fisher
Paradise	Sade
Sweet Child O' Mine	Guns N' Roses
Simply Irresistible	Robert Palmer
Nite And Day	Al B. Sure!
Perfect World	Huey Lewis & The News
When It's Love	Van Halen
Lost In You	Rod Stewart
Foolish Beat	Debbie Gibson
I'll Always Love You	Taylor Dayne
I Know You're Out There Somewhere	The Moody Blues
If It Isn't Love	New Edition
All Fired Up	Pat Benatar
Nothin' But A Good Time	Poison
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
In Your Soul	Corey Hart
Here With Me	REO Speedwagon
Make It Real	The Jets
I Still Believe	Brenda K. Starr
Sayin' Sorry (Don't Make It Right)	Denise Lopez
Another Part Of Me	Michael Jackson
It Would Take A Strong Strong Man	Rick Astley
Missed Opportunity	Daryl Hall John Oates
Please Don't Go Girl	New Kids On The Block
One Good Woman	Peter Cetera
The Valley Road	Bruce Hornsby & The Range
Say It's Gonna Rain	Will To Power
I Don't Want To Be A Hero	Johnny Hates Jazz
Dirty Diana	Michael Jackson
Knocked Out	Paula Abdul
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Hole In My Heart (All The Way To China)	Cyndi Lauper
I Should Be So Lucky	Kylie Minogue
Spring Love (Come Back To Me)	Stevie B
Boom! There She Was	Scritti Politti Featuring Roger
Kiss Me Deadly	Lita Ford
Supersonic	J.J. Fad
Better Be Home Soon	Crowded House
One More Try	George Michael
Tell Me	White Lion
Trouble	Nia Peeples
Heart Turns To Stone	Foreigner
Look Out Any Window	Bruce Hornsby & The Range
Together Forever	Rick Astley
Naughty Girls (Need Love Too)	Samantha Fox
Beds Are Burning	Midnight Oil
What's On Your Mind (Pure Energy)	Information Society
Tall Cool One	Robert Plant
Anything For You	Gloria Estefan & Miami Sound Machine
Summergirls	Dino
Fallen Angel	Poison
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
The Right Stuff	Vanessa Williams
Circle In The Sand	Belinda Carlisle
Make It Last Forever	Keith Sweat (Duet With Jacci McGhee)
Always There For You	Stryper
Cecilia	Times Two
Inside Outside	The Cover Girls
Don't Be Cruel	Bobby Brown
Tomorrow People	Ziggy Marley And The Melody Makers
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Time And Tide	Basia
Mary, Mary	Run-D.M.C.
Nice 'N' Slow	Freddie Jackson
Feelings Of Forever	Tiffany
Little Walter	Tony Toni Tone
Skin Deep	Cher
Chains Of Love	Erasure
Don't Be Cruel	Cheap Trick
Coming To America	The System
I Feel Free	Belinda Carlisle
Promise Me	The Cover Girls
Heart Of Mine	Boz Scaggs
My Obsession	Icehouse
Black Leather	Kings Of The Sun
Should I Say Yes?	Nu Shooz
Everything Your Heart Desires	Daryl Hall John Oates
