Knock Three Times	Dawn
My Sweet Lord/Isn't It A Pity	George Harrison
Lonely Days	Bee Gees
One Less Bell To Answer	The 5th Dimension
Rose Garden	Lynn Anderson
Groove Me	King Floyd
I Hear You Knocking	Dave Edmunds
Your Song	Elton John
One Bad Apple	The Osmonds
Stoney End	Barbra Streisand
If I Were Your Woman	Gladys Knight And The Pips
Black Magic Woman	Santana
It's Impossible	Perry Como
Love The One You're With	Stephen Stills
I Think I Love You	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Immigrant Song	Led Zeppelin
Born To Wander	Rare Earth
Mr. Bojangles	Nitty Gritty Dirt Band
Remember Me	Diana Ross
We Gotta Get You A Woman	Runt
Stoned Love	The Supremes
I Really Don't Want To Know/There Goes My Everything	Elvis Presley
For The Good Times	Ray Price
Does Anybody Really Know What Time It Is?	Chicago
Watching Scotty Grow	Bobby Goldsboro
Amazing Grace	Judy Collins
Pay To The Piper	Chairman Of The Board
If You Could Read My Mind	Gordon Lightfoot
River Deep - Mountain High	The Supremes & Four Tops
One Man Band	Three Dog Night
Amos Moses	Jerry Reed
Domino	Van Morrison
Let Your Love Go	Bread
Games	Redeye
Get Up, Get Into It, Get Involved (Pt. 1)	James Brown
(Do The) Push And Pull Part I	Rufus Thomas
1900 Yesterday	Liz Damon's Orient Express
The Tears Of A Clown	Smokey Robinson & The Miracles
Precious, Precious	Jackie Moore
Somebody's Watching You	Little Sister
Your Time To Cry	Joe Simon
Temptation Eyes	The Grass Roots
Mother	John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
Stop The War Now	Edwin Starr
Burning Bridges	The Mike Curb Congregation
Sweet Mary	Wadsworth Mansion
Mama's Pearl	Jackson 5
Apeman	The Kinks
(Theme From) Love Story	Henry Mancini And His Orchestra
Bridget The Midget (The Queen Of The Blues)	Ray Stevens
When I'm Dead And Gone	McGuinness Flint
D.O.A.	Bloodrock
(Don't Worry) If There's A Hell Below We're All Going To Go	Curtis Mayfield
Jody's Got Your Girl And Gone	Johnnie Taylor
Don't Let The Green Grass Fool You	Wilson Pickett
Have You Ever Seen The Rain/Hey Tonight	Creedence Clearwater Revival
He Called Me Baby	Candi Staton
I'm So Proud	The Main Ingredient
(I Can Feel Those Vibrations) This Love Is Real	Jackie Wilson
Fresh As A Daisy	Emitt Rhodes
Most Of All	B.J. Thomas
They Can't Take Away Our Music	Eric Burdon And War
The Green Grass Starts To Grow	Dionne Warwick
Help Me Make It Through The Night	Sammi Smith
God Bless Whoever Sent You	The Originals
Just Seven Numbers (Can Straighten Out My Life)	Four Tops
Shoes	Brook Benton With The Dixie Flyers
Bed Of Rose's	The Statler Brothers
If You Were Mine	Ray Charles
Mean Mistreater	Grand Funk Railroad
Cheryl Moana Marie	John Rowles
Beautiful People	The New Seekers featuring Eve Graham
Mixed Up Guy	Joey Scarbury
Church Street Soul Revival	Tommy James
Theme From Love Story	Francis Lai And His Orchestra
Are You My Woman? (Tell Me So)	The Chi-lites
One Night Stand	The Magic Lanterns
Superstar	Murray Head With The Trinidad Singers
It's Up To You Petula	Edison Lighthouse
Problem Child	Mark Lindsay
You're A Big Girl Now	The Stylistics
Hang On To Your Life	The Guess Who
I Dig Everything About You	The Mob
Where Are We Going	Bobby Bloom
Whole Lotta Love	King Curtis & The Kingpins
You're The One	The Three Degrees
I Love You For All Seasons	The Fuzz
(She's A) Very Lovely Woman/The Long Way Around	Linda Ronstadt
Ride A White Swan	Tyrannosaurus Rex
I Need You	The Friends Of Distinction
Make Me Happy	Bobby Bloom
Triangle Of Love (Hey Diddle Diddle)	The Presidents
Freedom	The Isley Brothers
Me And Bobby McGee	Janis Joplin
Fly Little White Dove Fly	The Bells
We'll Have It Made	The Spinners
I'll Be Home	Vikki Carr
Everything Is Good About You	The Lettermen
Proud Mary	Ike & Tina Turner
San Bernadino	Christie
