Kiss You All Over	Exile
Hot Child In The City	Nick Gilder
Boogie Oogie Oogie	A Taste Of Honey
Don't Look Back	Boston
Reminiscing	Little River Band
You Needed Me	Anne Murray
Love Is In The Air	John Paul Young
Whenever I Call You "Friend"	Kenny Loggins
Summer Nights	John Travolta & Olivia Newton-John & Cast
Hopelessly Devoted To You	Olivia Newton-John
MacArthur Park	Donna Summer
Hollywood Nights	Bob Seger & The Silver Bullet Band
Right Down The Line	Gerry Rafferty
How Much I Feel	Ambrosia
Get Off	Foxy
Back In The U.s.a.	Linda Ronstadt
She's Always A Woman	Billy Joel
You Never Done It Like That	Captain & Tennille
Who Are You	The Who
Double Vision	Foreigner
Three Times A Lady	Commodores
I Love The Nightlife (Disco 'round)	Alicia Bridges
Talking In Your Sleep	Crystal Gayle
Beast Of Burden	The Rolling Stones
It's A Laugh	Daryl Hall John Oates
Josie	Steely Dan
5.7.0.5.	City Boy
An Everlasting Love	Andy Gibb
I Just Wanna Stop	Gino Vannelli
Dance (Disco Heat)	Sylvester
Ready To Take A Chance Again	Barry Manilow
I Will Still Love You	Stonebolt
Almost Like Being In Love	Michael Johnson
Oh! Darling	Robin Gibb
Come Together	Aerosmith
Took The Last Train	David Gates
Sharing The Night Together	Dr. Hook
Sweet Life	Paul Davis
London Town	Wings
Heartbreaker	Dolly Parton
Themes From The Wizard Of Oz	Meco
Ease On Down The Road	Diana Ross & Michael Jackson
Blue Collar Man (Long Nights)	Styx
You And I	Rick James
Don't Want To Live Without It	Pablo Cruise
Prisoner Of Your Love	Player
Change Of Heart	Eric Carmen
Everybody Needs Love	Stephen Bishop
Holding On (When Love Is Gone)	L.T.D.
Time Passages	Al Stewart
Wavelength	Van Morrison
Champagne Jam	Atlanta Rhythm Section
One Nation Under A Groove - Part I	Funkadelic
Greased Lightnin'	John Travolta
Straight On	Heart
Flying High	Commodores
Hot Blooded	Foreigner
You Should Do It	Peter Brown With Betty Wright
Grease	Frankie Valli
Got To Have Loving	Don Ray
Listen To Her Heart	Tom Petty
Strange Way	Firefall
Raining In My Heart	Leo Sayer
Like A Sunday In Salem (The Amos & Andy Song)	Gene Cotton
Shame	Evelyn "Champagne" King
Dreadlock Holiday	10cc
Substitute	Clout
Searching For A Thrill	Starbuck
Hot Shot	Karen Young
(Our Love) Don't Throw It All Away	Andy Gibb
This Is Love	Paul Anka
Run For Home	Lindisfarne
Martha (Your Lovers Come And Go)	Gabriel
Forever Autumn	Justin Hayward
Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends	The Beatles
Hold The Line	Toto
There'll Never Be	Switch
On The Shelf	Donny & Marie Osmond
I'm Every Woman	Chaka Khan
Mellow Lovin'	Judy Cheeks
Do You Feel All Right	KC And The Sunshine Band
The Power Of Gold	Dan Fogelberg/Tim Weisberg
New York City	Zwol
Hot Summer Nights	Walter Egan
Promises	Eric Clapton And His Band
Lights	Journey
New York Groove	Ace Frehley
Instant Replay	Dan Hartman
Louie, Louie	John Belushi
Take Me I'm Yours	Michael Henderson
Magnet And Steel	Walter Egan
When You Feel Love	Bob Mcgilpin
Devoted To You	Carly Simon & James Taylor
Fool If You Think It's Over	Chris Rea
If My Friends Could See Me Now	Linda Clifford
Love Theme From "Eyes Of Laura Mars" (Prisoner)	Barbra Streisand
Got To Get You Into My Life	Earth, Wind & Fire
Crazy Feelin'	Jefferson Starship
Paradise By The Dashboard Light	Meat Loaf
Peggy Sue	The Beach Boys
