Physical	Olivia Newton-John
Waiting For A Girl Like You	Foreigner
Every Little Thing She Does Is Magic	The Police
Oh No	Commodores
Let's Groove	Earth, Wind & Fire
Young Turks	Rod Stewart
Here I Am (Just When I Thought I Was Over You)	Air Supply
Why Do Fools Fall In Love	Diana Ross
Harden My Heart	Quarterflash
Don't Stop Believin'	Journey
Leather And Lace	Stevie Nicks With Don Henley
Trouble	Lindsey Buckingham
I Can't Go For That (No Can Do)	Daryl Hall John Oates
Yesterday's Songs	Neil Diamond
Comin' In And Out Of Your Life	Barbra Streisand
Turn Your Love Around	George Benson
The Sweetest Thing (I've Ever Known)	Juice Newton
Private Eyes	Daryl Hall John Oates
Take My Heart (You Can Have It If You Want It)	Kool & The Gang
Our Lips Are Sealed	Go-Go's
Cool Night	Paul Davis
My Girl (Gone, Gone, Gone)	Chilliwack
Hooked On Classics	Royal Philharmonic Orchestra
Heart Like A Wheel	The Steve Miller Band
Centerfold	The J. Geils Band
Steal The Night	Stevie Woods
Someone Could Lose A Heart Tonight	Eddie Rabbitt
Start Me Up	The Rolling Stones
The Old Songs	Barry Manilow
I Wouldn't Have Missed It For The World	Ronnie Milsap
Arthur's Theme (Best That You Can Do)	Christopher Cross
Shake It Up	The Cars
Poor Man's Son	Survivor
No Reply At All	Genesis
Under Pressure	Queen & David Bowie
Waiting On A Friend	The Rolling Stones
She's Got A Way	Billy Joel
Wrack My Brain	Ringo Starr
Tryin' To Live My Life Without You	Bob Seger
Castles In The Air	Don McLean
Come Go With Me	The Beach Boys
More Than Just The Two Of Us	Sneaker
Never Too Much	Luther Vandross
The Theme From Hill Street Blues	Mike Post featuring Larry Carlton
Living Eyes	Bee Gees
Just Once	Quincy Jones Featuring James Ingram
I've Done Everything For You	Rick Springfield
You Could Have Been With Me	Sheena Easton
Take It Easy On Me	Little River Band
Working For The Weekend	Loverboy
The Night Owls	Little River Band
When She Was My Girl	Four Tops
Leader Of The Band	Dan Fogelberg
Sausalito Summernight	Diesel
We're In This Love Together	Al Jarreau
Love In The First Degree	Alabama
Key Largo	Bertie Higgins
Let Me Love You Once	Greg Lake
If I Were You	Lulu
Love Is Alright Tonite	Rick Springfield
For Your Eyes Only	Sheena Easton
Endless Love	Diana Ross & Lionel Richie
My Kinda Lover	Billy Squier
Super Freak (Part I)	Rick James
She's A Bad Mama Jama (She's Built, She's Stacked)	Carl Carlton
Blaze Of Glory	Kenny Rogers
Falling In Love	Balance
I Want You, I Need You	Chris Christian
Twilight	Electric Light Orchestra
Hard To Say	Dan Fogelberg
Breakin' Away	Al Jarreau
Anyone Can See	Irene Cara
Step By Step	Eddie Rabbitt
Sweet Dreams	Air Supply
Say Goodbye To Hollywood	Billy Joel
Controversy	Prince
The Woman In Me	Crystal Gayle
Could It Be Love	Jennifer Warnes
Little Darlin'	Sheila
All Our Tomorrows	Eddie Schwartz
Sea Of Love	Del Shannon
Wkrp In Cincinnati	Steve Carlisle
I Heard It Through The Grapevine (Part 1)	Roger
Walking Into Sunshine	Central Line
Runaway Rita	Leif Garrett
Talking Out Of Turn	The Moody Blues
I'm Just Too Shy	Jermaine Jackson
Keeping Our Love Alive	Henry Paul Band
Share Your Love With Me	Kenny Rogers
Closer To The Heart	Rush
Sharing The Love	Rufus With Chaka Khan
A World Without Heroes	KISS
Every Home Should Have One	Patti Austin
Chariots Of Fire - Titles	Vangelis
Better Things	The Kinks
Atlanta Lady (Something About Your Love)	Marty Balin
Promises In The Dark	Pat Benatar
The Cowboy And The Lady	John Denver
Magic Power	Triumph
Stop Draggin' My Heart Around	Stevie Nicks With Tom Petty And The Heartbreakers
