Truly Madly Deeply	Savage Garden
How Do I Live	LeAnn Rimes
Together Again	Janet
Been Around The World	Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
My Body	LSG
Tubthumping	Chumbawamba
Show Me Love	Robyn
Nice & Slow	Usher
You Make Me Wanna...	Usher
I Don't Ever Want To See You Again	Uncle Sam
A Song For Mama	Boyz II Men
I Don't Want To Wait	Paula Cole
Feel So Good	Mase
Dangerous	Busta Rhymes
How's It Going To Be	Third Eye Blind
My Love Is The Shhh!	Somethin' For The People Featuring Trina & Tamara
I Do	Lisa Loeb
We're Not Making Love No More	Dru Hill
No, No, No	Destiny's Child
I Will Come To You	Hanson
Semi-Charmed Life	Third Eye Blind
Given To Fly	Pearl Jam
All Cried Out	Allure Featuring 112
Foolish Games/You Were Meant For Me	Jewel
Kiss The Rain	Billie Myers
Quit Playing Games (With My Heart)	Backstreet Boys
Heaven	Nu Flavor
All For You	Sister Hazel
Butta Love	Next
The One I Gave My Heart To	Aaliyah
What About Us	Total
Spice Up Your Life	Spice Girls
Mo Money Mo Problems	The Notorious B.I.G. Featuring Puff Daddy & Mase
4 Seasons Of Loneliness	Boyz II Men
Sock It 2 Me	Missy "Misdemeanor" Elliott Featuring Da Brat
Criminal	Fiona Apple
Breaking All The Rules	She Moves
Going Back To Cali	The Notorious B.I.G.
32 Flavors	Alana Davis
Building A Mystery	Sarah McLachlan
No Tengo Dinero	Los Umbrellos
Sunny Came Home	Shawn Colvin
Swing My Way	K.P. & Envyi
At The Beginning	Richard Marx & Donna Lewis
I'll Be Missing You	Puff Daddy & Faith Evans Featuring 112
Honey	Mariah Carey
Lollipop (Candyman)	Aqua
2 Become 1	Spice Girls
If I Could Teach The World	Bone Thugs-N-Harmony
Everything	Mary J. Blige
The Memory Remains	Metallica
Don't Be Stupid (You Know I Love You)	Shania Twain
They Like It Slow	H-Town
Legend Of A Cowgirl	Imani Coppola
Just Clownin'	WC From Westside Connection
So Help Me Girl	Gary Barlow
Sugar Cane	Spacemonkeyz
Roxanne `97 - Puff Daddy Remix	Sting & The Police
I'm Not A Player	Big Punisher
Say You'll Stay	KAI
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
Still Waters (Run Deep)	Bee Gees
You're Not Alone	Olive
Burn	Militia
Tuck Me In	Kimberly Scott
What If	Reba McEntire
So Good	Davina
Ain't That Just The Way	Lutricia McNeal
Love Gets Me Every Time	Shania Twain
L-L-Lies	Diana King
One More Night	Amber
I Wonder If Heaven Got A Ghetto	2Pac
I'm Afraid Of Americans	David Bowie
Brian Wilson	Barenaked Ladies
Young, Sad And Blue	Lysette
What If I Said	Anita Cochran (Duet With Steve Wariner)
You Know My Steez	Gang Starr
Too Gone, Too Long	En Vogue
Don't Stop The Music	Playa
Valentine	Martina McBride With Jim Brickman
You Light Up My Life	LeAnn Rimes
4, 3, 2, 1	LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P
In Harm's Way	BeBe Winans
Don't Go	Le Click Featuring Kayo
Last Night's Letter	K-Ci & JoJo
Doin' Time	Sublime
Man Behind The Music	Queen Pen Featuring Teddy Riley
Mourn You Til I Join You	Naughty By Nature
Tha Hop	Kinsu
Spin Spin Sugar	Sneaker Pimps
Up & Down	Billy Lawrence
Smack My Bitch Up	The Prodigy
Something That We Do	Clint Black
Much Better	Club 69 Featuring Suzanne Palmer
Rhythm Of Love	DJ Company
Santa's A Fat Bitch	Insane Clown Posse
The Rest Of Mine	Trace Adkins
All Of My Days	Changing Faces (Featuring Jay-Z)
Barbie Girl	Aqua
