Release Me	Wilson Phillips
Blaze Of Glory (From "Young Guns II")	Jon Bon Jovi
Do Me!	Bell Biv DeVoe
Have You Seen Her	M.C. Hammer
Unskinny Bop	Poison
(Can't Live Without Your) Love And Affection	Nelson
Thieves In The Temple	Prince
If Wishes Came True	Sweet Sensation
Tonight	New Kids On The Block
Close To You	Maxi Priest
Something Happened On The Way To Heaven	Phil Collins
Vision Of Love	Mariah Carey
Can't Stop Falling Into Love	Cheap Trick
Come Back To Me	Janet Jackson
Oh Girl	Paul Young
Epic	Faith No More
Tic-Tac-Toe	Kyper
Praying For Time	George Michael
My, My, My	Johnny Gill
Heart Of Stone	Taylor Dayne
Can't Stop	After 7
Love And Emotion	Stevie B
Jerk Out	The Time
Romeo	Dino
Everybody Everybody	Black Box
Policy Of Truth	Depeche Mode
I Don't Have The Heart	James Ingram
Dirty Cash (Money Talks)	The Adventures Of Stevie V
This Is The Right Time	Lisa Stansfield
Unchained Melody	The Righteous Brothers
Tell Me Something	Indecent Obsession
Giving You The Benefit	Pebbles
Cradle Of Love (From "Ford Fairlane")	Billy Idol
King Of Wishful Thinking (From "Pretty Woman")	Go West
Make You Sweat	Keith Sweat
Crazy	The Boys
Black Cat	Janet Jackson
The Power	Snap!
Say A Prayer	Breathe
Banned In The U.S.A.	Luke Featuring The 2 Live Crew
All I'm Missing Is You	Glenn Medeiros Featuring Ray Parker, Jr.
Fly To the Angels	Slaughter
Time For Letting Go	Jude Cole
Can't Get Enuff	Winger
Hold On	En Vogue
Suicide Blonde	INXS
Feels Good	Tony Toni Tone
Could This Be Love	Seduction
La Raza	Kid Frost
Georgia On My Mind	Michael Bolton
Slow Love	Doc Box & B. Fresh
Mentirosa	Mellow Man Ace
Rub You The Right Way	Johnny Gill
We're All In the Same Gang	The West Coast Rap All-Stars
How Much Love	Vixen
Innocent	The Whispers
Ice Ice Baby	Vanilla Ice
Lies	En Vogue
Joey	Concrete Blonde
Across The River	Bruce Hornsby & The Range
More Than Words Can Say	Alias
Possession	Bad English
Cuts Both Ways	Gloria Estefan
I'd Rather Go Blind	Sydney Youngblood
Look Into My Eyes	George LaMond
The Girl I Used To Know	Brother Beyond
Knockin' Boots	Candyman
Violence Of Summer (Love's Taking Over)	Duran Duran
I Wanna Get Back With You	Louie Louie
The Other Side	Aerosmith
How Bad Do You Want It?	Don Henley
I Won't Give Up On You	TKA
Love Takes Time	Mariah Carey
Second Chance	Tyler Collins
All I Do Is Think Of You	Troop
Vogue	Madonna
Jealous	Gene Loves Jezebel
Cherry Pie	Warrant
Dream Boy/Dream Girl	Cynthia & Johnny O
Empty Beach	Tricia Leigh Fisher
Won't Talk About It	Beats International
I Didn't Want To Need You	Heart
L.A. Woman	Billy Idol
Undeniable	Ms. Adventures
Only Women Bleed	Favorite Angel
When I'm Back On My Feet Again	Michael Bolton
Same Ol' Situation (S.O.S.)	Motley Crue
Hippychick	Soho
Enjoy The Silence	Depeche Mode
Ooops Up	Snap!
Summer Vacation	The Party
First True Love	Tiana
It Must Have Been Love (From "Pretty Woman")	Roxette
Girls Nite Out	Tyler Collins
She Ain't Worth It	Glenn Medeiros Featuring Bobby Brown
Groove Is In The Heart	Deee-Lite
Stranger To Love	St. Paul
Don't Go Away Mad (Just Go Away)	Motley Crue
Talk To Me	Anita Baker
The Way You Do The Things You Do	UB40
