Three Times A Lady	Commodores
Grease	Frankie Valli
Last Dance	Donna Summer
Miss You	The Rolling Stones
Hot Blooded	Foreigner
Boogie Oogie Oogie	A Taste Of Honey
Love Will Find A Way	Pablo Cruise
Copacabana (at The Copa)	Barry Manilow
Magnet And Steel	Walter Egan
An Everlasting Love	Andy Gibb
Hopelessly Devoted To You	Olivia Newton-John
Life's Been Good	Joe Walsh
My Angel Baby	Toby Beau
I'm Not Gonna Let It Bother Me Tonight	Atlanta Rhythm Section
Shame	Evelyn "Champagne" King
Kiss You All Over	Exile
King Tut	Steve Martin And The Toot Uncommons
Fool If You Think It's Over	Chris Rea
Got To Get You Into My Life	Earth, Wind & Fire
Stay/The Load-Out	Jackson Browne
Hot Child In The City	Nick Gilder
You And I	Rick James
Stuff Like That	Quincy Jones
Love Is In The Air	John Paul Young
You	Rita Coolidge
Two Tickets To Paradise	Eddie Money
Macho Man	Village People
Reminiscing	Little River Band
Summer Nights	John Travolta & Olivia Newton-John & Cast
Shadow Dancing	Andy Gibb
Rivers Of Babylon	Boney M.
Close The Door	Teddy Pendergrass
Baker Street	Gerry Rafferty
Just What I Needed	The Cars
You Needed Me	Anne Murray
You're A Part Of Me	Gene Cotton With Kim Carnes
A Rock 'N' Roll Fantasy	The Kinks
Hollywood Nights	Bob Seger & The Silver Bullet Band
Whenever I Call You "Friend"	Kenny Loggins
Oh! Darling	Robin Gibb
Think It Over	Cheryl Ladd
Use Ta Be My Girl	The O'Jays
Get Off	Foxy
Love Theme From "Eyes Of Laura Mars" (Prisoner)	Barbra Streisand
Ain't Nothing Gonna Keep Me From You	Teri DeSario
I Love The Nightlife (Disco 'round)	Alicia Bridges
Still The Same	Bob Seger & The Silver Bullet Band
Talking In Your Sleep	Crystal Gayle
Steppin' In A Slide Zone	The Moody Blues
Come Together	Aerosmith
If You Wanna Do A Dance	The Spinners
Right Down The Line	Gerry Rafferty
I've Had Enough	Wings
You Never Done It Like That	Captain & Tennille
The Groove Line	Heatwave
You're All I Need To Get By	Johnny Mathis & Deniece Williams
Runaway	Jefferson Starship
Time For Me To Fly	REO Speedwagon
Mr. Blue Sky	Electric Light Orchestra
You're The One That I Want	John Travolta & Olivia Newton-John
Flyin'	Prism
Don't Look Back	Boston
She's Always A Woman	Billy Joel
I Will Still Love You	Stonebolt
She Loves To Be In Love	Charlie
Surrender	Cheap Trick
On The Strip	Paul Nicholas
Paradise By The Dashboard Light	Meat Loaf
Arms Of Mary	Chilliwack
Raise A Little Hell	Trooper
5.7.0.5.	City Boy
Back In The U.s.a.	Linda Ronstadt
All I See Is Your Face	Dan Hill
Blame It On The Boogie	Mick Jackson
He's So Fine	Kristy And Jimmy McNichol
Almost Like Being In Love	Michael Johnson
New Orleans Ladies	Louisiana's LeRoux
California Nights	Sweet
Livingston Saturday Night	Jimmy Buffett
You	The McCrarys
Take A Chance On Me	ABBA
Devoted To You	Carly Simon & James Taylor
Two Out Of Three Ain't Bad	Meat Loaf
Badlands	Bruce Springsteen
Took The Last Train	David Gates
It's Really You	The Tarney/Spencer Band
Dance (Disco Heat)	Sylvester
Holding On (When Love Is Gone)	L.T.D.
Lights	Journey
Long Hot Summer Nights	Wendy Waldman
Dance With Me	Peter Brown With Betty Wright
Will You Still Love Me Tomorrow	Dave Mason
I Need To Know	Tom Petty And The Heartbreakers
Back In My Arms Again	Genya Ravan
Songbird	Barbra Streisand
Thank God It's Friday	Love And Kisses
Love Or Something Like It	Kenny Rogers
Wonderful Tonight	Eric Clapton
Can We Still Be Friends	Todd Rundgren
Runaway Love	Linda Clifford
