One More Night	Maroon 5
Gangnam Style	PSY
I Knew You Were Trouble.	Taylor Swift
Some Nights	fun.
We Are Never Ever Getting Back Together	Taylor Swift
As Long As You Love Me	Justin Bieber Featuring Big Sean
Too Close	Alex Clare
Die Young	Ke$ha
Blow Me (One Last Kiss)	P!nk
Good Time	Owl City & Carly Rae Jepsen
Diamonds	Rihanna
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Skyfall	Adele
Don't Wake Me Up	Chris Brown
Lights	Ellie Goulding
Everybody Talks	Neon Trees
Whistle	Flo Rida
Clique	Kanye West, Jay-Z, Big Sean
Home	Phillip Phillips
Blown Away	Carrie Underwood
Live While We're Young	One Direction
Somebody That I Used To Know	Gotye Featuring Kimbra
Call Me Maybe	Carly Rae Jepsen
50 Ways To Say Goodbye	Train
Wide Awake	Katy Perry
Adorn	Miguel
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Titanium	David Guetta Featuring Sia
Payphone	Maroon 5 Featuring Wiz Khalifa
I Will Wait	Mumford & Sons
Give Your Heart A Break	Demi Lovato
Ho Hey	The Lumineers
Locked Out Of Heaven	Bruno Mars
Cruise	Florida Georgia Line Featuring Nelly
Pound The Alarm	Nicki Minaj
Wanted	Hunter Hayes
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
It's Time	Imagine Dragons
No Lie	2 Chainz Featuring Drake
Hard To Love	Lee Brice
I Won't Give Up	Jason Mraz
The A Team	Ed Sheeran
Take A Little Ride	Jason Aldean
Kiss Tomorrow Goodbye	Luke Bryan
2 Reasons	Trey Songz Featuring T.I.
Cowboys And Angels	Dustin Lynch
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Where Have You Been	Rihanna
Turn On The Lights	Future
I Cry	Flo Rida
Birthday Song	2 Chainz Featuring Kanye West
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
Red	Taylor Swift
Thinkin Bout You	Frank Ocean
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
The One That Got Away	Jake Owen
Your Body	Christina Aguilera
Feel Again	OneRepublic
Madness	Muse
Swimming Pools (Drank)	Kendrick Lamar
Want U Back	Cher Lloyd
Lovin' You Is Fun	Easton Corbin
Come Wake Me Up	Rascal Flatts
Fastest Girl In Town	Miranda Lambert
Truck Yeah	Tim McGraw
Pontoon	Little Big Town
Beer Money	Kip Moore
Put It Down	Brandy Featuring Chris Brown
Begin Again	Taylor Swift
Hall Of Fame	The Script Featuring will.i.am
Numb	Usher
Creepin'	Eric Church
Babel	Mumford & Sons
Anything Could Happen	Ellie Goulding
No Worries	Lil Wayne Featuring Detail
Hello	Karmin
Til My Last Day	Justin Moore
Dance For You	Beyonce
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Southern Comfort Zone	Brad Paisley
Dive In	Trey Songz
She's So Mean	matchbox twenty
Every Storm (Runs Out Of Rain)	Gary Allan
Did It For The Girl	Greg Bates
Take A Walk	Passion Pit
How Country Feels	Randy Houser
Diced Pineapples	Rick Ross Featuring Wale & Drake
My Moment	DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih
Radioactive	Imagine Dragons
Whispers In The Dark	Mumford & Sons
El Cerrito Place	Kenny Chesney
Amen	Meek Mill Featuring Drake
Shinin' On Me	Jerrod Niemann
Holland Road	Mumford & Sons
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
Goodbye In Her Eyes	Zac Brown Band
Just What I Am	Kid Cudi Featuring King Chip
Over	Blake Shelton
Ghosts That We Knew	Mumford & Sons
