Go Away Little Girl	Steve Lawrence
Telstar	The Tornadoes
Hotel Happiness	Brook Benton
Tell Him	The Exciters
The Night Has A Thousand Eyes	Bobby Vee
Limbo Rock	Chubby Checker
Two Lovers	Mary Wells
My Dad	Paul Petersen
Pepino The Italian Mouse	Lou Monte
Hey Paula	Paul and Paula
Walk Right In	The Rooftop Singers
It's Up To You	Rick Nelson
Up On The Roof	The Drifters
I Saw Linda Yesterday	Dickey Lee
Zip-A-Dee Doo-Dah	Bob B. Soxx And The Blue Jeans
Loop De Loop	Johnny Thunder
Half Heaven - Half Heartache	Gene Pitney
Big Girls Don't Cry	The 4 Seasons
Bobby's Girl	Marcie Blane
Everybody Loves A Lover	The Shirelles
Return To Sender	Elvis Presley With The Jordanaires
You Are My Sunshine	Ray Charles
I'm Gonna' Be Warm This Winter	Connie Francis
Shutters And Boards	Jerry Wallace
Remember Then	The Earls
Don't Make Me Over	Dionne Warwick
My Coloring Book	Kitty Kallen
You've Really Got A Hold On Me	The Miracles
Wiggle Wobble	Les Cooper and the Soul Rockers
The Lonely Bull (El Solo Torro)	Herb Alpert And Tijuana Brass
Release Me	Esther Phillips "Little Esther"
My Coloring Book	Sandy Stewart
Trouble Is My Middle Name	Bobby Vinton
See See Rider	LaVern Baker
Chains	The Cookies
The Cinnamon Cinder (It's A Very Nice Dance)	The Pastel Six
Love Came To Me	Dion
Let's Kiss And Make Up	Bobby Vinton
Dear Lonely Hearts	Nat King Cole
He's Sure The Boy I Love	The Crystals
From A Jack To A King	Ned Miller
Little Town Flirt	Del Shannon
Some Kinda Fun	Chris Montez
The Love Of A Boy	Timi Yuro
Keep Your Hands Off My Baby	Little Eva
Lovesick Blues	Frank Ifield
Don't Hang Up	The Orlons
Let's Go (pony)	The Routers
Fly Me To The Moon - Bossa Nova	Joe Harnell And His Orchestra
Shake Me I Rattle (Squeeze Me I Cry)	Marion Worth
Proud	Johnny Crawford
Wild Weekend	The Rebels
The Ballad Of Jed Clampett	Flatt & Scruggs
Shake Sherry	The Contours
Java	Floyd Cramer
Strange I Know	The Marvelettes
Ruby Ann	Marty Robbins
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
Ten Little Indians	The Beach Boys
Cast Your Fate To The Wind	Vince Guaraldi Trio
I'm A Woman	Peggy Lee
Mama Didn't Lie	Jan Bradley
My Wife Can't Cook	Lonnie Russ
That's Life (That's Tough)	Gabriel And The Angels
Rhythm Of The Rain	The Cascades
Love (Makes the World Go 'round)	Paul Anka
Coney Island Baby	The Excellents
Would It Make Any Difference To You	Etta James
Ruby Baby	Dion
Chicken Feed	Bent Fabric and His Piano
Molly	Bobby Goldsboro
Call On Me	Bobby Bland
The Gypsy Cried	Lou Christie
Every Day I Have To Cry	Steve Alaimo
Puddin N' Tain (Ask Me Again, I'll Tell You The Same)	The Alley Cats
All About My Girl	Jimmy McGriff
You're Gonna Need Me	Barbara Lynn
Settle Down (Goin' Down That Highway)	Peter, Paul & Mary
What To Do With Laurie	Mike Clifford
Darkest Street In Town	Jimmy Clanton
That's The Way Love Is	Bobby Bland
Blame It On The Bossa Nova	Eydie Gorme
Willie Can	Sue Thompson
Little Tin Soldier	The Toy Dolls
The Popeye Waddle	Don Covay
I Wanna Be Around	Tony Bennett
You're The Reason I'm Living	Bobby Darin
Jellybread	Booker T. & The MG's
How Much Is That Doggie In The Window	Baby Jane & The Rockabyes
Hitch Hike	Marvin Gaye
Look At Me	Dobie Gray
I Will Live My Life For You	Tony Bennett
Let Me Go The Right Way	The Supremes
Al Di La	Connie Francis
Red Pepper I	Roosevelt Fountain And Pens Of Rhythm
Who Stole The Keeshka?	The Matys Bros.
From The Bottom Of My Heart (Dammi, Dammi, Dammi)	Dean Martin
Walk Right In	The Moments
Oo-La-La-Limbo	Danny & The Juniors
The Lone Teen Ranger	Jerry Landis
