Amanda	Boston
Human	The Human League
True Blue	Madonna
Take Me Home Tonight	Eddie Money
You Give Love A Bad Name	Bon Jovi
I Didn't Mean To Turn You On	Robert Palmer
Word Up	Cameo
The Next Time I Fall	Peter Cetera With Amy Grant
The Rain	Oran 'Juice' Jones
True Colors	Cyndi Lauper
Hip To Be Square	Huey Lewis & The News
I'll Be Over You	Toto
Love Will Conquer All	Lionel Richie
The Way It Is	Bruce Hornsby & The Range
Emotion In Motion	Ric Ocasek
To Be A Lover	Billy Idol
Everybody Have Fun Tonight	Wang Chung
I Am By Your Side	Corey Hart
Sweet Love	Anita Baker
Typical Male	Tina Turner
Walk Like An Egyptian	The Bangles
Jumpin' Jack Flash	Aretha Franklin
Stand By Me	Ben E. King
Freedom Overspill	Steve Winwood
All Cried Out	Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou
(Forever) Live And Die	Orchestral Manoeuvres In The Dark
Don't Get Me Wrong	Pretenders
What About Love	'Til Tuesday
When I Think Of You	Janet Jackson
Notorious	Duran Duran
Shake You Down	Gregory Abbott
Somebody's Out There	Triumph
Wild Wild Life	Talking Heads
You Know I Love You ... Don't You?	Howard Jones
C'est La Vie	Robbie Nevil
Is This Love	Survivor
Land Of Confusion	Genesis
Love Is Forever	Billy Ocean
Foolish Pride	Daryl Hall
Welcome To The Boomtown	David & David
Control	Janet Jackson
Midas Touch	Midnight Star
Can't Wait Another Minute	Five Star
Girl Can't Help It	Journey
Two Of Hearts	Stacey Q
The Future's So Bright, I Gotta Wear Shades	Timbuk 3
Lady Soul	The Temptations
A Matter Of Trust	Billy Joel
Victory	Kool & The Gang
Heartbeat	Don Johnson
Throwing It All Away	Genesis
Don't Forget Me (When I'm Gone)	Glass Tiger
Don't Stand So Close To Me '86	The Police
You Be Illin'	Run-D.M.C.
Someday	Glass Tiger
Nail It To The Wall	Stacy Lattisaw
Where Did Your Heart Go?	Wham!
Heartache All Over The World	Elton John
In Your Eyes (Theme From "Say Anything")	Peter Gabriel
For Tonight	Nancy Martinez
All I Wanted	Kansas
Goldmine	The Pointer Sisters
Friends And Lovers	Carl Anderson & Gloria Loring
Stuck With You	Huey Lewis & The News
Falling In Love (Uh-Oh)	Miami Sound Machine
Coming Around Again	Carly Simon
Point Of No Return	Nu Shooz
Touch Me (I Want Your Body)	Samantha Fox
Heaven In Your Eyes	Loverboy
Crazay	Jesse Johnson (Featuring Sly Stone)
California Dreamin'	The Beach Boys
Earth Angel (From "The Karate Kid Part II")	New Edition
When The Rain Comes Down	Andy Taylor
Talk To Me	Chico DeBarge
Stay The Night	Benjamin Orr
Goin' To The Bank	Commodores
Tasty Love	Freddie Jackson
This Is The Time	Billy Joel
Daydream Believer	The Monkees
At This Moment	Billy Vera & The Beaters
Words Get In The Way	Miami Sound Machine
Like Flames	Berlin
Jody	Jermaine Stewart
Everytime You Cry	The Outfield
Will You Still Love Me?	Chicago
Stop To Love	Luther Vandross
Miami	Bob Seger
Love In Siberia	Laban
Nobody's Fool	Cinderella
I'm For Real	Howard Hewett
Love Walks In	Van Halen
More Than Physical	Bananarama
Good Music	Joan Jett & the Blackhearts
Thorn In My Side	Eurythmics
You Got It All	The Jets
Some People	Paul Young
Stranglehold	Paul McCartney
I Want To Make The World Turn Around	The Steve Miller Band
Twist And Shout	The Beatles
This Love	Bad Company
