Say You, Say Me	Lionel Richie
Broken Wings	Mr. Mister
Party All The Time	Eddie Murphy
Alive & Kicking	Simple Minds
Separate Lives	Phil Collins and Marilyn Martin
Election Day	Arcadia
I Miss You	Klymaxx
That's What Friends Are For	Dionne & Friends
Small Town	John Mellencamp
Sleeping Bag	ZZ Top
Perfect Way	Scritti Politti
Tonight She Comes	The Cars
Never	Heart
Walk Of Life	Dire Straits
We Built This City	Starship
Talk To Me	Stevie Nicks
Burning Heart	Survivor
Who's Zoomin' Who	Aretha Franklin
Emergency	Kool & The Gang
Love Is The Seventh Wave	Sting
Wrap Her Up	Elton John
Conga	Miami Sound Machine
It's Only Love	Bryan Adams/Tina Turner
You're A Friend Of Mine	Clarence Clemons & Jackson Browne
I'm Your Man	Wham!
Go Home	Stevie Wonder
Object Of My Desire	Starpoint
Spies Like Us	Paul McCartney
Everybody Dance	Ta Mara & The Seen
Goodbye	Night Ranger
Lay Your Hands On Me	Thompson Twins
My Hometown	Bruce Springsteen
Do It For Love	Sheena Easton
You Belong To The City	Glenn Frey
Sex As A Weapon	Pat Benatar
Sidewalk Talk	Jellybean Featuring Catherine Buchanan
Sisters Are Doin' It For Themselves	Eurythmics & Aretha Franklin
Face The Face	Pete Townshend
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Sun City	Artists United Against Apartheid
To Live And Die In L.A.	Wang Chung
How Will I Know	Whitney Houston
Everything In My Heart	Corey Hart
A Love Bizarre	Sheila E.
Part-Time Lover	Stevie Wonder
The Sweetest Taboo	Sade
Miami Vice Theme	Jan Hammer
Life In A Northern Town	The Dream Academy
You Are My Lady	Freddie Jackson
The Sun Always Shines on T.V.	a-ha
The Big Money	Rush
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Count Me Out	New Edition
Living In America	James Brown
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
Head Over Heels	Tears For Fears
Too Young	Jack Wagner
Be Near Me	ABC
Leader Of The Pack	Twisted Sister
Everything Must Change	Paul Young
Kyrie	Mr. Mister
Silent Running (On Dangerous Ground)	Mike + The Mechanics
Go	Asia
One Of The Living	Tina Turner
Digital Display	Ready For The World
Everyday	James Taylor
One Vision	Queen
Running Up That Hill	Kate Bush
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Take On Me	a-ha
Somewhere	Barbra Streisand
Dangerous	Loverboy
Tears Are Falling	KISS
Morning Desire	Kenny Rogers
Day By Day	Hooters
He'll Never Love You (Like I Do)	Freddie Jackson
Small Town Girl	John Cafferty & The Beaver Brown Band
Soul Kiss	Olivia Newton-John
Caravan Of Love	Isley, Jasper, Isley
The Heart Is Not So Smart	El DeBarge With DeBarge
Secret	Orchestral Manoeuvres In The Dark
Beat's So Lonely	Charlie Sexton
I Knew The Bride (When She Use To Rock And Roll)	Nick Lowe And His Cowboy Outfit
Don't Say No Tonight	Eugene Wilde
Freedom	The Pointer Sisters
Saving All My Love For You	Whitney Houston
Lovin' Every Minute Of It	Loverboy
Stacy	Fortune
This Time	INXS
Baby Talk	Alisha
One Night Love Affair	Bryan Adams
And She Was	Talking Heads
Own The Night	Chaka Khan
And We Danced	Hooters
Oh Sheila	Ready For The World
Cherish	Kool & The Gang
Fortress Around Your Heart	Sting
Girls Are More Fun	Ray Parker Jr.
Lonely Ol' Night	John Mellencamp
So In Love	Orchestral Manoeuvres In The Dark
