Black Or White	Michael Jackson
When A Man Loves A Woman	Michael Bolton
Set Adrift On Memory Bliss	P.M. Dawn
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
All 4 Love	Color Me Badd
Blowing Kisses In The Wind	Paula Abdul
Cream	Prince And The N.P.G.
Can't Let Go	Mariah Carey
That's What Love Is For	Amy Grant
O.P.P.	Naughty By Nature
Finally	CeCe Peniston
Can't Stop This Thing We Started	Bryan Adams
Keep Coming Back	Richard Marx
Let's Talk About Sex	Salt-N-Pepa
Wildside	Marky Mark & The Funky Bunch
Don't Cry	Guns N' Roses
2 Legit 2 Quit	M.C. Hammer
Do Anything	Natural Selection
Set The Night To Music	Roberta Flack With Maxi Priest
No Son Of Mine	Genesis
Street Of Dreams	Nia Peeples
Romantic	Karyn White
Emotions	Mariah Carey
Hole Hearted	Extreme
Live For Loving You	Gloria Estefan
I Wonder Why	Curtis Stigers
Forever My Lady	Jodeci
Broken Arrow	Rod Stewart
The One And Only	Chesney Hawkes
Mind Playing Tricks On Me	Geto Boys
Angel Baby	Angelica
Running Back To You	Vanessa Williams
Enter Sandman	Metallica
Top Of The World	Van Halen
Spending My Time	Roxette
Change	Lisa Stansfield
Housecall	Shabba Ranks (Featuring Maxi Priest)
Tell Me What You Want Me To Do	Tevin Campbell
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
Smells Like Teen Spirit	Nirvana
I Adore Mi Amor	Color Me Badd
I Love Your Smile	Shanice
Love Me All Up	Stacy Earl
Don't Want To Be A Fool	Luther Vandross
Tender Kisses	Tracie Spencer
Save Up All Your Tears	Cher
Home Sweet Home	Motley Crue
Mysterious Ways	U2
Groovy Train	The Farm
Just A Touch Of Love	C+C Music Factory Presents Zelma Davis
Is It Good To You	Heavy D & The Boyz
Too Blind To See It	Kym Sims
Get A Leg Up	John Mellencamp
Can't Truss It	Public Enemy
The Way I Feel About You	Karyn White
Something Got Me Started	Simply Red
Shot Of Poison	Lita Ford
I've Got A Lot To Learn About Love	The Storm
A Day In My Life (Without You)	Lisette Melendez
Just Want To Hold You	Jasmine Guy
Ain't Gonna Hurt Nobody	Kid 'N Play
Send Me An Angel	Scorpions
Kiss You Back	Digital Underground
In My Dreams	The Party
The Unforgiven	Metallica
Keep It Comin'	Keith Sweat
I Wanna Be Your Girl	Icy Blu
I Can't Make You Love Me	Bonnie Raitt
All She Wrote	Firehouse
Real Real Real	Jesus Jones
On A Sunday Afternoon	Lighter Shade Of Brown
Don't Let The Sun Go Down On Me	George Michael/Elton John
Pop That Coochie	The 2 Live Crew
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
Love Crazy	Atlantic Starr
Rush	Big Audio
No More Tears	Ozzy Osbourne
Lies	EMF
I Want You	Jody Watley
The Fly	U2
All I Need Is You	Blue Train
Conviction Of The Heart	Kenny Loggins
Whispers	Corina
Addams Groove	M.C. Hammer
What Time Is Love?	The KLF
The Comfort Zone	Vanessa Williams
Within My Heart	Voyce
Diamonds And Pearls	Prince And The N.P.G.
Walk Through Fire	Bad Company
Groovin'	UB40
Just Another Girlfriend	Hi-Five
Hearts Don't Think (They Feel)	Natural Selection
Word To The Badd!!	Jermaine Jackson
Monsters And Angels	Voice Of The Beehive
Into The Great Wide Open	Tom Petty And The Heartbreakers
Then Came You	T.P.E.
In Paradise	Laissez Faire
My Heart Belongs To You	Russ Irwin
Stand By My Woman	Lenny Kravitz
Hey Donna	Rhythm Syndicate
