Dynamite	BTS
WAP	Cardi B Featuring Megan Thee Stallion
Holy	Justin Bieber Featuring Chance The Rapper
Laugh Now Cry Later	Drake Featuring Lil Durk
Mood	24kGoldn Featuring iann dior
Rockstar	DaBaby Featuring Roddy Ricch
Blinding Lights	The Weeknd
Watermelon Sugar	Harry Styles
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
I Hope	Gabby Barrett Featuring Charlie Puth
Before You Go	Lewis Capaldi
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Go Crazy	Chris Brown & Young Thug
Popstar	DJ Khaled Featuring Drake
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Circles	Post Malone
Roses	SAINt JHN
Come & Go	Juice WRLD x Marshmello
Mood Swings	Pop Smoke Featuring Lil Tjay
Got What I Got	Jason Aldean
One Of Them Girls	Lee Brice
Adore You	Harry Styles
Said Sum	Moneybagg Yo
Break My Heart	Dua Lipa
Lovin' On You	Luke Combs
Be Like That	Kane Brown With Swae Lee & Khalid
Tap In	Saweetie
Cool Again	Kane Brown
The Woo	Pop Smoke Featuring 50 Cent & Roddy Ricch
If The World Was Ending	JP Saxe Featuring Julia Michaels
Don't Start Now	Dua Lipa
Bang!	AJR
More Than My Hometown	Morgan Wallen
Rags2Riches	Rod Wave Featuring ATR Son Son
Life Is Good	Future Featuring Drake
ily	Surf Mesa Featuring Emilee
Kings & Queens	Ava Max
Midnight Sky	Miley Cyrus
Chasin' You	Morgan Wallen
Rain On Me	Lady Gaga & Ariana Grande
I Should Probably Go To Bed	Dan + Shay
Some Girls	Jameson Rodgers
Die From A Broken Heart	Maddie & Tae
Wishing Well	Juice WRLD
We Paid	Lil Baby & 42 Dugg
Say So	Doja Cat Featuring Nicki Minaj
Savage	Megan Thee Stallion
Cardigan	Taylor Swift
Blueberry Faygo	Lil Mosey
Diamonds	Sam Smith
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
Breaking Me	Topic & A7S
Heather	Conan Gray
Hawai	Maluma & The Weeknd
What You Know Bout Love	Pop Smoke
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
My Ex's Best Friend	Machine Gun Kelly X blackbear
7 Summers	Morgan Wallen
24	Money Man Featuring Lil Baby
Pretty Heart	Parker McCollum
One Too Many	Keith Urban Duet With P!nk
You Broke Me First.	Tate McRae
Like That	Doja Cat Featuring Gucci Mane
Greece	DJ Khaled Featuring Drake
Ice Cream	BLACKPINK X Selena Gomez
I Called Mama	Tim McGraw
Girls In The Hood	Megan Thee Stallion
The Bigger Picture	Lil Baby
Without You	Luke Combs Featuring Amanda Shires
Un Dia (One Day)	J Balvin, Dua Lipa, Bad Bunny & Tainy
Kacey Talk	YoungBoy Never Broke Again
Starting Over	Chris Stapleton
Martin & Gina	Polo G
OK Not To Be OK	Marshmello & Demi Lovato
Relacion	Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko
Love You Like I Used To	Russell Dickerson
Smile	Juice WRLD & The Weeknd
Ain't Always The Cowboy	Jon Pardi
Dolly	Lil Tecca & Lil Uzi Vert
Hit Different	SZA Featuring Ty Dolla $ign
Nobody's Love	Maroon 5
Everywhere But On	Matt Stell
Caramelo	Ozuna x Karol G x Myke Towers
Do It	Chloe X Halle
Over Now	Calvin Harris X The Weeknd
Dollaz On My Head	Gunna Featuring Young Thug
You Got It	VEDO
My Window	YoungBoy Never Broke Again Featuring Lil Wayne
When You Down	Lil Tecca & Polo G Featuring Lil Durk
Me Gusta	Anitta Featuring Cardi B & Myke Towers
Wet. (She Got That...) 	YFN Lucci
Whole Lotta Choppas	Sada Baby Featuring Nicki Minaj
Lonely If You Are	Chase Rice
Blind	DaBaby Featuring Young Thug
3 Headed Goat	Lil Durk Featuring Lil Baby & Polo G
Drug Addiction	YoungBoy Never Broke Again
La Jeepeta	Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka
B.S.	Jhene Aiko Featuring H.E.R.
Wolves	Big Sean Featuring Post Malone
