Work	Rihanna Featuring Drake
7 Years	Lukas Graham
Love Yourself	Justin Bieber
My House	Flo Rida
Stressed Out	twenty one pilots
No	Meghan Trainor
Me, Myself & I	G-Eazy x Bebe Rexha
Pillowtalk	Zayn
Cake By The Ocean	DNCE
I Took A Pill In Ibiza	Mike Posner
Sorry	Justin Bieber
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Dangerous Woman	Ariana Grande
One Call Away	Charlie Puth
Hands To Myself	Selena Gomez
Roses	The Chainsmokers Featuring Rozes
Never Forget You	Zara Larsson & MNEK
2 Phones	Kevin Gates
Hello	Adele
Middle	DJ Snake Featuring Bipolar Sunshine
Panda	Desiigner
Stitches	Shawn Mendes
Don't	Bryson Tiller
Oui	Jeremih
Down In The DM	Yo Gotti Featuring Nicki Minaj
Exchange	Bryson Tiller
Jumpman	Drake & Future
The Hills	The Weeknd
Low Life	Future Featuring The Weeknd
Back To Sleep	Chris Brown
Don't Let Me Down	The Chainsmokers Featuring Daya
You Should Be Here	Cole Swindell
Summer Sixteen	Drake
Hotline Bling	Drake
Let It Go	James Bay
Youth	Troye Sivan
What Do You Mean?	Justin Bieber
Say It	Tory Lanez
679	Fetty Wap Featuring Remy Boyz
Drunk On Your Love	Brett Eldredge
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Team	Iggy Azalea
Be Alright	Ariana Grande
Die A Happy Man	Thomas Rhett
White Iverson	Post Malone
Hide Away	Daya
Here	Alessia Cara
Same Old Love	Selena Gomez
Ex's & Oh's	Elle King
When We Were Young	Adele
Humble And Kind	Tim McGraw
In The Night	The Weeknd
My Church	Maren Morris
Somewhere On A Beach	Dierks Bentley
Confession	Florida Georgia Line
I Like The Sound Of That	Rascal Flatts
Think Of You	Chris Young Duet With Cassadee Pope
Wild Things	Alessia Cara
Really Really	Kevin Gates
Snapback	Old Dominion
Came Here To Forget	Blake Shelton
New Romantics	Taylor Swift
Sugar	Robin Schulz Featuring Francesco Yates
Needed Me	Rihanna
Best Friend	Young Thug
Company	Justin Bieber
Lost Boy	Ruth B
Cut It	O.T. Genasis Featuring Young Dolph
The Sound Of Silence	Disturbed
Promise	Kid Ink Featuring Fetty Wap
Cheap Thrills	Sia Featuring Sean Paul
Beautiful Drug	Zac Brown Band
Acquainted	The Weeknd
T-Shirt	Thomas Rhett
Heartbeat	Carrie Underwood
Adventure Of A Lifetime	Coldplay
Stand By You	Rachel Platten
Piece By Piece	Kelly Clarkson
Jimmy Choo	Fetty Wap
Make Me Like You	Gwen Stefani
Might Not	Belly Featuring The Weeknd
Nobody To Blame	Chris Stapleton
Might Be	DJ Luke Nasty
Mind Reader	Dustin Lynch
Little Bit Of You	Chase Bryant
Try Everything	Shakira
Something In The Way You Move	Ellie Goulding
I Know What You Did Last Summer	Shawn Mendes & Camila Cabello
Saved	Ty Dolla $ign Featuring E-40
That Don't Sound Like You	Lee Brice
Home Alone Tonight	Luke Bryan Featuring Karen Fairchild
Head Over Boots	Jon Pardi
Like I Would	Zayn
Backroad Song	Granger Smith
Light It Up	Major Lazer Featuring Nyla & Fuse ODG
Ride	twenty one pilots
Something New	Zendaya Featuring Chris Brown
Body	Dreezy Featuring Jeremih
Sorry Not Sorry	Bryson Tiller
Fast Car	Jonas Blue Featuring Dakota
