Work	Rihanna Featuring Drake
Panda	Desiigner
7 Years	Lukas Graham
No	Meghan Trainor
Pillowtalk	Zayn
I Took A Pill In Ibiza	Mike Posner
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Love Yourself	Justin Bieber
Cake By The Ocean	DNCE
Me, Myself & I	G-Eazy x Bebe Rexha
Stressed Out	twenty one pilots
My House	Flo Rida
One Dance	Drake Featuring WizKid & Kyla
Dangerous Woman	Ariana Grande
Never Forget You	Zara Larsson & MNEK
Sorry	Justin Bieber
Don't Let Me Down	The Chainsmokers Featuring Daya
2 Phones	Kevin Gates
Pop Style	Drake Featuring The Throne
Oui	Jeremih
Low Life	Future Featuring The Weeknd
Middle	DJ Snake Featuring Bipolar Sunshine
One Call Away	Charlie Puth
Hands To Myself	Selena Gomez
Jumpman	Drake & Future
Stitches	Shawn Mendes
Hello	Adele
Roses	The Chainsmokers Featuring Rozes
Close	Nick Jonas Featuring Tove Lo
Don't	Bryson Tiller
Exchange	Bryson Tiller
Down In The DM	Yo Gotti Featuring Nicki Minaj
Needed Me	Rihanna
Let It Go	James Bay
Somewhere On A Beach	Dierks Bentley
Humble And Kind	Tim McGraw
Back To Sleep	Chris Brown
You Should Be Here	Cole Swindell
The Hills	The Weeknd
Think Of You	Chris Young Duet With Cassadee Pope
Lost Boy	Ruth B
The Sound Of Silence	Disturbed
Youth	Troye Sivan
Cut It	O.T. Genasis Featuring Young Dolph
Die A Happy Man	Thomas Rhett
New Romantics	Taylor Swift
Cheap Thrills	Sia Featuring Sean Paul
Came Here To Forget	Blake Shelton
Famous	Kanye West
Snapback	Old Dominion
Summer Sixteen	Drake
I Like The Sound Of That	Rascal Flatts
Company	Justin Bieber
Father Stretch My Hands Pt. 1	Kanye West
Confession	Florida Georgia Line
Wild Things	Alessia Cara
Promise	Kid Ink Featuring Fetty Wap
My Church	Maren Morris
Team	Iggy Azalea
Huntin', Fishin' And Lovin' Every Day	Luke Bryan
T-Shirt	Thomas Rhett
Really Really	Kevin Gates
Piece By Piece	Kelly Clarkson
That Don't Sound Like You	Lee Brice
Drunk On Your Love	Brett Eldredge
Ophelia	The Lumineers
Mind Reader	Dustin Lynch
Might Not	Belly Featuring The Weeknd
All The Way Up	Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Messin' Around	Pitbull Featuring Enrique Iglesias
Little Bit Of You	Chase Bryant
Acquainted	The Weeknd
Pt. 2	Kanye West
Try Everything	Shakira
Light It Up	Major Lazer Featuring Nyla & Fuse ODG
Never Be Like You	Flume Featuring Kai
Body	Dreezy Featuring Jeremih
Ride	twenty one pilots
Might Be	DJ Luke Nasty
Nobody To Blame	Chris Stapleton
Saved	Ty Dolla $ign Featuring E-40
Uber Everywhere	MadeinTYO
Kiss It Better	Rihanna
Head Over Boots	Jon Pardi
Law	Yo Gotti Featuring E-40
Waves	Kanye West
Moolah	Young Greatness
Sugar	Robin Schulz Featuring Francesco Yates
Jimmy Choo	Fetty Wap
Ultralight Beam	Kanye West
Faded	Alan Walker
Ain't Your Mama	Jennifer Lopez
Lights Come On	Jason Aldean
If It Ain't Love	Jason Derulo
Noise	Kenny Chesney
Victorious	Panic! At The Disco
Record Year	Eric Church
Come And See Me	PARTYNEXTDOOR Featuring Drake
Fast Car	Jonas Blue Featuring Dakota
New Level	A$AP Ferg Featuring Future
