Hello Goodbye	The Beatles
Judy In Disguise (With Glasses)	John Fred And The Playboys
Daydream Believer	The Monkees
Woman, Woman	The Union Gap Featuring Gary Puckett
I Heard It Through The Grapevine	Gladys Knight And The Pips
Chain Of Fools	Aretha Franklin
Bend Me, Shape Me	The American Breed
I Second That Emotion	Smokey Robinson & The Miracles
Green Tambourine	The Lemon Pipers
Skinny Legs And All	Joe Tex
Honey Chile	Martha Reeves & The Vandellas
Boogaloo Down Broadway	The Fantastic Johnny C
If I Could Build My Whole World Around You	Marvin Gaye & Tammi Terrell
Different Drum	Stone Poneys Featuring Linda Ronstadt
Monterey	Eric Burdon & The Animals
Susan	The Buckinghams
Summer Rain	Johnny Rivers
Nobody But Me	The Human Beinz
Who Will Answer?	Ed Ames
It's Wonderful	The Young Rascals
You Better Sit Down Kids	Cher
Next Plane To London	The Rose Garden
Spooky	Classics IV
Come See About Me	Jr. Walker & The All Stars
Love Me Two Times	The Doors
My Baby Must Be A Magician	The Marvelettes
Love Power	The Sandpebbles
Tell Mama	Etta James
Goin' Out Of My Head/Can't Take My Eyes Off You	The Lettermen
Am I That Easy To Forget	Engelbert Humperdinck
Two Little Kids	Peaches & Herb
Itchycoo Park	Small Faces
I Can't Stand Myself (When You Touch Me)	James Brown And The Famous Flames
Best Of Both Worlds	Lulu
She's My Girl	The Turtles
She's A Rainbow	The Rolling Stones
Incense And Peppermints	Strawberry Alarm Clock
Baby, Now That I've Found You	The Foundations
Darlin'	The Beach Boys
And Get Away	The Esquires
The Rain, The Park & Other Things	The Cowsills
I Say A Little Prayer	Dionne Warwick
Explosion (In Your Soul)	Soul Survivors
Everybody Knows	The Dave Clark Five
The Other Man's Grass Is Always Greener	Petula Clark
I Wonder What She's Doing Tonite	Tommy Boyce & Bobby Hart
Skip A Rope	Henson Cargill
The Lesson	Vikki Carr
To Give (The Reason I Live)	Frankie Valli
Dear Eloise	The Hollies
Tomorrow	Strawberry Alarm Clock
Just As Much As Ever	Bobby Vinton
I'm In Love	Wilson Pickett
Storybook Children	Billy Vera & Judy Clay
Windy	Wes Montgomery
I Wish It Would Rain	The Temptations
Good Combination	Sonny & Cher
I'm Coming Home	Tom Jones
In The Misty Moonlight	Dean Martin
Some Velvet Morning	Nancy Sinatra & Lee Hazlewood
Bottle Of Wine	The Fireballs
Dancing Bear	The Mamas & The Papas
Lost	Jerry Butler
No Sad Songs	Joe Simon
Zabadak	Dave Dee, Dozy, Beaky, Mick And Tich
Sunday Mornin'	Spanky And Our Gang
Foxey Lady	Jimi Hendrix
Pick Up The Pieces	Carla Thomas
We're A Winner	The Impressions
Money	The Lovin' Spoonful
Up-Up And Away	Hugh Masekela
Oh, How It Hurts	Barbara Mason
Back Up Train	Al Greene & The Soul Mate's
Sunshine Of Your Love	Cream
I'll Be Sweeter Tomorrow (Than I Was Today)	The O'Jays
A Working Man's Prayer	Arthur Prysock
I Was Made To Love Her	King Curtis & The Kingpins
Cover Me	Percy Sledge
New Orleans	Neil Diamond
A Voice In The Choir	Al Martino
We Can Fly	The Cowsills
I Can Take Or Leave Your Loving	Herman's Hermits
You	Marvin Gaye
Love Is Blue (L'amour Est Bleu)	Paul Mauriat And His Orchestra
Do Unto Me	James & Bobby Purify
Carmen	Herb Alpert & The Tijuana Brass
In Another Land	Bill Wyman
Mission-Impossible	Lalo Schifrin
Cross My Heart	Billy Stewart
A Man Needs A Woman	James Carr
United (Part 1)	The Music Makers
Mellow Moonlight	Leon Haywood
A Little Rain Must Fall	The Epic Splendor
Born Free	The Hesitations
Up Tight, Good Man	Laura Lee
Without Love (There Is Nothing)	Oscar Toney, Jr.
(1-2-3-4-5-6-7) Count The Days	Inez & Charlie Foxx
Let The Heartaches Begin	Long John Baldry
Expecting To Fly	Buffalo Springfield
Funky Way	Calvin Arnold
