My Love	Petula Clark
Barbara Ann	The Beach Boys
No Matter What Shape (Your Stomach's In)	The T-Bones
We Can Work It Out	The Beatles
Lightnin' Strikes	Lou Christie
The Men In My Little Girl's Life	Mike Douglas
She's Just My Style	Gary Lewis And The Playboys
Five O'Clock World	The Vogues
A Must To Avoid	Herman's Hermits
Crying Time	Ray Charles
Jenny Take A Ride!	Mitch Ryder And The Detroit Wheels
As Tears Go By	The Rolling Stones
My World Is Empty Without You	The Supremes
Just Like Me	Paul Revere & The Raiders Featuring Mark Lindsay
Zorba The Greek	Herb Alpert & The Tijuana Brass
Uptight (Everything's Alright)	Stevie Wonder
A Well Respected Man	The Kinks
The Duck	Jackie Lee
Don't Mess With Bill	The Marvelettes
The Sound Of Silence	Simon & Garfunkel
Going To A Go-Go	The Miracles
Day Tripper	The Beatles
Spanish Eyes	Al Martino
Lies	The Knickerbockers
You Didn't Have To Be So Nice	The Lovin' Spoonful
Michelle	David & Jonathan
Like A Baby	Len Barry
These Boots Are Made For Walkin'	Nancy Sinatra
Attack	The Toys
It Was A Very Good Year	Frank Sinatra
Flowers On The Wall	The Statler Brothers
Second Hand Rose	Barbra Streisand
California Dreamin'	The Mamas & The Papas
When Liking Turns To Loving	Ronnie Dove
Tell Me Why	Elvis Presley With The Jordanaires
Night Time	The Strangeloves
A Hard Day's Night	Ramsey Lewis Trio
Tijuana Taxi	Herb Alpert & The Tijuana Brass
Thunderball	Tom Jones
Sandy	Ronny And The Daytonas
Call Me	Chris Montez
Satin Pillows	Bobby Vinton
Are You There (With Another Girl)	Dionne Warwick
Working My Way Back To You	The 4 Seasons Featuring the "Sound of Frankie Valli"
I See The Light	The Five Americans
Recovery	Fontella Bass
What Now My Love	Sonny & Cher
(You're Gonna) Hurt Yourself	Frankie Valli
Breakin' Up Is Breakin' My Heart	Roy Orbison
Spread It On Thick	The Gentrys
My Baby Loves Me	Martha & The Vandellas
I Ain't Gonna Eat Out My Heart Anymore	The Young Rascals
Cleo's Mood	Jr. Walker & The All Stars
I Fought The Law	Bobby Fuller Four
Look Through Any Window	The Hollies
It's Good News Week	Hedgehoppers Anonymous
Elusive Butterfly	Bob Lind
Michael	The C.O.D.'s
Get Out Of My Life, Woman	Lee Dorsey
Under Your Spell Again	Johnny Rivers
Andrea	The Sunrays
Hurt	Little Anthony And The Imperials
Can You Please Crawl Out Your Window?	Bob Dylan
I'm Too Far Gone (To Turn Around)	Bobby Bland
Bye Bye Blues	Bert Kaempfert And His Orchestra
Love Makes The World Go Round	Deon Jackson
Snow Flake	Jim Reeves
The Cheater	Bob Kuban And The In-Men
Love Is All We Need	Mel Carter
A Little Bit Of Soap	The Exciters
You Baby	The Turtles
If You Gotta Make A Fool Of Somebody	Maxine Brown
At The Scene	The Dave Clark Five
This Can't Be True	Eddie Holman
My Generation	The Who
My Ship Is Comin' In	The Walker Bros.
Michelle	Billy Vaughn And His Orchestra
Michelle	Bud Shank
Hide & Seek	The Sheep
Baby Scratch My Back	Slim Harpo
Long Live Our Love	The Shangri-Las
The Rains Came	Sir Douglas Quintet
I Can't Believe You Love Me	Tammi Terrell
Something I Want To Tell You	Johnny and The Expressions
Batman Theme	The Marketts
The Loop	Johnny Lytle
The Ballad Of The Green Berets	SSgt Barry Sadler
We Know We're In Love	Lesley Gore
Waitin' In Your Welfare Line	Buck Owens
Georgia On My Mind	The Righteous Brothers
Take Me For What I'm Worth	The Searchers
Set You Free This Time	The Byrds
In My Room (El Amor)	Verdelle Smith
Can't You See (You're Losing Me)	Mary Wells
Lost Someone	James Brown And The Famous Flames
Since I Lost The One I Love	The Impressions
Red Hot	Sam The Sham and the Pharaohs
Don't Forget About Me	Barbara Lewis
I Want To Go With You	Eddy Arnold
The Answer To My Prayer	Neil Sedaka
