Informer	Snow
Freak Me	Silk
Nuthin' But A "G" Thang	Dr. Dre
I Have Nothing	Whitney Houston
Don't Walk Away	Jade
Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight
Cat's In The Cradle	Ugly Kid Joe
Two Princes	Spin Doctors
I'm So Into You	SWV
Comforter	Shai
Ditty	Paperboy
Looking Through Patient Eyes	P.M. Dawn
Bed Of Roses	Bon Jovi
Hip Hop Hooray	Naughty By Nature
Ordinary World	Duran Duran
I Got A Man	Positive K
Mr. Wendal	Arrested Development
I'm Every Woman (From "The Bodyguard")	Whitney Houston
Angel	Jon Secada
A Whole New World (Aladdin's Theme)	Peabo Bryson & Regina Belle
That's What Love Can Do	Boy Krazy
The Crying Game (From "The Crying Game")	Boy George
The Right Kind Of Love (From "Beverly Hills, 90210")	Jeremy Jordan
It Was A Good Day	Ice Cube
If I Ever Lose My Faith In You	Sting
Forever In Love	Kenny G
Down With The King	Run-D.M.C.
I Will Always Love You	Whitney Houston
Nothin' My Love Can't Fix	Joey Lawrence
Simple Life	Elton John
Rebirth Of Slick (Cool Like Dat)	Digable Planets
So Alone	Men At Large
Who Is It	Michael Jackson
Sweet Thing	Mary J. Blige
Man On The Moon	R.E.M.
7	Prince And The New Power Generation
Love U More	Sunscreem
Here We Go Again!	Portrait
Heal The World	Michael Jackson
Dazzey Duks	Duice
Dedicated	R. Kelly & Public Announcement
Connected	Stereo MC's
Three Little Pigs	Green Jelly
Rhythm Is A Dancer	Snap!
If I Ever Fall In Love	Shai
Livin' On The Edge	Aerosmith
Do You Believe In Us	Jon Secada
I'm Gonna Get You	Bizarre Inc
Love Don't Love You	En Vogue
Supermodel (You Better Work)	RuPaul
The Morning Papers	Prince And The New Power Generation
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Romeo	Dolly Parton & Friends
Buddy X	Neneh Cherry
What You Won't Do For Love	Go West
Beautiful Girl	INXS
I Feel You	Depeche Mode
Tell Me What You Dream	Restless Heart Featuring Warren Hill
Come In Out Of The Rain	Wendy Moten
Hat 2 Da Back	TLC
Knockin' Da Boots	H-Town
Get Away	Bobby Brown
I See Your Smile	Gloria Estefan
Tap The Bottle	Young Black Teenagers
How I'm Comin'	LL Cool J
Closer	Remedy
Show Me Love	Robin S.
Give It Up, Turn It Loose	En Vogue
Candy Everybody Wants	10,000 Maniacs
Easy	Faith No More
Shoop Shoop (Never Stop Givin' You Love)	Michael Cooper
Bad Girl	Madonna
Somebody Love Me	Michael W. Smith
I'll Never Get Over You (Getting Over Me)	Expose
If I Could	Regina Belle
She's Not Cryin' Anymore	Billy Ray Cyrus
Tonight	Def Leppard
Good Ol' Days	Levert
Touch My Light	Big Mountain
Typical Reasons (Swing My Way)	Prince Markie Dee And The Soul Convention
Everything's Gonna Be Alright	Father M.C.
Funky Child	Lords Of The Underground
Passionate Kisses	Mary Chapin Carpenter
Alibis	Tracy Lawrence
Kiss Of Life	Sade
Come Undone	Duran Duran
Silence Is Broken (From "Nowhere To Run")	Damn Yankees
Reminisce	Mary J. Blige
Sleeping Satellite	Tasmin Archer
You're The Love Of My Life/The Love I Lost	Sybil
Murder She Wrote	Chaka Demus & Pliers
Save Your Love	Bad Boys Blue
Roll Wit Tha Flava	The Flavor Unit MC's
Knock-N-Boots	Wreckx-N-Effect
So Close	Dina Carroll
Understand This Groove	Sound Factory
Homies	Lighter Shade Of Brown
Love Me Or Leave Me Alone	Brand Nubian
Throw Ya Gunz	Onyx
Born 2 B.R.E.E.D.	Monie Love
