Flashdance...What A Feeling	Irene Cara
Let's Dance	David Bowie
Beat It	Michael Jackson
Overkill	Men At Work
She Blinded Me With Science	Thomas Dolby
Little Red Corvette	Prince
Solitaire	Laura Branigan
Time (Clock Of The Heart)	Culture Club
My Love	Lionel Richie
Straight From The Heart	Bryan Adams
Affair Of The Heart	Rick Springfield
Always Something There To Remind Me	Naked Eyes
Faithfully	Journey
Don't Let It End	Styx
Jeopardy	Greg Kihn Band
Photograph	Def Leppard
Family Man	Daryl Hall John Oates
Der Kommissar	After The Fire
I Won't Hold You Back	Toto
She's A Beauty	The Tubes
Rio	Duran Duran
Come On Eileen	Dexys Midnight Runners
Stranger In My House	Ronnie Milsap
Never Gonna Let You Go	Sergio Mendes
Electric Avenue	Eddy Grant
Too Shy	Kajagoogoo
Try Again	Champaign
I'm Still Standing	Elton John
Mornin'	Jarreau
The One Thing	INXS
Mr. Roboto	Styx
We Two	Little River Band
The Woman In You	Bee Gees
That's Love	Jim Capaldi
All This Love	Debarge
No Time For Talk	Christopher Cross
Come Dancing	The Kinks
All My Life	Kenny Rogers
Looking For A Stranger	Pat Benatar
Our House	Madness
Wanna Be Startin' Somethin'	Michael Jackson
Billie Jean	Michael Jackson
I Couldn't Say No	Robert Ellis Orral With Carlene Carter
The Closer You Get	Alabama
Don't Pay The Ferryman	Chris de Burgh
Love On Your Side	Thompson Twins
Gimme All Your Lovin	ZZ Top
Even Now	Bob Seger & The Silver Bullet Band
Wishing (If I Had A Photograph Of You)	A Flock Of Seagulls
Fool Moon Fire	Walter Egan
Inside Love (so Personal)	George Benson
Cool Places	Sparks & Jane Wiedlin
Baby Jane	Rod Stewart
Easy For You To Say	Linda Ronstadt
Roll Me Away	Bob Seger & The Silver Bullet Band
Candy Girl	New Edition
Sweet Dreams (Are Made Of This)	Eurythmics
How Do You Keep The Music Playing	James Ingram And Patti Austin
Love's Got A Line On You	Scandal Featuring Patty Smyth
White Wedding	Billy Idol
Some Kind Of Friend	Barry Manilow
New Year's Day	U2
Ricky	"Weird Al" Yankovic
Theme From Doctor Detroit	Devo
When I'm With You	Sheriff
It Might Be You	Stephen Bishop
She Works Hard For The Money	Donna Summer
Front Page Story	Neil Diamond
Separate Ways (Worlds Apart)	Journey
Slipping Away	Dave Edmunds
You Can't Run From Love	Eddie Rabbitt
(Keep Feeling) Fascination	The Human League
So Wrong	Patrick Simmons
The Salt In My Tears	Martin Briley
What You Do To Me	Carl Wilson
Bang The Drum All Day	Todd Rundgren
I.o.u.	Lee Greenwood
Welcome To Heartlight	Kenny Loggins
I Cannot Believe It's True	Phil Collins
Saved By Zero	The Fixx
Why Me?	Planet P
Fools Game	Michael Bolton
Sing Me Away	Night Ranger
Save The Overtime (For Me)	Gladys Knight And The Pips
The Walls Came Down	The Call
He's A Pretender	High Inergy
Side By Side	Earth, Wind & Fire
The Metro	Berlin
One On One	Daryl Hall John Oates
The Celtic Soul Brothers	Dexys Midnight Runners
Dancing In The Shadows	After The Fire
We've Got Tonight	Kenny Rogers And Sheena Easton
Swingin'	John Anderson
Hungry Like The Wolf	Duran Duran
Drop The Pilot	Joan Armatrading
Smiling Islands	Robbie Patton
I Like It	Debarge
Whatever Happened To Old Fashioned Love	B.J. Thomas
Twilight Zone	Golden Earring
Sign Of The Times	The Belle Stars
