Cherish	The Association
You Can't Hurry Love	The Supremes
Beauty Is Only Skin Deep	The Temptations
Black Is Black	Los Bravos
Bus Stop	The Hollies
96 Tears	? (Question Mark) & The Mysterians
Reach Out I'll Be There	Four Tops
Yellow Submarine	The Beatles
Sunshine Superman	Donovan
Cherry, Cherry	Neil Diamond
Eleanor Rigby	The Beatles
I've Got You Under My Skin	The 4 Seasons Featuring the "Sound of Frankie Valli"
Born A Woman	Sandy Posey
Sunny Afternoon	The Kinks
Psychotic Reaction	Count Five
Wipe Out	The Surfaris
Guantanamera	The Sandpipers
Last Train To Clarksville	The Monkees
What Becomes Of The Brokenhearted	Jimmy Ruffin
Mr. Dieingly Sad	The Critters
How Sweet It Is (To Be Loved By You)	Jr. Walker & The All Stars
See You In September	The Happenings
Wouldn't It Be Nice	The Beach Boys
Almost Persuaded	David Houston
Summer Wind	Frank Sinatra
Land Of 1000 Dances	Wilson Pickett
Open The Door To Your Heart	Darrell Banks
Flamingo	Herb Alpert & The Tijuana Brass
Summer Samba (So Nice)	Walter Wanderley
Walk Away Renee	The Left Banke
B-A-B-Y	Carla Thomas
Working In The Coal Mine	Lee Dorsey
Sunny	Bobby Hebb
I Chose To Sing The Blues	Ray Charles & The Raelets
Just Like A Woman	Bob Dylan
I Really Don't Want To Know	Ronnie Dove
See See Rider	Eric Burdon & The Animals
All Strung Out	Nino Tempo & April Stevens
Hooray For Hazel	Tommy Roe
All I See Is You	Dusty Springfield
Turn-Down Day	The Cyrkle
Poor Side Of Town	Johnny Rivers
7 And 7 Is	Love
Wade In The Water	Ramsey Lewis
God Only Knows	The Beach Boys
There Will Never Be Another You	Chris Montez
Born Free	Roger Williams
I Can Make It With You	Pozo Seco Singers
In The Arms Of Love	Andy Williams
Sometimes Good Guys Don't Wear White	The Standells
If I Were A Carpenter	Bobby Darin
Girl On A Swing	Gerry And The Pacemakers
The Fife Piper	The Dynatones
I Want To Be With You	Dee Dee Warwick
Rumors	Syndicate Of Sound
You're Gonna Miss Me	The Thirteenth Floor Elevators
Suspicions	The Sidekicks
My Uncle Used To Love Me But She Died	Roger Miller
Blue Side Of Lonesome	Jim Reeves
In Our Time	Nancy Sinatra
Love Is A Hurtin' Thing	Lou Rawls
Little Darling, I Need You	Marvin Gaye
Ain't Nobody Home	Howard Tate
Said I Wasn't Gonna Tell Nobody	Sam & Dave
Poverty	Bobby Bland
Can't Satisfy	The Impressions
Come On Up	The Young Rascals
I Can Make It With You	Jackie DeShannon
Mr. Spaceman	The Byrds
It Hurts Me	Bobby Goldsboro
Dianne, Dianne	Ronny And The Daytonas
Little Man	Sonny & Cher
Please Mr. Sun	The Vogues
Melody For An Unknown Girl	The Unknowns
Mind Excursion	The Trade Winds
Ain't Gonna Lie	Keith
Mas Que Nada	Sergio Mendes & Brasil '66
Get Away	Georgie Fame And The Blue Flames
I'm Your Puppet	James & Bobby Purify
Go Away Little Girl	The Happenings
The Hair On My Chinny Chin Chin	Sam The Sham and the Pharaohs
Fa-Fa-Fa-Fa-Fa (Sad Song)	Otis Redding
Coming On Strong	Brenda Lee
I Just Don't Know What To Do With Myself	Dionne Warwick
My Sweet Potato	Booker T. & The MG's
Knock On Wood	Eddie Floyd
Changes	Crispian St. Peters
The Great Airplane Strike	Paul Revere & The Raiders Featuring Mark Lindsay
Dandy	Herman's Hermits
Baby, Do The Philly Dog	The Olympics
But It's Alright	J.J. Jackson
Don't Worry Mother, Your Son's Heart Is Pure	The McCoys
Philly Dog	Herbie Mann
Off To Dublin In The Green	The Abbey Tavern Singers
Almost Persuaded No. 2	Ben Colder
Happiness	Shades Of Blue
Stop, Look And Listen	The Chiffons
What Now My Love	"Groove" Holmes
Take Good Care Of Her	Mel Carter
Secret Love	Richard "Groove" Holmes
