Kung Fu Fighting	Carl Douglas
I Can Help	Billy Swan
When Will I See You Again	The Three Degrees
Do It ('til You're Satisfied)	B.T. Express
Cat's In The Cradle	Harry Chapin
Angie Baby	Helen Reddy
My Melody Of Love	Bobby Vinton
You Ain't Seen Nothing Yet/Free Wheelin'	Bachman-Turner Overdrive
Sha-La-La (Make Me Happy)	Al Green
You're The First, The Last, My Everything	Barry White
Wishing You Were Here	Chicago
Junior's Farm/Sally G	Paul McCartney And Wings
Longfellow Serenade	Neil Diamond
Everlasting Love	Carl Carlton
You Got The Love	Rufus Featuring Chaka Khan
Fairytale	The Pointer Sisters
Promised Land	Elvis Presley
I've Got The Music In Me	The Kiki Dee Band
Touch Me	Fancy
Laughter In The Rain	Neil Sedaka
Ain't Too Proud To Beg	The Rolling Stones
Woman To Woman	Shirley Brown
I Feel A Song (In My Heart)/Don't Burn Down The Bridge	Gladys Knight And The Pips
Must Of Got Lost	The J. Geils Band
Only You	Ringo Starr
Willie And The Hand Jive	Eric Clapton
Boogie On Reggae Woman	Stevie Wonder
Fire, Baby I'm On Fire	Andy Kim
Back Home Again	John Denver
One Man Woman/One Woman Man	Paul Anka with Odia Coates
Let's Straighten It Out	Latimore
Bungle In The Jungle	Jethro Tull
Ride 'em Cowboy	Paul Davis
Never Can Say Goodbye	Gloria Gaynor
Dream On	The Righteous Brothers
Lucy In The Sky With Diamonds	Elton John
Mandy	Barry Manilow
Whatever You Got, I Want	Jackson 5
Please Mr. Postman	Carpenters
Whatever Gets You Thru The Night	John Lennon With The Plastic Ono Nuclear Band
After The Goldrush	Prelude
Morning Side Of The Mountain	Donny & Marie Osmond
Dark Horse	George Harrison
Rockin' Soul	The Hues Corporation
The Heartbreak Kid	Bo Donaldson And The Heywoods
Dancin' Fool	The Guess Who
Heavy Fallin' Out	The Stylistics
You And I	Johnny Bristol
Tin Man	America
Without Love	Aretha Franklin
Funky President (People It's Bad)/Coldblooded	James Brown
The Need To Be	Jim Weatherly
Life Is A Rock (But The Radio Rolled Me)	Reunion
Three Ring Circus	Blue Magic
Black Lassie (Featuring Johnny Stash)	Cheech & Chong
So You Are A Star	The Hudson Brothers
Someday	Dave Loggins
Play Something Sweet (Brickyard Blues)	Three Dog Night
Jazzman	Carole King
Sugar Pie Guy Pt. 1	The Joneses
She's Gone	Tavares
I'll Be Your Everything	Percy Sledge
Doctor's Orders	Carol Douglas
Free Bird	Lynyrd Skynyrd
Sexy Ida (Part 1)	Ike & Tina Turner
Love Don't Love Nobody - Pt. I	The Spinners
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Shoe Shoe Shine	Dynamic Superiors
Ruby, Baby	Billy "Crash" Craddock
The Entertainer	Billy Joel
Ask Me	Ecstasy, Passion & Pain
Best Of My Love	Eagles
From His Woman To You	Barbara Mason
People Gotta Move	Gino Vannelli
I Feel Sanctified	Commodores
I Belong To You	Love Unlimited
La La Peace Song	Al Wilson
The Bitch Is Back	Elton John
My Eyes Adored You	Frankie Valli
Sunshine Roses	Gene Cotton
Pick Up The Pieces	AWB
Ready	Cat Stevens
Philadelphia	B.B. King
Nobody	The Doobie Brothers
Dreams Are Ten A Penny	The First Class
You're No Good	Linda Ronstadt
Rock N' Roll (I Gave You The Best Years Of My Life)	Mac Davis
One Tear	Eddie Kendricks
Changes	David Bowie
Where Are All My Friends	Harold Melvin And The Blue Notes
Let This Be A Lesson To You	The Independents
The Black-Eyed Boys	Paper Lace
You Haven't Done Nothin	Stevie Wonder
My Main Man	The Staple Singers
Baby, Hang Up The Phone	Carl Graves
Ride The Tiger	Jefferson Starship
Rock 'N' Roll (I Gave You The Best Years Of My Life)	Terry Jacks
Mississippi Cotton Picking Delta Town	Charley Pride
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
I Wouldn't Treat A Dog (The Way You Treated Me)	Bobby Bland
