Welcome Back	John Sebastian
Right Back Where We Started From	Maxine Nightingale
Boogie Fever	The Sylvers
Fooled Around And Fell In Love	Elvin Bishop
Silly Love Songs	Wings
Show Me The Way	Peter Frampton
Love Hangover	Diana Ross
Get Up And Boogie (That's Right)	Silver Convention
Let Your Love Flow	Bellamy Brothers
Disco Lady	Johnnie Taylor
Bohemian Rhapsody	Queen
Shannon	Henry Gross
Tryin' To Get The Feeling Again	Barry Manilow
Sara Smile	Daryl Hall John Oates
I Do, I Do, I Do, I Do, I Do	ABBA
Strange Magic	Electric Light Orchestra
Misty Blue	Dorothy Moore
Rhiannon (Will You Ever Win)	Fleetwood Mac
Happy Days	Pratt & McClain with Brother Love
Fool To Cry	The Rolling Stones
Only Sixteen	Dr. Hook
Sweet Love	Commodores
Come On Over	Olivia Newton-John
Happy Music	The Blackbyrds
December, 1963 (Oh, What a Night)	The 4 Seasons
Young Blood	Bad Company
Don't Pull Your Love/then You Can Tell Me Goodbye	Glen Campbell
Love In The Shadows	Neil Sedaka
Love Really Hurts Without You	Billy Ocean
More, More, More Pt. 1	Andrea True Connection
Shout It Out Loud	KISS
Union Man	Cate Bros.
I've Got A Feeling (We'll Be Seeing Each Other Again)	Al Wilson
Hurt/for The Heart	Elvis Presley
Anytime (i'll Be There)	Paul Anka
Fallen Angel	Frankie Valli
Movin'	Brass Construction
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
I Want You	Marvin Gaye
Shop Around	Captain & Tennille
Dream Weaver	Gary Wright
One Piece At A Time	Johnny Cash And The Tennessee Three
Takin' It To The Streets	The Doobie Brothers
Lonely Night (angel Face)	Captain & Tennille
It's Over	Boz Scaggs
There's A Kind Of Hush (All Over The World)	Carpenters
Livin' For The Weekend	The O'Jays
Sweet Thing	Rufus Featuring Chaka Khan
Don't Stop It Now	Hot Chocolate
Falling Apart At The Seams	Marmalade
Dream On	Aerosmith
When Love Has Gone Away	Richard Cocciante
Love Is Alive	Gary Wright
Can't Hide Love	Earth, Wind & Fire
Crazy On You	Heart
Rock And Roll Love Letter	Bay City Rollers
Lorelei	Styx
Deep Purple	Donny & Marie Osmond
Action	Sweet
Never Gonna Fall In Love Again	Eric Carmen
Take It To The Limit	Eagles
Everyday Without You	Hamilton, Joe Frank & Reynolds
Money Honey	Bay City Rollers
Still Crazy After All These Years	Paul Simon
Moonlight Feels Right	Starbuck
Kiss And Say Goodbye	The Manhattans
Lookin' Out For #1	Bachman-Turner Overdrive
Where Did Our Love Go	The J. Geils Band
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Thinking Of You	Paul Davis
Jasper	Jim Stafford
I'll Be Good To You	The Brothers Johnson
Turn The Beat Around	Vicki Sue Robinson
Could It Be Magic	Donna Summer
Dance Wit Me	Rufus Featuring Chaka Khan
Forever Lovers	Mac Davis
Love And Understanding (Come Together)	Kool & The Gang
Better Days	Melissa Manchester
That's Where The Happy People Go	The Trammps
It Makes Me Giggle	John Denver
Arms Of Mary	Sutherland Brothers And Quiver
Sixteen Tons	The Don Harrison Band
Bigfoot	Bro Smith
Yes, Yes, Yes	Bill Cosby
Take The Money And Run	Steve Miller
It's Cool	The Tymes
Afternoon Delight	Starland Vocal Band
Kentucky Moonrunner	Cledus Maggard And The Citizen's Band
I'm Easy	Keith Carradine
Making Our Dreams Come True	Cyndi Grecco
It Should Have Been Me	Yvonne Fair
The Fonz Song	The Heyettes
I Wanna Stay With You	Gallagher And Lyle
You Got The Magic	John Fogerty
This Is It	Melba Moore
Let Her In	John Travolta
Moonlight Serenade	Bobby Vinton
Save Your Kisses For Me	Brotherhood Of Man
'til I Can Make It On My Own	Tammy Wynette
Open	Smokey Robinson
