Rock Me Amadeus	Falco
These Dreams	Heart
Secret Lovers	Atlantic Starr
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
Kiss	Prince And The Revolution
What You Need	INXS
Nikita	Elton John
Sara	Starship
Let's Go All The Way	Sly Fox
This Could Be The Night	Loverboy
Manic Monday	The Bangles
King For A Day	Thompson Twins
Addicted To Love	Robert Palmer
Sanctify Yourself	Simple Minds
Kyrie	Mr. Mister
Tender Love	Force M.D.'s
Beat's So Lonely	Charlie Sexton
How Will I Know	Whitney Houston
West End Girls	Pet Shop Boys
Harlem Shuffle	The Rolling Stones
Calling America	Electric Light Orchestra
No Easy Way Out	Robert Tepper
I Can't Wait	Stevie Nicks
Why Can't This Be Love	Van Halen
(How To Be A) Millionaire	ABC
I Think It's Love	Jermaine Jackson
Silent Running (On Dangerous Ground)	Mike + The Mechanics
What Have You Done For Me Lately	Janet Jackson
So Far Away	Dire Straits
Your Love	The Outfield
Overjoyed	Stevie Wonder
Live Is Life	Opus
Night Moves	Marilyn Martin
I'm Not The One	The Cars
Another Night	Aretha Franklin
American Storm	Bob Seger
Take Me Home	Phil Collins
Bad Boy	Miami Sound Machine
For America	Jackson Browne
Saturday Love	Cherrelle With Alexander O'Neal
The Sweetest Taboo	Sade
I Do What I Do... (Theme For 9 1/2 Weeks)	John Taylor
When The Going Gets Tough, The Tough Get Going	Billy Ocean
If You Leave	Orchestral Manoeuvres In The Dark
Something About You	Level 42
A Little Bit Of Love (Is All It Takes)	New Edition
Living In America	James Brown
Life In A Northern Town	The Dream Academy
I Can't Wait	Nu Shooz
A Love Bizarre	Sheila E.
Bop	Dan Seals
Do Me Baby	Meli'sa Morgan
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Greatest Love Of All	Whitney Houston
Great Gosh A'mighty (Down & Out In Bev. Hills Theme)	Little Richard
Day By Day	Hooters
Russians	Sting
All I Need Is A Miracle	Mike + The Mechanics
The Power Of Love	Jennifer Rush
Is It Love	Mr. Mister
All The Kings Horses	The Firm
Stages	ZZ Top
Conga	Miami Sound Machine
That's What Friends Are For	Dionne & Friends
Rough Boy	ZZ Top
Feel It Again	Honeymoon Suite
Stick Around	Julian Lennon
I Like You	Phyllis Nelson
Goodbye Is Forever	Arcadia
Restless	Starpoint
Never As Good As The First Time	Sade
Whisper In The Dark	Dionne Warwick
Call Me	Dennis DeYoung
Right Between The Eyes	Wax
Le Bel Age (The Best Years)	Pat Benatar
I Engineer	Animotion
Where Are You Now?	Jimmy Harnen With Synch
On My Own	Patti LaBelle & Michael McDonald
Needles And Pins	Tom Petty & The Heartbreakers With Stevie Nicks
Let Me Be The One	Five Star
A Good Heart	Feargal Sharkey
In My Dreams	Dokken
I'd Do It All Again	Sam Harris
Burning Heart	Survivor
Heart's On Fire	John Cafferty
Your Smile	Rene & Angela
Absolute Beginners	David Bowie
The Men All Pause	Klymaxx
Digital Display	Ready For The World
Working Class Man	Jimmy Barnes
Shot in the Dark	Ozzy Osbourne
Shelter Me	Joe Cocker
I Found Someone	Laura Branigan
Now And Forever (You And Me)	Anne Murray
Baby Talk	Alisha
Love And Rock And Roll	Greg Kihn
I'm Your Man	Wham!
I Miss You	Klymaxx
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Twist My Arm	The Pointer Sisters
