Crocodile Rock	Elton John
You're So Vain	Carly Simon
Why Can't We Live Together	Timmy Thomas
Oh, Babe, What Would You Say?	Hurricane Smith
Superstition	Stevie Wonder
Do It Again	Steely Dan
The World Is A Ghetto	War
Trouble Man	Marvin Gaye
Don't Expect Me To Be Your Friend	Lobo
Could It Be I'm Falling In Love	The Spinners
Dueling Banjos	Deliverance/Eric Weissberg & Steve Mandell
Rocky Mountain High	John Denver
Your Mama Don't Dance	Kenny Loggins & Jim Messina
Dancing In The Moonlight	King Harvest
Killing Me Softly With His Song	Roberta Flack
Love Jones	Brighter Side Of Darkness
Hi, Hi, Hi	Wings
Daddy's Home	Jermaine Jackson
Last Song	Edward Bear
Me And Mrs. Jones	Billy Paul
Jambalaya (On The Bayou)	The Blue Ridge Rangers
Love Train	The O'Jays
Superfly	Curtis Mayfield
Separate Ways	Elvis Presley
You Turn Me On, I'm A Radio	Joni Mitchell
Do You Want To Dance?	Bette Midler
Dreidel	Don McLean
Clair	Gilbert O'Sullivan
Reelin' & Rockin'	Chuck Berry
The Cover Of "Rolling Stone"	Dr. Hook And The Medicine Show
Harry Hippie	Bobby Womack & Peace
Rockin' Pneumonia - Boogie Woogie Flu	Johnny Rivers
Peaceful Easy Feeling	Eagles
Living Together, Growing Together	The 5th Dimension
Don't Let Me Be Lonely Tonight	James Taylor
I Got Ants In My Pants (and i want to dance) (Part 1)	James Brown
I'm Never Gonna Be Alone Anymore	Cornelius Brothers & Sister Rose
Big City Miss Ruth Ann	Gallery
Funny Face	Donna Fargo
Danny's Song	Anne Murray
Jesus Is Just Alright	The Doobie Brothers
I'm Just A Singer (In A Rock And Roll Band)	The Moody Blues
Pieces Of April	Three Dog Night
Hummingbird	Seals & Crofts
Give Me Your Love	Barbara Mason
You've Got To Take It (If You Want It)	The Main Ingredient
Smoke Gets In Your Eyes	Blue Haze
Don't Cross The River	America
Good Morning Heartache	Diana Ross
Also Sprach Zarathustra (2001)	Deodato
Daytime Night-Time	Keith Hampshire
Don't Leave Me Starvin' For Your Love (Part 1)	Holland-Dozier
Space Oddity	David Bowie
Neither One Of Us (Wants To Be The First To Say Goodbye)	Gladys Knight And The Pips
I'll Be Your Shelter (In Time Of Storm)	Luther Ingram
Aubrey	Bread
Dead Skunk	Loudon Wainwright III
Soul Song	Joe Stampley
Lucky Man	Emerson, Lake & Palmer
Rosalie	Sam Neely
Today I Started Loving You Again	Bettye Swann
Songman	Cashman & West
Tweedlee Dee	Little Jimmy Osmond
Control Of Me	Les Emmerson
Hello Hurray	Alice Cooper
The Message	Cymande
Kissing My Love	Bill Withers
Ain't No Woman (Like The One I've Got)	Four Tops
I Never Said Goodbye	Engelbert Humperdinck
Boogie Woogie Man	Paul Davis
Love Is What You Make It	The Grass Roots
Palace Guard	Rick Nelson And The Stone Canyon Band
Happy	Bobby Darin
One Less Set Of Footsteps	Jim Croce
Hot Wire	Al Green
Keep On Singing	Austin Roberts
Master Of Eyes (The Deepness Of Your Eyes)	Aretha Franklin
Peaceful	Helen Reddy
Fever/My Crew	Rita Coolidge
How Can I Tell You	Travis Wammack
Follow Your Daughter Home	The Guess Who
Slow Motion (Part 1)	Johnny Williams
Lost Horizon	Shawn Phillips
Stir It Up	Johnny Nash
A Letter To Myself	The Chi-lites
Little Willy	The Sweet
Do It In The Name Of Love	Candi Staton
Break Up To Make Up	The Stylistics
Don't Burn Me	Paul Kelly
Cook With Honey	Judy Collins
Sugar Magnolia	Grateful Dead
Magic Woman Touch	The Hollies
We're Gonna Have A Good Time	Rare Earth
Somebody Loves You	The Whispers
Wish That I Could Talk To You	The Sylvers
Come Softly To Me	The New Seekers
Good Morning	Michael Redway
Love Music	The Raiders
Tossin' And Turnin'	Bunny Sigler
The Night The Lights Went Out In Georgia	Vicki Lawrence
