Down Under	Men At Work
The Girl Is Mine	Michael Jackson And Paul McCartney
Dirty Laundry	Don Henley
Maneater	Daryl Hall John Oates
Sexual Healing	Marvin Gaye
Mickey	Toni Basil
Africa	Toto
Baby, Come To Me	Patti Austin A Duet With James Ingram
Rock The Casbah	The Clash
Heartbreaker	Dionne Warwick
Gloria	Laura Branigan
You And I	Eddie Rabbitt With Crystal Gayle
Steppin' Out	Joe Jackson
The Other Guy	Little River Band
You Can't Hurry Love	Phil Collins
Shame On The Moon	Bob Seger & The Silver Bullet Band
Heart To Heart	Kenny Loggins
The Look Of Love (Part One)	ABC
Goody Two Shoes	Adam Ant
Hand To Hold On To	John Cougar
You Got Lucky	Tom Petty And The Heartbreakers
Love In Store	Fleetwood Mac
Allentown	Billy Joel
I Do	The J. Geils Band
Stray Cat Strut	Stray Cats
Rock This Town	Stray Cats
Your Love Is Driving Me Crazy	Sammy Hagar
Truly	Lionel Richie
Heart Of The Night	Juice Newton
Let's Go Dancin' (ooh La, La, La)	Kool & The Gang
Pass The Dutchie	Musical Youth
Shock The Monkey	Peter Gabriel
A Penny For Your Thoughts	Tavares
What About Me	Moving Pictures
Do You Really Want To Hurt Me	Culture Club
Does It Make You Remember	Kim Carnes
Space Age Love Song	A Flock Of Seagulls
Two Less Lonely People In The World	Air Supply
Memory	Barry Manilow
Bad Boy	Ray Parker Jr.
All Those Lies	Glenn Frey
Put It In A Magazine	Sonny Charles
Twilight Zone	Golden Earring
I Gotta Try	Michael McDonald
Right Before Your Eyes	America
I Knew You When	Linda Ronstadt
On The Loose	Saga
The Woman In Me	Donna Summer
You Are	Lionel Richie
Back On The Chain Gang	Pretenders
I Know There's Something Going On	Frida
It's Raining Again	Supertramp Featuring Roger Hodgson
Hungry Like The Wolf	Duran Duran
Shadows Of The Night	Pat Benatar
Papa Was A Rollin' Stone	Wolf
After I Cry Tonight	Lanier & Co.
Psychobabble	The Alan Parsons Project
Up Where We Belong	Joe Cocker And Jennifer Warnes
Muscles	Diana Ross
Give It Up	The Steve Miller Band
Missing You	Dan Fogelberg
The Clapping Song	Pia Zadora
All Touch	Rough Trade
Young Love	Janet Jackson
Are You Getting Enough Happiness	Hot Chocolate
Shoot For The Moon	Poco
Are You Serious	Tyrone Davis
Eminence Front	The Who
Funny How Time Slips Away	The Spinners
Forever	Little Steven
On The Wings Of Love	Jeffrey Osborne
I'm Alive	Neil Diamond
Breaking Us In Two	Joe Jackson
Got To Be There	Chaka Khan
Burning Heart	Vandenberg
Tied Up	Olivia Newton-John
Industrial Disease	Dire Straits
What If (I Said I Love You)	Unipop
Beg, Borrow Or Steal	Hughes/Thrall
Dreamin' Is Easy	Steel Breeze
Take The Time	Michael Stanley Band
Still Taking Chances	Michael Murphey
I Can't Stand Still	Don Henley
Feet Don't Fail Me Now	Utopia
Goodbye To You	Scandal Featuring Patty Smyth
Don't Tell Me You Love Me	Night Ranger
Everybody Wants You	Billy Squier
Windows	Missing Persons
Heart Attack	Olivia Newton-John
Betcha She Don't Love You	Evelyn King
Always	Firefall
Whatcha Gonna Do	Chilliwack
Pressure	Billy Joel
Bad Boy/Having A Party	Luther Vandross
Be My Lady	Jefferson Starship
(you're So Square) Baby, I Don't Care	Joni Mitchell
1999	Prince
Nowhere To Run	Santana
Heartlight	Neil Diamond
Cross My Heart	Lee Ritenour
